,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1020.8 ,1023.2 ,1028.4 ,2011-01-30 09:45 ,1012.7 ,2011-01-14 13:22 ,12.7 ,21.6 ,2011-01-18 12:24 ,5.5 ,2011-01-01 01:45 ,10.0 ,2.2 ,20 ,14.8 ,30 ,2011-01-15 05:23 ,108.6 ,233.0 ,19 ,1.0 ,2011-01-15 17:03 ,3.5 ,2011-01-15 17:02 ,24.4 ,2011-01-11 00:00 ,84 ,... ,22.9 ,117.73 ,... ,... , ,... 
1,02,1015.7 ,1018.1 ,1024.3 ,2011-02-14 21:10 ,1005.4 ,2011-02-08 15:15 ,15.2 ,27.4 ,2011-02-26 12:29 ,7.8 ,2011-02-14 12:36 ,11.8 ,1.8 ,20 ,14.3 ,30 ,2011-02-11 02:20 ,104.1 ,124.2 ,13 ,4.0 ,2011-02-19 09:28 ,7.5 ,2011-02-19 15:00 ,38.5 ,2011-02-19 00:00 ,81 ,... ,79.7 ,213.37 ,... ,... , ,... 
2,03,1018.5 ,1020.9 ,1025.5 ,2011-03-16 07:31 ,1007.5 ,2011-03-20 15:31 ,14.9 ,27.6 ,2011-03-20 13:18 ,8.6 ,2011-03-08 02:56 ,10.6 ,2.2 ,20 ,18.1 ,100 ,2011-03-17 22:10 ,118.2 ,141.4 ,14 ,2.5 ,2011-03-07 02:45 ,7.5 ,2011-03-07 02:27 ,46.5 ,2011-03-27 00:00 ,76 ,... ,58.4 ,225.59 ,... ,... , ,... 
3,04,1012.5 ,1014.9 ,1021.0 ,2011-04-05 10:30 ,1002.8 ,2011-04-27 03:23 ,20.4 ,30.8 ,2011-04-27 11:20 ,10.5 ,2011-04-05 22:30 ,15.7 ,1.9 ,20 ,14.1 ,180 ,2011-04-23 22:11 ,51.6 ,49.2 ,9 ,5.5 ,2011-04-17 12:25 ,22.0 ,2011-04-17 12:00 ,35.8 ,2011-04-17 00:00 ,76 ,... ,160.2 ,448.73 ,... ,... , ,... 
4,05,1007.6 ,1009.9 ,1013.7 ,2011-05-15 21:48 ,1000.3 ,2011-05-28 04:15 ,23.5 ,32.2 ,2011-05-26 11:51 ,15.8 ,2011-05-29 03:01 ,20.9 ,1.5 ,20 ,17.5 ,50 ,2011-05-28 07:11 ,309.5 ,200.0 ,16 ,6.5 ,2011-05-12 20:54 ,18.5 ,2011-05-12 22:38 ,81.3 ,2011-05-16 00:00 ,86 ,... ,109.2 ,405.74 ,... ,... , ,... 
5,06,1004.1 ,1006.4 ,1009.7 ,2011-06-30 21:53 ,989.7 ,2011-06-25 03:15 ,27.9 ,35.2 ,2011-06-27 12:57 ,22.2 ,2011-06-03 03:13 ,24.0 ,1.5 ,150 ,16.0 ,330 ,2011-06-25 07:57 ,175.2 ,71.5 ,10 ,8.5 ,2011-06-25 03:31 ,20.5 ,2011-06-25 07:05 ,116.0 ,2011-06-25 00:00 ,80 ,... ,190.7 ,552.60 ,... ,... , ,... 
6,07,1003.2 ,1005.5 ,1009.9 ,2011-07-01 08:30 ,995.2 ,2011-07-19 00:42 ,28.4 ,35.7 ,2011-07-28 11:39 ,23.5 ,2011-07-15 02:20 ,23.9 ,1.5 ,150 ,17.2 ,160 ,2011-07-27 23:02 ,120.5 ,45.7 ,9 ,12.5 ,2011-07-13 15:10 ,35.0 ,2011-07-13 15:00 ,39.0 ,2011-07-13 00:00 ,77 ,... ,212.3 ,612.83 ,... ,... , ,... 
7,08,1003.7 ,1006.0 ,1011.1 ,2011-08-15 10:28 ,991.6 ,2011-08-29 18:24 ,28.7 ,36.2 ,2011-08-26 12:07 ,24.1 ,2011-08-04 03:22 ,23.7 ,1.6 ,150 ,20.3 ,110 ,2011-08-29 15:21 ,93.0 ,35.1 ,10 ,14.0 ,2011-08-30 15:22 ,21.5 ,2011-08-30 15:10 ,23.0 ,2011-08-30 00:00 ,75 ,... ,221.7 ,613.81 ,... ,... , ,... 
8,09,1007.0 ,1009.3 ,1012.3 ,2011-09-22 08:28 ,999.0 ,2011-09-01 02:48 ,26.9 ,35.9 ,2011-09-15 12:52 ,20.6 ,2011-09-20 22:14 ,21.7 ,1.6 ,20 ,18.7 ,100 ,2011-09-28 09:01 ,25.1 ,14.9 ,6 ,2.5 ,2011-09-30 22:32 ,5.5 ,2011-09-30 21:47 ,19.0 ,2011-09-30 00:00 ,74 ,... ,186.2 ,517.07 ,... ,... , ,... 
9,10,1012.9 ,1015.2 ,1018.8 ,2011-10-25 21:14 ,1007.6 ,2011-10-14 01:42 ,23.2 ,30.3 ,2011-10-08 11:31 ,17.7 ,2011-10-30 04:20 ,19.3 ,1.8 ,20 ,16.7 ,330 ,2011-10-03 08:52 ,158.5 ,131.2 ,14 ,3.5 ,2011-10-01 00:29 ,7.5 ,2011-10-01 00:29 ,73.5 ,2011-10-03 00:00 ,79 ,... ,77.9 ,297.26 ,... ,... , ,... 
10,11,1013.9 ,1016.3 ,1024.9 ,2011-11-24 08:54 ,1006.4 ,2011-11-19 04:28 ,22.2 ,31.7 ,2011-11-04 12:42 ,14.4 ,2011-11-24 06:49 ,18.5 ,2.0 ,20 ,18.8 ,90 ,2011-11-16 13:58 ,237.6 ,186.2 ,16 ,4.0 ,2011-11-19 13:54 ,17.0 ,2011-11-19 14:00 ,54.5 ,2011-11-19 00:00 ,81 ,... ,77.0 ,235.56 ,... ,... , ,... 
11,12,1019.6 ,1022.0 ,1026.7 ,2011-12-17 08:18 ,1012.0 ,2011-12-07 13:34 ,15.8 ,28.3 ,2011-12-07 10:15 ,8.5 ,2011-12-24 19:30 ,13.1 ,2.3 ,20 ,16.6 ,160 ,2011-12-06 14:24 ,211.9 ,313.8 ,22 ,3.5 ,2011-12-06 03:55 ,10.0 ,2011-12-06 03:41 ,30.2 ,2011-12-05 00:00 ,84 ,... ,34.7 ,134.12 ,... ,... , ,... 
