,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1006.2 ,... ,1007.6 ,2018-06-01 21:21 ,1003.6 ,2018-06-01 01:47 ,23.4 ,25.1 ,2018-06-01 00:01 ,21.5 ,2018-06-01 18:51 ,... ,86 ,73 ,2018-06-01 15:28 ,6.9 ,17 ,12.1 ,43 ,2018-06-01 12:13 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1005.6 ,... ,1007.1 ,2018-06-02 08:11 ,1004.0 ,2018-06-02 23:31 ,24.3 ,25.4 ,2018-06-02 12:31 ,22.9 ,2018-06-02 02:42 ,... ,80 ,66 ,2018-06-02 01:51 ,4.4 ,18 ,8.2 ,77 ,2018-06-02 21:12 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1003.2 ,... ,1004.3 ,2018-06-03 22:31 ,1001.3 ,2018-06-03 16:01 ,25.2 ,26.2 ,2018-06-03 14:51 ,23.8 ,2018-06-03 00:11 ,... ,93 ,89 ,2018-06-03 16:21 ,3.9 ,354 ,8.2 ,340 ,2018-06-03 06:17 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1003.2 ,... ,1004.5 ,2018-06-04 06:52 ,1001.4 ,2018-06-04 18:42 ,25.9 ,27.2 ,2018-06-04 09:52 ,24.4 ,2018-06-04 00:01 ,... ,92 ,83 ,2018-06-04 12:11 ,3.5 ,25 ,7.7 ,73 ,2018-06-04 15:03 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1003.1 ,... ,1004.7 ,2018-06-05 09:41 ,1001.4 ,2018-06-05 16:11 ,26.9 ,30.1 ,2018-06-05 11:41 ,25.4 ,2018-06-05 05:13 ,... ,92 ,81 ,2018-06-05 12:17 ,3.0 ,135 ,9.9 ,94 ,2018-06-05 14:41 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1003.0 ,... ,1004.5 ,2018-06-06 21:11 ,1001.3 ,2018-06-06 14:51 ,27.5 ,32.5 ,2018-06-06 13:11 ,25.0 ,2018-06-06 20:56 ,... ,88 ,69 ,2018-06-06 13:23 ,2.6 ,44 ,6.0 ,85 ,2018-06-06 11:45 ,3.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1001.8 ,... ,1003.1 ,2018-06-07 00:01 ,999.8 ,2018-06-07 17:01 ,26.8 ,28.2 ,2018-06-07 09:23 ,25.2 ,2018-06-07 02:41 ,... ,94 ,87 ,2018-06-07 09:23 ,6.2 ,159 ,12.6 ,71 ,2018-06-07 17:27 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,998.4 ,... ,1000.8 ,2018-06-08 00:01 ,997.0 ,2018-06-08 23:48 ,27.7 ,31.3 ,2018-06-08 15:41 ,25.7 ,2018-06-08 22:51 ,... ,92 ,80 ,2018-06-08 15:51 ,5.2 ,64 ,11.5 ,120 ,2018-06-08 00:31 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,994.7 ,... ,997.0 ,2018-06-09 00:01 ,992.4 ,2018-06-09 17:51 ,26.2 ,27.5 ,2018-06-09 10:51 ,25.3 ,2018-06-09 01:52 ,... ,91 ,86 ,2018-06-09 09:32 ,6.2 ,333 ,10.4 ,328 ,2018-06-09 11:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,994.3 ,... ,995.5 ,2018-06-10 21:21 ,992.7 ,2018-06-10 05:01 ,26.4 ,27.9 ,2018-06-10 14:51 ,25.0 ,2018-06-10 05:01 ,... ,92 ,86 ,2018-06-10 15:01 ,2.6 ,276 ,6.6 ,301 ,2018-06-10 13:25 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
