,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1010.3 ,... ,1012.5 ,2018-05-01 08:25 ,1008.9 ,2018-05-01 15:32 ,27.0 ,31.9 ,2018-05-01 11:45 ,24.1 ,2018-05-01 05:36 ,... ,75 ,55 ,2018-05-01 11:41 ,1.0 ,17 ,7.7 ,296 ,2018-05-01 14:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1009.6 ,... ,1011.4 ,2018-05-02 23:11 ,1007.5 ,2018-05-02 14:36 ,28.1 ,33.1 ,2018-05-02 13:51 ,0.0 ,2018-05-02 22:21 ,... ,73 ,55 ,2018-05-02 13:51 ,1.6 ,22 ,9.3 ,295 ,2018-05-02 13:42 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1015.2 ,... ,1017.3 ,2018-05-03 10:14 ,1011.2 ,2018-05-03 00:01 ,X ,0.1 ,2018-05-03 01:46 ,0.0 ,2018-05-03 14:31 ,... ,X ,77 ,2018-05-03 22:01 ,3.2 ,78 ,12.1 ,65 ,2018-05-03 08:06 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1015.1 ,... ,1015.5 ,2018-05-04 21:33 ,1013.9 ,2018-05-04 16:01 ,24.6 ,26.7 ,2018-05-04 13:44 ,23.6 ,2018-05-04 20:41 ,... ,54 ,46 ,2018-05-04 12:23 ,3.6 ,85 ,10.4 ,112 ,2018-05-04 15:12 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1013.6 ,... ,1015.5 ,2018-05-05 09:05 ,1011.5 ,2018-05-05 15:41 ,26.4 ,31.1 ,2018-05-05 12:42 ,23.4 ,2018-05-05 05:42 ,... ,58 ,43 ,2018-05-05 12:36 ,1.1 ,110 ,7.1 ,92 ,2018-05-05 00:08 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1009.4 ,... ,1012.8 ,2018-05-06 00:01 ,1006.9 ,2018-05-06 16:13 ,27.5 ,32.7 ,2018-05-06 11:23 ,23.9 ,2018-05-06 00:32 ,... ,62 ,42 ,2018-05-06 10:23 ,1.1 ,36 ,12.1 ,80 ,2018-05-06 13:22 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1005.4 ,... ,1007.8 ,2018-05-07 00:01 ,1003.1 ,2018-05-07 15:11 ,28.2 ,33.2 ,2018-05-07 13:05 ,25.3 ,2018-05-07 05:04 ,... ,67 ,44 ,2018-05-07 13:04 ,1.4 ,117 ,8.8 ,102 ,2018-05-07 11:50 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1007.3 ,... ,1012.5 ,2018-05-08 22:38 ,1003.6 ,2018-05-08 02:11 ,24.6 ,30.2 ,2018-05-08 11:41 ,22.0 ,2018-05-08 20:01 ,... ,71 ,47 ,2018-05-08 11:31 ,2.9 ,21 ,11.0 ,280 ,2018-05-08 11:16 ,29.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1014.4 ,... ,1017.0 ,2018-05-09 21:25 ,1011.3 ,2018-05-09 03:01 ,22.8 ,24.5 ,2018-05-09 13:01 ,21.4 ,2018-05-09 23:44 ,... ,60 ,53 ,2018-05-09 14:11 ,2.8 ,110 ,8.8 ,44 ,2018-05-09 10:05 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1015.1 ,... ,1017.5 ,2018-05-10 08:12 ,1012.9 ,2018-05-10 16:31 ,22.7 ,25.7 ,2018-05-10 11:14 ,20.7 ,2018-05-10 02:21 ,... ,55 ,43 ,2018-05-10 12:31 ,3.0 ,75 ,12.1 ,31 ,2018-05-10 14:22 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1011.6 ,... ,1014.0 ,2018-05-11 08:35 ,1009.2 ,2018-05-11 16:41 ,25.7 ,28.3 ,2018-05-11 16:41 ,22.6 ,2018-05-11 00:01 ,... ,53 ,43 ,2018-05-11 10:41 ,2.1 ,85 ,8.8 ,99 ,2018-05-11 01:57 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1009.1 ,... ,1010.8 ,2018-05-12 08:12 ,1007.2 ,2018-05-12 17:01 ,26.4 ,31.1 ,2018-05-12 13:23 ,22.3 ,2018-05-12 05:11 ,... ,63 ,50 ,2018-05-12 14:21 ,1.1 ,12 ,8.2 ,97 ,2018-05-12 10:44 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,1008.2 ,... ,1009.6 ,2018-05-13 08:25 ,1006.8 ,2018-05-13 15:51 ,27.9 ,32.5 ,2018-05-13 14:52 ,24.2 ,2018-05-13 05:24 ,... ,64 ,47 ,2018-05-13 14:54 ,1.1 ,116 ,6.0 ,17 ,2018-05-13 12:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,1008.2 ,... ,1010.6 ,2018-05-14 09:32 ,1005.7 ,2018-05-14 15:32 ,28.2 ,34.5 ,2018-05-14 13:11 ,25.2 ,2018-05-14 03:12 ,... ,64 ,39 ,2018-05-14 13:11 ,1.2 ,18 ,8.8 ,291 ,2018-05-14 15:51 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,1007.7 ,... ,1009.4 ,2018-05-15 09:51 ,1006.7 ,2018-05-15 03:02 ,28.3 ,32.5 ,2018-05-15 13:22 ,25.3 ,2018-05-15 04:22 ,... ,66 ,53 ,2018-05-15 12:31 ,1.0 ,11 ,7.7 ,295 ,2018-05-15 14:30 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,1006.5 ,... ,1007.9 ,2018-05-16 10:02 ,1005.4 ,2018-05-16 16:12 ,28.8 ,33.2 ,2018-05-16 12:22 ,25.3 ,2018-05-16 05:21 ,... ,69 ,51 ,2018-05-16 10:41 ,1.4 ,117 ,7.7 ,306 ,2018-05-16 13:06 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,1005.4 ,... ,1006.9 ,2018-05-17 08:13 ,1003.5 ,2018-05-17 17:33 ,29.8 ,34.4 ,2018-05-17 11:03 ,26.9 ,2018-05-17 02:39 ,... ,67 ,46 ,2018-05-17 11:09 ,1.1 ,314 ,7.7 ,295 ,2018-05-17 13:35 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,1004.8 ,... ,1006.4 ,2018-05-18 08:12 ,1003.0 ,2018-05-18 16:01 ,29.9 ,35.5 ,2018-05-18 12:41 ,26.6 ,2018-05-18 05:01 ,... ,64 ,38 ,2018-05-18 12:41 ,1.3 ,301 ,7.1 ,302 ,2018-05-18 13:38 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,1006.0 ,... ,... , ,... , ,29.0 ,... , ,... , ,... ,67 ,... , ,1.7 ,118 ,... ,... , ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,1006.8 ,... ,1009.6 ,2018-05-20 23:01 ,1004.8 ,2018-05-20 02:11 ,29.4 ,32.9 ,2018-05-20 11:33 ,26.3 ,2018-05-20 04:12 ,... ,64 ,51 ,2018-05-20 14:22 ,1.6 ,113 ,8.8 ,310 ,2018-05-20 12:15 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,1007.8 ,... ,1009.5 ,2018-05-21 21:03 ,1005.2 ,2018-05-21 02:12 ,28.2 ,33.3 ,2018-05-21 13:51 ,25.6 ,2018-05-21 23:13 ,... ,65 ,45 ,2018-05-21 14:01 ,2.4 ,110 ,7.7 ,305 ,2018-05-21 13:21 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
