,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,999.9 ,... ,1001.7 ,2018-07-01 00:01 ,998.2 ,2018-07-01 15:24 ,29.6 ,33.4 ,2018-07-01 12:42 ,25.6 ,2018-07-01 04:34 ,... ,71 ,56 ,2018-07-01 16:11 ,1.7 ,286 ,8.8 ,353 ,2018-07-01 12:58 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,998.1 ,... ,999.2 ,2018-07-02 00:01 ,996.3 ,2018-07-02 16:42 ,31.7 ,35.1 ,2018-07-02 13:21 ,28.6 ,2018-07-02 05:53 ,... ,59 ,44 ,2018-07-02 13:21 ,1.7 ,291 ,7.5 ,229 ,2018-07-02 13:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,997.5 ,... ,999.1 ,2018-07-03 10:44 ,996.4 ,2018-07-03 15:37 ,31.4 ,33.5 ,2018-07-03 14:13 ,27.9 ,2018-07-03 04:31 ,... ,57 ,50 ,2018-07-03 14:32 ,1.8 ,239 ,12.5 ,210 ,2018-07-03 11:55 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,997.3 ,... ,999.1 ,2018-07-04 10:50 ,995.6 ,2018-07-04 14:46 ,31.7 ,34.9 ,2018-07-04 14:41 ,29.4 ,2018-07-05 00:00 ,... ,55 ,44 ,2018-07-04 14:41 ,2.0 ,252 ,10.1 ,236 ,2018-07-04 12:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,997.6 ,... ,999.2 ,2018-07-05 21:41 ,996.4 ,2018-07-05 03:02 ,30.3 ,32.4 ,2018-07-05 16:00 ,28.0 ,2018-07-05 02:41 ,... ,61 ,48 ,2018-07-05 16:18 ,1.5 ,310 ,7.0 ,319 ,2018-07-05 08:24 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,998.8 ,... ,1000.5 ,2018-07-06 21:41 ,992.8 ,2018-07-06 12:51 ,30.9 ,36.4 ,2018-07-06 13:33 ,24.8 ,2018-07-06 02:22 ,... ,62 ,40 ,2018-07-06 11:21 ,1.2 ,353 ,6.9 ,293 ,2018-07-06 14:07 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1001.1 ,... ,1003.3 ,2018-07-07 21:43 ,995.8 ,2018-07-07 00:01 ,28.3 ,33.5 ,2018-07-07 10:32 ,24.6 ,2018-07-07 12:33 ,... ,77 ,53 ,2018-07-07 10:12 ,0.6 ,90 ,5.1 ,294 ,2018-07-07 11:26 ,4.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1002.7 ,... ,1004.6 ,2018-07-08 21:52 ,999.7 ,2018-07-08 00:01 ,29.5 ,35.1 ,2018-07-08 10:51 ,23.4 ,2018-07-08 00:01 ,... ,67 ,48 ,2018-07-08 13:31 ,1.1 ,120 ,5.0 ,250 ,2018-07-08 13:53 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1003.6 ,... ,1005.5 ,2018-07-09 07:12 ,1001.1 ,2018-07-09 17:01 ,29.9 ,35.7 ,2018-07-09 13:42 ,25.5 ,2018-07-09 05:01 ,... ,63 ,38 ,2018-07-09 14:08 ,0.6 ,48 ,7.8 ,81 ,2018-07-09 19:00 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,998.7 ,... ,1004.2 ,2018-07-10 00:01 ,983.7 ,2018-07-10 23:43 ,27.9 ,30.9 ,2018-07-10 12:01 ,23.4 ,2018-07-10 23:43 ,... ,79 ,62 ,2018-07-10 00:04 ,0.4 ,187 ,13.2 ,298 ,2018-07-10 23:59 ,97.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
