,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1011.1 ,... ,1013.0 ,2018-04-01 09:51 ,1007.8 ,2018-04-01 00:01 ,24.8 ,30.8 ,2018-04-01 14:24 ,18.2 ,2018-04-01 00:01 ,... ,50 ,33 ,2018-04-01 14:24 ,1.1 ,69 ,5.7 ,76 ,2018-04-01 08:51 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1011.0 ,... ,1012.4 ,2018-04-02 23:02 ,1006.0 ,2018-04-02 00:01 ,24.0 ,29.6 ,2018-04-02 11:33 ,18.4 ,2018-04-02 00:01 ,... ,64 ,44 ,2018-04-02 11:33 ,1.4 ,31 ,6.9 ,334 ,2018-04-02 13:35 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1011.8 ,... ,1013.0 ,2018-04-03 10:51 ,1010.2 ,2018-04-03 03:21 ,24.2 ,29.5 ,2018-04-03 10:21 ,21.0 ,2018-04-03 05:51 ,... ,69 ,48 ,2018-04-03 10:21 ,1.4 ,63 ,8.3 ,302 ,2018-04-03 12:04 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1011.0 ,... ,1012.9 ,2018-04-04 08:51 ,1008.9 ,2018-04-04 15:11 ,24.6 ,28.5 ,2018-04-04 12:11 ,21.1 ,2018-04-04 04:41 ,... ,68 ,51 ,2018-04-04 14:03 ,1.1 ,319 ,5.9 ,307 ,2018-04-04 13:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1009.7 ,... ,1011.1 ,2018-04-05 00:01 ,1007.9 ,2018-04-05 13:51 ,25.0 ,28.7 ,2018-04-05 10:01 ,22.2 ,2018-04-05 05:21 ,... ,68 ,52 ,2018-04-05 10:22 ,1.3 ,17 ,7.5 ,346 ,2018-04-05 13:38 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1015.1 ,... ,1023.1 ,2018-04-06 21:58 ,1008.3 ,2018-04-06 00:01 ,20.2 ,27.0 ,2018-04-06 08:22 ,14.2 ,2018-04-06 22:36 ,... ,70 ,53 ,2018-04-06 19:51 ,1.1 ,141 ,5.6 ,80 ,2018-04-06 16:02 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1022.5 ,... ,1024.8 ,2018-04-07 09:55 ,1019.9 ,2018-04-07 07:29 ,15.3 ,18.2 ,2018-04-07 14:11 ,10.4 ,2018-04-07 07:29 ,... ,60 ,39 ,2018-04-07 15:35 ,1.3 ,13 ,5.4 ,13 ,2018-04-07 16:05 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1018.3 ,... ,1021.8 ,2018-04-08 00:11 ,1015.5 ,2018-04-08 15:53 ,19.3 ,24.9 ,2018-04-08 13:11 ,14.5 ,2018-04-08 00:02 ,... ,52 ,38 ,2018-04-08 13:01 ,1.4 ,68 ,7.1 ,44 ,2018-04-08 08:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1015.9 ,... ,1018.4 ,2018-04-09 08:08 ,1013.2 ,2018-04-09 15:11 ,21.4 ,27.7 ,2018-04-09 11:41 ,16.1 ,2018-04-09 04:51 ,... ,60 ,27 ,2018-04-09 11:33 ,1.2 ,312 ,7.4 ,331 ,2018-04-09 14:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1013.1 ,... ,1015.7 ,2018-04-10 07:38 ,1010.7 ,2018-04-10 15:11 ,23.0 ,28.6 ,2018-04-10 11:41 ,18.7 ,2018-04-10 04:06 ,... ,59 ,33 ,2018-04-10 11:51 ,1.2 ,2 ,8.2 ,337 ,2018-04-10 13:50 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1010.2 ,... ,1012.3 ,2018-04-11 07:41 ,1007.9 ,2018-04-11 16:51 ,25.0 ,29.6 ,2018-04-11 12:31 ,21.6 ,2018-04-11 02:15 ,... ,69 ,60 ,2018-04-11 08:52 ,1.2 ,342 ,6.4 ,322 ,2018-04-11 14:56 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1009.8 ,... ,1012.0 ,2018-04-12 10:13 ,1006.3 ,2018-04-12 10:05 ,25.0 ,29.4 ,2018-04-12 14:32 ,19.7 ,2018-04-12 10:05 ,... ,81 ,64 ,2018-04-12 14:32 ,0.8 ,299 ,6.9 ,301 ,2018-04-12 09:50 ,8.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,1010.4 ,... ,1012.3 ,2018-04-13 09:21 ,1008.3 ,2018-04-13 15:45 ,26.3 ,31.7 ,2018-04-13 11:41 ,23.0 ,2018-04-13 05:32 ,... ,76 ,52 ,2018-04-13 11:41 ,0.9 ,359 ,7.4 ,307 ,2018-04-13 13:05 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
