,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1007.0 ,... ,1009.6 ,2018-09-01 00:01 ,1000.1 ,2018-09-01 15:11 ,27.9 ,33.3 ,2018-09-01 11:42 ,21.5 ,2018-09-01 05:42 ,... ,75 ,47 ,2018-09-01 12:01 ,0.6 ,250 ,5.5 ,73 ,2018-09-01 14:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1003.9 ,... ,1006.3 ,2018-09-02 00:01 ,996.9 ,2018-09-02 14:31 ,28.8 ,34.2 ,2018-09-02 13:31 ,22.1 ,2018-09-02 05:51 ,... ,71 ,50 ,2018-09-02 11:51 ,0.8 ,82 ,5.5 ,296 ,2018-09-02 12:23 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1001.4 ,... ,1004.2 ,2018-09-03 09:31 ,994.1 ,2018-09-03 16:41 ,29.9 ,36.3 ,2018-09-03 13:34 ,21.7 ,2018-09-03 05:31 ,... ,62 ,35 ,2018-09-03 12:41 ,1.3 ,242 ,8.2 ,280 ,2018-09-03 12:29 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1000.4 ,... ,1002.3 ,2018-09-04 21:11 ,997.8 ,2018-09-04 13:42 ,30.7 ,36.9 ,2018-09-04 12:52 ,28.5 ,2018-09-04 22:44 ,... ,60 ,38 ,2018-09-04 12:53 ,1.1 ,75 ,7.1 ,236 ,2018-09-04 11:40 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1002.2 ,... ,1003.9 ,2018-09-05 09:13 ,996.9 ,2018-09-05 14:11 ,29.8 ,34.9 ,2018-09-05 11:51 ,24.0 ,2018-09-05 05:22 ,... ,68 ,43 ,2018-09-05 11:01 ,0.9 ,96 ,6.6 ,105 ,2018-09-05 13:50 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1002.3 ,... ,1004.1 ,2018-09-06 09:22 ,996.7 ,2018-09-06 15:43 ,29.8 ,35.8 ,2018-09-06 12:51 ,24.6 ,2018-09-06 15:43 ,... ,73 ,50 ,2018-09-06 12:51 ,0.4 ,2 ,7.1 ,202 ,2018-09-06 15:25 ,14.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1003.0 ,... ,1005.1 ,2018-09-07 23:01 ,1000.7 ,2018-09-07 13:31 ,28.3 ,33.3 ,2018-09-07 11:12 ,24.9 ,2018-09-07 15:07 ,... ,80 ,58 ,2018-09-07 10:41 ,0.5 ,86 ,6.6 ,261 ,2018-09-07 14:24 ,13.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1005.0 ,... ,1007.0 ,2018-09-08 20:22 ,1000.6 ,2018-09-08 16:43 ,27.0 ,32.2 ,2018-09-08 13:47 ,21.0 ,2018-09-08 17:44 ,... ,83 ,60 ,2018-09-08 13:16 ,0.6 ,13 ,9.3 ,83 ,2018-09-08 17:19 ,127.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1008.0 ,... ,1011.1 ,2018-09-09 21:37 ,1002.5 ,2018-09-09 04:12 ,24.0 ,25.5 ,2018-09-09 10:42 ,21.3 ,2018-09-09 08:29 ,... ,91 ,80 ,2018-09-09 23:36 ,1.2 ,91 ,12.1 ,106 ,2018-09-09 13:40 ,30.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1008.2 ,... ,1011.0 ,2018-09-10 00:12 ,1002.5 ,2018-09-10 16:36 ,24.1 ,25.9 ,2018-09-10 13:24 ,21.4 ,2018-09-10 19:48 ,... ,91 ,81 ,2018-09-10 00:01 ,1.8 ,87 ,12.1 ,63 ,2018-09-10 13:50 ,38.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
