,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1018.4 ,... ,1020.5 ,2018-01-01 09:10 ,1016.3 ,2018-01-01 14:52 ,17.0 ,19.0 ,2018-01-01 13:01 ,15.2 ,2018-01-01 00:21 ,... ,69 ,60 ,2018-01-01 12:22 ,2.5 ,79 ,11.5 ,96 ,2018-01-01 12:07 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1016.1 ,... ,1018.6 ,2018-01-02 09:11 ,1013.1 ,2018-01-02 15:12 ,20.0 ,23.9 ,2018-01-02 13:22 ,17.2 ,2018-01-02 02:31 ,... ,67 ,52 ,2018-01-02 13:28 ,2.3 ,52 ,9.9 ,87 ,2018-01-02 10:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1015.2 ,... ,1017.5 ,2018-01-03 09:04 ,1012.6 ,2018-01-03 14:52 ,21.3 ,24.8 ,2018-01-03 13:41 ,19.2 ,2018-01-03 04:01 ,... ,64 ,50 ,2018-01-03 12:31 ,2.1 ,76 ,9.9 ,63 ,2018-01-03 16:21 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1013.4 ,... ,1015.2 ,2018-01-04 08:51 ,1010.9 ,2018-01-04 14:31 ,20.0 ,22.9 ,2018-01-04 11:51 ,16.9 ,2018-01-04 23:42 ,... ,78 ,64 ,2018-01-04 11:57 ,1.1 ,329 ,6.6 ,93 ,2018-01-04 00:25 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1014.5 ,... ,1016.3 ,2018-01-05 09:21 ,1012.2 ,2018-01-05 00:11 ,16.6 ,17.3 ,2018-01-05 17:31 ,15.5 ,2018-01-05 11:11 ,... ,88 ,81 ,2018-01-05 18:51 ,1.5 ,78 ,10.4 ,86 ,2018-01-05 23:24 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1013.8 ,... ,1015.8 ,2018-01-06 09:17 ,1011.3 ,2018-01-06 13:42 ,17.0 ,18.4 ,2018-01-06 22:11 ,15.4 ,2018-01-06 00:01 ,... ,89 ,83 ,2018-01-06 06:12 ,2.1 ,78 ,11.0 ,73 ,2018-01-06 08:37 ,26.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1012.7 ,... ,1016.1 ,2018-01-07 09:12 ,1009.4 ,2018-01-07 23:41 ,17.5 ,18.6 ,2018-01-07 20:43 ,16.5 ,2018-01-07 16:22 ,... ,95 ,86 ,2018-01-07 21:01 ,0.8 ,1 ,6.6 ,44 ,2018-01-07 20:37 ,80.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1011.7 ,... ,1018.4 ,2018-01-08 23:41 ,1008.3 ,2018-01-08 14:21 ,17.2 ,19.7 ,2018-01-08 13:51 ,12.0 ,2018-01-08 23:53 ,... ,96 ,88 ,2018-01-08 00:01 ,0.5 ,9 ,8.2 ,346 ,2018-01-08 23:12 ,90.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1020.1 ,... ,1022.8 ,2018-01-09 22:03 ,1017.0 ,2018-01-09 14:31 ,11.4 ,13.4 ,2018-01-09 12:34 ,10.1 ,2018-01-09 17:51 ,... ,77 ,60 ,2018-01-09 13:54 ,0.8 ,56 ,7.1 ,1 ,2018-01-09 03:37 ,19.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1023.0 ,... ,1025.2 ,2018-01-10 08:41 ,1021.0 ,2018-01-10 14:41 ,11.6 ,13.9 ,2018-01-10 10:21 ,9.6 ,2018-01-10 06:41 ,... ,56 ,31 ,2018-01-10 14:52 ,1.1 ,76 ,9.9 ,5 ,2018-01-10 12:48 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1024.4 ,... ,1027.8 ,2018-01-11 22:31 ,1021.7 ,2018-01-11 14:12 ,11.7 ,15.1 ,2018-01-11 10:22 ,9.6 ,2018-01-11 02:11 ,... ,54 ,39 ,2018-01-11 10:21 ,1.3 ,21 ,9.3 ,56 ,2018-01-11 10:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1026.3 ,... ,1027.9 ,2018-01-12 08:44 ,1024.0 ,2018-01-12 13:51 ,10.8 ,13.5 ,2018-01-12 12:43 ,8.2 ,2018-01-12 05:01 ,... ,51 ,39 ,2018-01-12 12:21 ,1.5 ,67 ,8.8 ,31 ,2018-01-12 11:25 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,1024.2 ,... ,1026.7 ,2018-01-13 00:51 ,1021.9 ,2018-01-13 14:01 ,12.7 ,15.7 ,2018-01-13 10:41 ,9.0 ,2018-01-13 06:21 ,... ,54 ,37 ,2018-01-13 10:42 ,1.8 ,80 ,11.5 ,39 ,2018-01-13 11:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,1018.7 ,... ,1022.9 ,2018-01-14 00:02 ,1015.2 ,2018-01-14 14:22 ,16.4 ,21.0 ,2018-01-14 14:37 ,11.7 ,2018-01-14 06:51 ,... ,64 ,46 ,2018-01-14 15:13 ,1.3 ,80 ,8.8 ,65 ,2018-01-14 11:46 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,1014.1 ,... ,1017.4 ,2018-01-15 08:11 ,1011.2 ,2018-01-15 14:31 ,18.6 ,23.8 ,2018-01-15 14:51 ,13.4 ,2018-01-15 06:41 ,... ,63 ,45 ,2018-01-15 14:51 ,0.9 ,75 ,7.7 ,31 ,2018-01-15 13:31 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,1010.9 ,... ,1013.9 ,2018-01-16 08:51 ,1008.3 ,2018-01-16 16:01 ,18.8 ,24.9 ,2018-01-16 13:01 ,14.7 ,2018-01-16 06:51 ,... ,71 ,38 ,2018-01-16 13:01 ,0.3 ,5 ,3.5 ,58 ,2018-01-16 14:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,1011.9 ,... ,1014.1 ,2018-01-17 08:55 ,1009.4 ,2018-01-17 00:12 ,20.1 ,24.4 ,2018-01-17 13:51 ,17.2 ,2018-01-17 07:23 ,... ,75 ,45 ,2018-01-17 13:51 ,1.5 ,63 ,10.4 ,51 ,2018-01-17 15:55 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,1014.0 ,... ,1016.2 ,2018-01-18 09:22 ,1011.1 ,2018-01-18 15:01 ,20.5 ,22.8 ,2018-01-18 14:21 ,18.5 ,2018-01-18 00:12 ,... ,84 ,73 ,2018-01-18 14:21 ,1.8 ,64 ,9.3 ,100 ,2018-01-18 08:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,1015.7 ,... ,1018.4 ,2018-01-19 09:15 ,1013.6 ,2018-01-19 00:01 ,18.5 ,20.2 ,2018-01-19 00:51 ,17.2 ,2018-01-19 08:12 ,... ,90 ,86 ,2018-01-19 14:41 ,1.0 ,80 ,7.7 ,88 ,2018-01-19 19:18 ,8.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,1013.8 ,... ,1015.8 ,2018-01-20 08:13 ,1010.2 ,2018-01-20 15:01 ,18.9 ,20.6 ,2018-01-20 13:56 ,16.7 ,2018-01-20 07:41 ,... ,86 ,75 ,2018-01-20 13:02 ,1.9 ,77 ,9.9 ,68 ,2018-01-20 12:06 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,1011.6 ,... ,1014.8 ,2018-01-21 08:01 ,1007.9 ,2018-01-21 15:11 ,19.4 ,21.0 ,2018-01-21 16:02 ,17.1 ,2018-01-21 01:31 ,... ,85 ,75 ,2018-01-21 12:31 ,1.4 ,54 ,9.3 ,32 ,2018-01-21 11:38 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,1011.8 ,... ,1013.7 ,2018-01-22 22:04 ,1009.2 ,2018-01-22 00:02 ,17.4 ,20.3 ,2018-01-22 13:12 ,16.3 ,2018-01-22 05:14 ,... ,79 ,62 ,2018-01-22 13:12 ,2.0 ,68 ,11.0 ,82 ,2018-01-22 22:49 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,1012.9 ,... ,1014.7 ,2018-01-23 22:24 ,1009.4 ,2018-01-23 13:51 ,18.6 ,22.2 ,2018-01-23 12:51 ,15.7 ,2018-01-23 03:31 ,... ,68 ,56 ,2018-01-23 12:51 ,2.3 ,77 ,10.4 ,75 ,2018-01-23 18:58 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
