,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,994.5 ,... ,995.6 ,2018-08-01 07:11 ,992.5 ,2018-08-01 16:24 ,29.7 ,31.9 ,2018-08-01 09:53 ,27.8 ,2018-08-01 05:41 ,... ,85 ,74 ,2018-08-01 09:02 ,1.7 ,190 ,8.5 ,197 ,2018-08-01 07:40 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,993.3 ,... ,994.6 ,2018-08-02 07:45 ,991.4 ,2018-08-02 15:16 ,29.3 ,31.6 ,2018-08-02 14:45 ,28.2 ,2018-08-02 05:01 ,... ,83 ,73 ,2018-08-02 13:54 ,2.0 ,185 ,8.9 ,305 ,2018-08-02 14:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,994.0 ,... ,... , ,... , ,29.1 ,... , ,... , ,... ,79 ,... , ,1.4 ,192 ,... ,... , ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,996.2 ,... ,997.8 ,2018-08-04 10:32 ,994.4 ,2018-08-04 17:21 ,28.8 ,32.6 ,2018-08-04 14:16 ,25.6 ,2018-08-04 03:08 ,... ,81 ,67 ,2018-08-04 09:43 ,1.5 ,191 ,6.4 ,249 ,2018-08-04 07:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,997.0 ,... ,998.7 ,2018-08-05 07:11 ,995.0 ,2018-08-05 16:31 ,29.3 ,33.1 ,2018-08-05 12:45 ,26.4 ,2018-08-05 01:42 ,... ,80 ,64 ,2018-08-05 20:08 ,1.5 ,83 ,7.8 ,60 ,2018-08-05 13:43 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,996.1 ,... ,998.0 ,2018-08-06 07:25 ,993.7 ,2018-08-06 17:22 ,29.5 ,32.6 ,2018-08-06 14:32 ,26.3 ,2018-08-06 03:07 ,... ,74 ,55 ,2018-08-06 19:43 ,1.5 ,93 ,8.3 ,82 ,2018-08-06 15:07 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,995.7 ,... ,996.9 ,2018-08-07 06:21 ,994.2 ,2018-08-07 14:52 ,29.2 ,32.8 ,2018-08-07 11:11 ,26.3 ,2018-08-07 05:42 ,... ,74 ,59 ,2018-08-07 13:32 ,1.7 ,81 ,8.6 ,72 ,2018-08-07 14:58 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,995.8 ,... ,996.8 ,2018-08-08 09:24 ,994.4 ,2018-08-08 16:21 ,29.2 ,32.7 ,2018-08-08 12:01 ,26.0 ,2018-08-08 03:42 ,... ,72 ,61 ,2018-08-08 13:42 ,1.3 ,74 ,7.4 ,81 ,2018-08-08 13:29 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,996.0 ,... ,997.4 ,2018-08-09 08:33 ,994.4 ,2018-08-09 16:47 ,28.4 ,32.9 ,2018-08-09 13:52 ,24.5 ,2018-08-09 05:15 ,... ,71 ,58 ,2018-08-09 13:52 ,1.3 ,196 ,5.6 ,49 ,2018-08-09 15:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,994.9 ,... ,996.3 ,2018-08-10 09:41 ,993.0 ,2018-08-10 17:22 ,28.5 ,31.9 ,2018-08-10 12:14 ,25.0 ,2018-08-10 02:13 ,... ,75 ,61 ,2018-08-10 08:49 ,1.6 ,191 ,5.8 ,350 ,2018-08-10 10:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,991.9 ,... ,994.2 ,2018-08-11 00:01 ,989.8 ,2018-08-11 16:37 ,28.6 ,31.8 ,2018-08-11 14:11 ,25.9 ,2018-08-11 03:16 ,... ,82 ,69 ,2018-08-11 14:11 ,1.6 ,192 ,6.2 ,5 ,2018-08-11 13:25 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,987.8 ,... ,990.0 ,2018-08-12 00:11 ,985.7 ,2018-08-12 16:01 ,27.9 ,30.6 ,2018-08-12 12:24 ,25.9 ,2018-08-12 23:54 ,... ,86 ,78 ,2018-08-12 01:22 ,1.3 ,182 ,8.9 ,347 ,2018-08-12 10:37 ,5.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,990.0 ,... ,992.0 ,2018-08-13 23:11 ,988.0 ,2018-08-13 00:01 ,28.7 ,32.2 ,2018-08-13 11:43 ,25.6 ,2018-08-13 00:53 ,... ,81 ,69 ,2018-08-13 13:09 ,1.8 ,84 ,9.9 ,86 ,2018-08-13 12:13 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,991.0 ,... ,992.4 ,2018-08-14 07:43 ,989.2 ,2018-08-14 16:28 ,26.5 ,29.5 ,2018-08-14 14:14 ,25.1 ,2018-08-14 19:21 ,... ,94 ,80 ,2018-08-14 14:11 ,1.4 ,193 ,5.7 ,173 ,2018-08-14 07:24 ,88.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,992.2 ,... ,993.3 ,2018-08-15 10:12 ,991.1 ,2018-08-15 01:02 ,28.0 ,31.0 ,2018-08-15 13:52 ,25.4 ,2018-08-15 00:01 ,... ,88 ,78 ,2018-08-15 10:43 ,1.9 ,187 ,9.7 ,277 ,2018-08-15 12:43 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
