,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1010.8 ,... ,1012.6 ,2018-04-01 10:01 ,1008.9 ,2018-04-01 15:36 ,25.0 ,30.2 ,2018-04-01 14:43 ,21.9 ,2018-04-01 04:56 ,... ,49 ,34 ,2018-04-01 13:33 ,1.7 ,110 ,7.7 ,128 ,2018-04-01 06:58 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1010.8 ,... ,1012.3 ,2018-04-02 23:02 ,1009.0 ,2018-04-02 14:31 ,24.2 ,30.2 ,2018-04-02 12:02 ,18.3 ,2018-04-02 05:21 ,... ,62 ,38 ,2018-04-02 12:25 ,1.0 ,33 ,7.7 ,114 ,2018-04-02 00:07 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1011.7 ,... ,1012.8 ,2018-04-03 22:01 ,1010.4 ,2018-04-03 04:01 ,23.7 ,29.5 ,2018-04-03 11:31 ,20.0 ,2018-04-03 05:31 ,... ,75 ,47 ,2018-04-03 11:32 ,0.9 ,112 ,6.6 ,280 ,2018-04-03 12:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1011.0 ,... ,1012.9 ,2018-04-04 09:11 ,1009.3 ,2018-04-04 15:21 ,24.4 ,28.9 ,2018-04-04 12:41 ,20.3 ,2018-04-04 03:31 ,... ,72 ,52 ,2018-04-04 12:41 ,0.6 ,16 ,4.9 ,280 ,2018-04-04 12:44 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1009.7 ,... ,1011.1 ,2018-04-05 00:01 ,1008.1 ,2018-04-05 14:53 ,24.9 ,29.2 ,2018-04-05 12:02 ,20.9 ,2018-04-05 05:51 ,... ,71 ,53 ,2018-04-05 11:41 ,1.0 ,1 ,6.0 ,289 ,2018-04-05 12:09 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1015.1 ,... ,1023.1 ,2018-04-06 21:56 ,1008.4 ,2018-04-06 02:01 ,19.7 ,27.4 ,2018-04-06 09:02 ,14.6 ,2018-04-06 22:41 ,... ,75 ,54 ,2018-04-06 20:33 ,1.3 ,71 ,11.0 ,110 ,2018-04-06 10:13 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1022.2 ,... ,1024.4 ,2018-04-07 09:51 ,1020.8 ,2018-04-07 14:35 ,15.3 ,18.1 ,2018-04-07 15:12 ,13.5 ,2018-04-07 07:04 ,... ,62 ,37 ,2018-04-07 16:23 ,1.1 ,143 ,14.3 ,180 ,2018-04-07 16:47 ,3.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1017.8 ,... ,1021.4 ,2018-04-08 00:01 ,1015.5 ,2018-04-08 15:04 ,19.2 ,24.5 ,2018-04-08 14:52 ,14.3 ,2018-04-08 04:35 ,... ,53 ,38 ,2018-04-08 12:44 ,1.8 ,100 ,11.0 ,120 ,2018-04-08 11:19 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1015.6 ,... ,1018.1 ,2018-04-09 08:11 ,1013.2 ,2018-04-09 15:46 ,21.3 ,28.8 ,2018-04-09 12:58 ,14.7 ,2018-04-09 03:41 ,... ,62 ,28 ,2018-04-09 13:05 ,0.8 ,19 ,6.0 ,288 ,2018-04-09 14:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1012.9 ,... ,1015.4 ,2018-04-10 07:31 ,1010.5 ,2018-04-10 16:21 ,22.9 ,29.1 ,2018-04-10 13:11 ,17.4 ,2018-04-10 03:31 ,... ,61 ,27 ,2018-04-10 13:03 ,1.0 ,103 ,7.1 ,18 ,2018-04-10 13:56 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
