,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1016.7 ,... ,1017.9 ,2018-11-01 09:39 ,1015.1 ,2018-11-01 03:20 ,19.4 ,20.5 ,2018-11-01 10:28 ,18.7 ,2018-11-01 21:43 ,... ,82 ,71 ,2018-11-01 02:37 ,2.8 ,79 ,9.5 ,83 ,2018-11-01 01:08 ,7.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1014.3 ,... ,1016.2 ,2018-11-02 00:01 ,1012.4 ,2018-11-02 14:30 ,21.4 ,22.9 ,2018-11-02 12:11 ,19.6 ,2018-11-03 00:00 ,... ,86 ,82 ,2018-11-02 12:14 ,2.7 ,77 ,10.6 ,80 ,2018-11-02 10:33 ,16.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1013.0 ,... ,1014.3 ,2018-11-03 21:02 ,1011.7 ,2018-11-03 14:45 ,23.9 ,25.8 ,2018-11-03 11:50 ,21.8 ,2018-11-03 00:48 ,... ,83 ,75 ,2018-11-03 15:08 ,1.2 ,87 ,6.0 ,273 ,2018-11-03 12:40 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1013.8 ,... ,1015.4 ,2018-11-04 08:57 ,1012.1 ,2018-11-04 14:07 ,24.2 ,26.4 ,2018-11-04 13:47 ,22.8 ,2018-11-04 03:54 ,... ,78 ,64 ,2018-11-04 13:48 ,1.8 ,79 ,8.2 ,88 ,2018-11-04 15:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1014.1 ,... ,1015.6 ,2018-11-05 09:12 ,1012.8 ,2018-11-05 14:27 ,23.7 ,25.3 ,2018-11-05 15:27 ,22.5 ,2018-11-05 05:15 ,... ,83 ,74 ,2018-11-05 13:42 ,1.9 ,79 ,8.2 ,99 ,2018-11-05 20:52 ,7.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1014.4 ,... ,1016.1 ,2018-11-06 08:58 ,1012.6 ,2018-11-06 14:25 ,25.3 ,28.7 ,2018-11-06 11:19 ,22.8 ,2018-11-06 06:33 ,... ,74 ,58 ,2018-11-06 13:43 ,2.3 ,78 ,8.6 ,76 ,2018-11-06 13:43 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1013.7 ,... ,1015.8 ,2018-11-07 08:34 ,1012.1 ,2018-11-07 15:48 ,26.6 ,31.2 ,2018-11-07 12:10 ,23.4 ,2018-11-07 04:02 ,... ,69 ,48 ,2018-11-07 12:13 ,1.5 ,80 ,7.2 ,269 ,2018-11-07 13:05 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1013.3 ,... ,1014.8 ,2018-11-08 09:07 ,1012.1 ,2018-11-08 13:50 ,25.5 ,30.3 ,2018-11-08 12:33 ,23.0 ,2018-11-08 05:56 ,... ,72 ,51 ,2018-11-08 12:14 ,1.1 ,265 ,6.0 ,254 ,2018-11-08 13:37 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1015.4 ,... ,1016.9 ,2018-11-09 08:31 ,1013.7 ,2018-11-09 02:23 ,22.6 ,23.6 ,2018-11-09 00:43 ,21.6 ,2018-11-09 20:21 ,... ,80 ,74 ,2018-11-09 15:06 ,2.6 ,79 ,9.5 ,80 ,2018-11-09 17:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1015.2 ,... ,1017.8 ,2018-11-10 08:57 ,1012.9 ,2018-11-10 15:48 ,23.8 ,27.6 ,2018-11-10 15:05 ,21.8 ,2018-11-11 00:00 ,... ,76 ,56 ,2018-11-10 15:09 ,2.5 ,75 ,10.3 ,83 ,2018-11-10 11:34 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1013.4 ,... ,1015.6 ,2018-11-11 08:22 ,1011.6 ,2018-11-11 14:48 ,24.6 ,29.7 ,2018-11-11 12:21 ,21.7 ,2018-11-11 06:16 ,... ,68 ,47 ,2018-11-11 12:20 ,1.2 ,298 ,6.5 ,254 ,2018-11-11 14:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1011.6 ,... ,1013.9 ,2018-11-12 08:12 ,1009.1 ,2018-11-12 14:32 ,23.9 ,28.7 ,2018-11-12 14:45 ,22.2 ,2018-11-12 22:59 ,... ,72 ,50 ,2018-11-12 14:56 ,1.3 ,80 ,16.6 ,274 ,2018-11-12 07:09 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,1012.8 ,... ,1014.3 ,2018-11-13 08:53 ,1011.2 ,2018-11-13 14:12 ,21.6 ,22.8 ,2018-11-13 12:43 ,20.2 ,2018-11-13 23:18 ,... ,74 ,63 ,2018-11-13 12:55 ,2.6 ,78 ,10.0 ,79 ,2018-11-13 09:31 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,1014.4 ,... ,1016.0 ,2018-11-14 08:59 ,1012.6 ,2018-11-14 15:25 ,21.7 ,23.1 ,2018-11-14 12:09 ,20.2 ,2018-11-15 00:00 ,... ,67 ,60 ,2018-11-14 12:12 ,2.7 ,81 ,11.8 ,84 ,2018-11-14 11:12 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,1013.7 ,... ,1015.6 ,2018-11-15 09:04 ,1011.2 ,2018-11-15 14:14 ,23.2 ,26.9 ,2018-11-15 12:34 ,20.7 ,2018-11-15 05:45 ,... ,67 ,53 ,2018-11-15 12:57 ,2.2 ,79 ,8.5 ,117 ,2018-11-15 11:06 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,1013.2 ,... ,1014.6 ,2018-11-16 21:50 ,1011.3 ,2018-11-16 14:31 ,24.4 ,28.0 ,2018-11-16 11:31 ,21.9 ,2018-11-16 23:58 ,... ,70 ,52 ,2018-11-16 11:02 ,1.7 ,73 ,8.0 ,87 ,2018-11-16 14:31 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,1014.1 ,... ,1016.4 ,2018-11-17 09:47 ,1012.7 ,2018-11-17 14:33 ,21.5 ,22.4 ,2018-11-17 23:15 ,20.5 ,2018-11-17 07:02 ,... ,82 ,78 ,2018-11-17 02:54 ,2.3 ,80 ,8.6 ,106 ,2018-11-17 03:27 ,6.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,1012.6 ,... ,1014.4 ,2018-11-18 08:39 ,1010.2 ,2018-11-18 13:50 ,24.3 ,29.1 ,2018-11-18 13:06 ,21.7 ,2018-11-18 02:40 ,... ,75 ,53 ,2018-11-18 13:16 ,1.7 ,80 ,7.2 ,262 ,2018-11-18 15:44 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,1015.9 ,... ,1017.8 ,2018-11-19 09:21 ,1013.1 ,2018-11-19 02:29 ,20.9 ,22.8 ,2018-11-20 00:00 ,19.9 ,2018-11-19 18:04 ,... ,79 ,71 ,2018-11-19 12:27 ,2.0 ,77 ,7.8 ,92 ,2018-11-19 12:40 ,10.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,1015.2 ,... ,1017.4 ,2018-11-20 09:10 ,1013.2 ,2018-11-20 14:25 ,22.5 ,24.3 ,2018-11-20 14:09 ,20.8 ,2018-11-20 00:08 ,... ,65 ,56 ,2018-11-20 14:11 ,2.6 ,77 ,10.1 ,74 ,2018-11-20 13:02 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,1013.2 ,... ,1015.7 ,2018-11-21 23:13 ,1010.6 ,2018-11-21 14:21 ,23.9 ,28.6 ,2018-11-21 13:57 ,21.3 ,2018-11-21 06:14 ,... ,68 ,48 ,2018-11-21 11:10 ,1.0 ,77 ,6.4 ,289 ,2018-11-21 11:36 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,1018.7 ,... ,1020.9 ,2018-11-22 09:04 ,1015.4 ,2018-11-22 01:02 ,19.0 ,21.4 ,2018-11-22 00:03 ,18.0 ,2018-11-22 23:06 ,... ,77 ,68 ,2018-11-22 11:45 ,1.9 ,77 ,7.3 ,96 ,2018-11-22 01:02 ,8.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,1018.0 ,... ,1020.1 ,2018-11-23 09:13 ,1016.9 ,2018-11-23 14:04 ,18.1 ,19.0 ,2018-11-23 13:14 ,16.8 ,2018-11-23 03:43 ,... ,80 ,72 ,2018-11-23 06:21 ,2.5 ,80 ,9.2 ,89 ,2018-11-24 00:00 ,4.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
23,24,1016.8 ,... ,1018.3 ,2018-11-24 08:38 ,1014.9 ,2018-11-24 13:43 ,21.6 ,25.2 ,2018-11-24 13:12 ,18.5 ,2018-11-24 05:48 ,... ,72 ,55 ,2018-11-24 11:39 ,2.4 ,76 ,9.1 ,94 ,2018-11-24 14:06 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
24,25,1014.7 ,... ,1017.2 ,2018-11-26 00:00 ,1012.2 ,2018-11-25 13:25 ,23.3 ,27.6 ,2018-11-25 12:26 ,20.9 ,2018-11-25 05:09 ,... ,58 ,35 ,2018-11-25 12:40 ,1.4 ,78 ,7.2 ,82 ,2018-11-25 08:49 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
25,26,1015.9 ,... ,1017.4 ,2018-11-26 21:05 ,1014.7 ,2018-11-26 05:16 ,21.1 ,24.3 ,2018-11-26 12:46 ,19.7 ,2018-11-26 05:34 ,... ,76 ,52 ,2018-11-26 12:31 ,1.0 ,80 ,5.7 ,148 ,2018-11-26 05:16 ,3.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
