,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1000.8 ,... ,1002.2 ,2018-08-01 07:39 ,998.7 ,2018-08-01 16:41 ,30.7 ,35.2 ,2018-08-01 11:54 ,27.2 ,2018-08-01 05:44 ,... ,75 ,54 ,2018-08-01 11:37 ,2.1 ,249 ,9.1 ,249 ,2018-08-01 11:27 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,999.7 ,... ,1001.0 ,2018-08-02 08:42 ,997.7 ,2018-08-02 16:02 ,30.3 ,34.9 ,2018-08-02 13:32 ,28.0 ,2018-08-02 04:40 ,... ,72 ,50 ,2018-08-02 13:10 ,2.8 ,248 ,11.7 ,247 ,2018-08-02 10:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1000.6 ,... ,1002.5 ,2018-08-03 21:31 ,998.9 ,2018-08-03 02:13 ,29.2 ,35.3 ,2018-08-03 13:32 ,25.4 ,2018-08-03 23:59 ,... ,73 ,55 ,2018-08-03 10:54 ,1.9 ,185 ,10.4 ,160 ,2018-08-03 15:44 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1002.6 ,... ,1003.9 ,2018-08-04 23:57 ,1001.1 ,2018-08-04 17:22 ,28.7 ,34.5 ,2018-08-04 10:57 ,25.0 ,2018-08-04 04:06 ,... ,78 ,57 ,2018-08-04 10:56 ,1.0 ,15 ,8.1 ,263 ,2018-08-04 11:09 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1003.4 ,... ,1004.9 ,2018-08-05 07:31 ,1001.6 ,2018-08-05 16:43 ,29.2 ,34.4 ,2018-08-05 11:58 ,25.5 ,2018-08-05 03:19 ,... ,79 ,55 ,2018-08-05 12:00 ,1.5 ,14 ,9.5 ,26 ,2018-08-05 14:46 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1002.5 ,... ,1004.5 ,2018-08-06 08:39 ,999.8 ,2018-08-06 17:27 ,29.8 ,34.3 ,2018-08-06 16:46 ,25.6 ,2018-08-06 23:57 ,... ,73 ,56 ,2018-08-06 16:47 ,1.7 ,5 ,7.6 ,96 ,2018-08-06 20:24 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1001.6 ,... ,1003.2 ,2018-08-07 07:33 ,999.6 ,2018-08-07 16:55 ,29.7 ,34.5 ,2018-08-07 14:43 ,25.7 ,2018-08-07 00:53 ,... ,72 ,52 ,2018-08-07 14:45 ,2.1 ,72 ,10.5 ,21 ,2018-08-07 13:53 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1002.0 ,... ,1003.1 ,2018-08-08 09:17 ,1000.8 ,2018-08-08 17:10 ,29.1 ,33.6 ,2018-08-08 12:16 ,24.1 ,2018-08-08 23:59 ,... ,73 ,58 ,2018-08-08 12:17 ,2.0 ,10 ,10.1 ,25 ,2018-08-08 16:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1002.3 ,... ,1003.5 ,2018-08-09 09:24 ,1000.9 ,2018-08-09 18:05 ,27.9 ,32.8 ,2018-08-09 11:47 ,23.0 ,2018-08-09 04:14 ,... ,80 ,59 ,2018-08-09 13:52 ,1.4 ,3 ,8.9 ,11 ,2018-08-09 14:56 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1001.2 ,... ,1002.6 ,2018-08-10 09:38 ,999.3 ,2018-08-10 17:41 ,28.4 ,32.7 ,2018-08-10 11:32 ,24.4 ,2018-08-10 03:12 ,... ,79 ,58 ,2018-08-10 12:57 ,1.4 ,33 ,7.9 ,73 ,2018-08-10 14:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,998.2 ,... ,1000.7 ,2018-08-12 00:00 ,996.1 ,2018-08-11 17:38 ,28.3 ,32.6 ,2018-08-11 13:40 ,24.5 ,2018-08-11 02:58 ,... ,83 ,62 ,2018-08-11 12:12 ,1.6 ,161 ,7.8 ,351 ,2018-08-11 13:13 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,994.4 ,... ,996.6 ,2018-08-12 00:01 ,992.3 ,2018-08-12 16:36 ,27.5 ,32.6 ,2018-08-12 12:00 ,25.0 ,2018-08-13 00:00 ,... ,88 ,63 ,2018-08-12 11:58 ,0.9 ,252 ,8.6 ,353 ,2018-08-12 12:25 ,10.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,996.1 ,... ,998.0 ,2018-08-13 23:57 ,994.3 ,2018-08-13 15:39 ,29.0 ,33.4 ,2018-08-13 15:41 ,24.8 ,2018-08-13 00:31 ,... ,81 ,60 ,2018-08-13 16:52 ,1.5 ,13 ,10.7 ,78 ,2018-08-13 16:22 ,10.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,997.3 ,... ,998.2 ,2018-08-14 22:22 ,995.7 ,2018-08-14 16:44 ,27.1 ,30.4 ,2018-08-14 09:19 ,24.9 ,2018-08-14 20:43 ,... ,87 ,72 ,2018-08-14 13:12 ,1.1 ,334 ,5.7 ,333 ,2018-08-14 15:42 ,17.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,998.6 ,... ,999.6 ,2018-08-15 22:47 ,997.4 ,2018-08-15 01:40 ,28.0 ,32.8 ,2018-08-15 12:05 ,24.4 ,2018-08-15 02:06 ,... ,82 ,63 ,2018-08-15 15:20 ,1.7 ,171 ,10.9 ,248 ,2018-08-15 15:37 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,997.8 ,... ,999.5 ,2018-08-16 09:38 ,996.1 ,2018-08-16 16:21 ,28.7 ,32.5 ,2018-08-16 15:24 ,26.2 ,2018-08-16 03:45 ,... ,78 ,60 ,2018-08-16 15:33 ,2.1 ,227 ,10.6 ,242 ,2018-08-16 13:23 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,996.9 ,... ,999.5 ,2018-08-17 23:47 ,995.1 ,2018-08-17 14:57 ,29.5 ,35.0 ,2018-08-17 11:39 ,25.3 ,2018-08-17 19:01 ,... ,75 ,53 ,2018-08-17 11:16 ,2.2 ,220 ,10.6 ,243 ,2018-08-17 14:38 ,7.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,999.7 ,... ,1001.0 ,2018-08-18 21:09 ,998.5 ,2018-08-18 17:26 ,28.2 ,32.0 ,2018-08-18 09:29 ,25.4 ,2018-08-18 04:56 ,... ,84 ,66 ,2018-08-18 09:00 ,1.2 ,204 ,5.7 ,15 ,2018-08-18 13:56 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
