,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1009.8 ,... ,1012.3 ,2018-04-01 10:23 ,1008.4 ,2018-04-01 04:02 ,23.5 ,29.0 ,2018-04-01 13:41 ,19.0 ,2018-04-01 06:14 ,... ,87 ,61 ,2018-04-01 14:24 ,1.0 ,180 ,5.6 ,298 ,2018-04-01 11:48 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1010.1 ,... ,1011.8 ,2018-04-02 09:31 ,1008.9 ,2018-04-02 02:51 ,22.6 ,27.4 ,2018-04-02 15:11 ,18.7 ,2018-04-02 02:52 ,... ,94 ,78 ,2018-04-02 16:24 ,1.1 ,298 ,5.7 ,292 ,2018-04-02 11:27 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1010.9 ,... ,1012.8 ,2018-04-03 11:24 ,1009.6 ,2018-04-03 03:01 ,22.9 ,28.9 ,2018-04-03 13:14 ,18.0 ,2018-04-03 05:42 ,... ,89 ,65 ,2018-04-03 11:52 ,1.1 ,67 ,6.6 ,303 ,2018-04-03 12:44 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1010.2 ,... ,1012.4 ,2018-04-04 10:12 ,1008.9 ,2018-04-04 15:32 ,23.8 ,29.7 ,2018-04-04 11:52 ,18.6 ,2018-04-04 05:42 ,... ,90 ,65 ,2018-04-04 11:46 ,0.9 ,22 ,5.5 ,296 ,2018-04-04 13:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1009.1 ,... ,1010.8 ,2018-04-05 09:41 ,1007.6 ,2018-04-05 17:33 ,23.9 ,29.2 ,2018-04-05 12:14 ,19.6 ,2018-04-05 04:01 ,... ,91 ,74 ,2018-04-05 15:01 ,0.9 ,178 ,4.8 ,288 ,2018-04-05 14:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1012.5 ,... ,... , ,... , ,20.5 ,... , ,... , ,... ,86 ,... , ,4.7 ,39 ,... ,... , ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1019.0 ,... ,1020.9 ,2018-04-07 09:34 ,1016.5 ,2018-04-07 03:31 ,16.0 ,17.9 ,2018-04-07 15:01 ,14.4 ,2018-04-07 02:11 ,... ,61 ,37 ,2018-04-07 23:12 ,5.2 ,58 ,15.3 ,54 ,2018-04-07 01:27 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1016.4 ,... ,1019.0 ,2018-04-08 00:01 ,1014.6 ,2018-04-08 15:02 ,19.1 ,26.5 ,2018-04-08 12:33 ,11.7 ,2018-04-08 05:31 ,... ,63 ,38 ,2018-04-08 01:27 ,1.2 ,44 ,6.6 ,251 ,2018-04-08 14:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1015.0 ,... ,1017.1 ,2018-04-09 09:51 ,1013.1 ,2018-04-09 15:41 ,20.1 ,27.1 ,2018-04-09 13:31 ,13.4 ,2018-04-09 06:23 ,... ,84 ,54 ,2018-04-09 13:55 ,1.0 ,16 ,5.0 ,279 ,2018-04-09 13:30 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1012.1 ,... ,1014.6 ,2018-04-10 09:27 ,1010.1 ,2018-04-10 16:51 ,22.0 ,28.8 ,2018-04-10 11:51 ,15.1 ,2018-04-10 06:01 ,... ,77 ,30 ,2018-04-10 10:35 ,0.9 ,35 ,6.8 ,288 ,2018-04-10 11:40 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
