,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,664.7 ,... ,665.6 ,2018-10-01 20:40 ,663.7 ,2018-10-01 03:47 ,5.3 ,11.6 ,2018-10-01 11:59 ,-1.0 ,2018-10-01 19:44 ,... ,43 ,2 ,2018-10-01 02:40 ,2.2 ,223 ,10.1 ,201 ,2018-10-01 01:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,664.7 ,... ,665.7 ,2018-10-02 10:53 ,664.0 ,2018-10-02 03:44 ,5.7 ,10.2 ,2018-10-02 08:08 ,-0.2 ,2018-10-02 00:20 ,... ,30 ,4 ,2018-10-02 21:02 ,1.9 ,56 ,10.0 ,97 ,2018-10-02 11:23 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,664.5 ,... ,665.6 ,2018-10-03 10:15 ,663.7 ,2018-10-03 15:17 ,5.9 ,12.2 ,2018-10-03 12:30 ,1.5 ,2018-10-03 23:35 ,... ,53 ,15 ,2018-10-03 07:27 ,2.0 ,217 ,7.1 ,41 ,2018-10-03 09:42 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,662.4 ,... ,664.1 ,2018-10-05 00:00 ,661.1 ,2018-10-04 18:22 ,6.4 ,13.2 ,2018-10-04 10:00 ,1.3 ,2018-10-04 02:52 ,... ,69 ,32 ,2018-10-04 09:22 ,2.9 ,58 ,14.6 ,101 ,2018-10-04 23:40 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,662.7 ,... ,664.7 ,2018-10-05 21:15 ,660.2 ,2018-10-05 03:39 ,6.3 ,11.6 ,2018-10-05 13:04 ,1.3 ,2018-10-05 20:42 ,... ,77 ,39 ,2018-10-05 10:28 ,2.7 ,45 ,12.2 ,85 ,2018-10-05 00:53 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,665.4 ,... ,666.6 ,2018-10-06 21:59 ,663.5 ,2018-10-06 02:25 ,6.3 ,12.1 ,2018-10-06 09:45 ,0.6 ,2018-10-06 22:47 ,... ,72 ,40 ,2018-10-06 02:38 ,2.5 ,38 ,10.8 ,204 ,2018-10-06 06:28 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,665.9 ,... ,667.2 ,2018-10-07 10:05 ,665.2 ,2018-10-07 16:02 ,6.0 ,12.3 ,2018-10-07 10:20 ,0.6 ,2018-10-07 02:57 ,... ,83 ,38 ,2018-10-07 06:30 ,1.8 ,43 ,9.0 ,269 ,2018-10-07 04:43 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,665.6 ,... ,666.6 ,2018-10-08 09:41 ,664.7 ,2018-10-08 15:17 ,5.0 ,8.1 ,2018-10-08 07:45 ,1.9 ,2018-10-08 05:12 ,... ,94 ,61 ,2018-10-08 07:22 ,1.6 ,40 ,5.2 ,256 ,2018-10-08 04:20 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,665.3 ,... ,666.2 ,2018-10-09 08:59 ,664.5 ,2018-10-09 14:57 ,5.8 ,8.8 ,2018-10-09 09:37 ,2.5 ,2018-10-09 01:00 ,... ,98 ,86 ,2018-10-09 09:06 ,1.3 ,223 ,4.4 ,61 ,2018-10-09 14:27 ,11.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,665.3 ,... ,666.2 ,2018-10-10 10:21 ,664.4 ,2018-10-10 15:14 ,5.9 ,9.6 ,2018-10-10 10:58 ,3.6 ,2018-10-10 00:43 ,... ,93 ,76 ,2018-10-10 10:40 ,1.0 ,28 ,7.7 ,209 ,2018-10-10 16:16 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,665.6 ,... ,666.7 ,2018-10-11 09:32 ,664.7 ,2018-10-11 14:59 ,4.2 ,6.4 ,2018-10-11 09:01 ,1.2 ,2018-10-11 05:20 ,... ,96 ,77 ,2018-10-11 05:58 ,1.3 ,192 ,10.7 ,199 ,2018-10-11 14:59 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,666.0 ,... ,666.9 ,2018-10-12 09:04 ,665.1 ,2018-10-12 15:09 ,3.7 ,4.9 ,2018-10-12 11:39 ,2.9 ,2018-10-12 08:04 ,... ,100 ,96 ,2018-10-12 08:25 ,1.2 ,40 ,9.1 ,183 ,2018-10-12 15:09 ,23.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,666.3 ,... ,667.2 ,2018-10-13 10:22 ,665.2 ,2018-10-13 04:10 ,3.7 ,5.1 ,2018-10-13 10:05 ,2.8 ,2018-10-13 01:36 ,... ,99 ,85 ,2018-10-13 23:42 ,1.1 ,5 ,8.5 ,258 ,2018-10-13 19:31 ,17.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,666.3 ,... ,667.3 ,2018-10-14 09:31 ,665.3 ,2018-10-14 04:41 ,5.8 ,8.6 ,2018-10-14 12:22 ,2.2 ,2018-10-14 04:47 ,... ,88 ,74 ,2018-10-14 06:31 ,1.3 ,4 ,14.0 ,168 ,2018-10-14 22:30 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,665.4 ,... ,666.9 ,2018-10-15 09:34 ,664.8 ,2018-10-15 14:58 ,5.7 ,10.2 ,2018-10-15 09:32 ,4.5 ,2018-10-15 02:03 ,... ,99 ,76 ,2018-10-15 09:33 ,2.1 ,187 ,11.2 ,192 ,2018-10-15 23:58 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,664.2 ,... ,665.5 ,2018-10-16 09:24 ,663.5 ,2018-10-16 14:34 ,5.2 ,6.2 ,2018-10-16 13:26 ,4.3 ,2018-10-16 23:02 ,... ,99 ,91 ,2018-10-16 21:36 ,2.4 ,175 ,13.6 ,187 ,2018-10-16 11:56 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,662.7 ,... ,663.8 ,2018-10-17 00:01 ,661.6 ,2018-10-17 13:28 ,3.8 ,5.8 ,2018-10-17 12:30 ,1.3 ,2018-10-17 21:59 ,... ,96 ,75 ,2018-10-17 20:06 ,2.8 ,187 ,13.0 ,209 ,2018-10-17 10:32 ,7.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,664.2 ,... ,665.8 ,2018-10-18 22:04 ,662.1 ,2018-10-18 02:56 ,3.9 ,7.3 ,2018-10-18 10:53 ,1.3 ,2018-10-18 01:57 ,... ,93 ,66 ,2018-10-18 02:11 ,2.0 ,192 ,10.5 ,184 ,2018-10-18 02:10 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,665.9 ,... ,667.1 ,2018-10-19 21:06 ,663.8 ,2018-10-19 04:52 ,3.5 ,6.6 ,2018-10-19 11:51 ,0.8 ,2018-10-19 19:27 ,... ,88 ,69 ,2018-10-19 10:46 ,3.3 ,187 ,16.6 ,200 ,2018-10-19 09:58 ,4.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,666.5 ,... ,668.1 ,2018-10-20 09:47 ,665.5 ,2018-10-20 16:03 ,2.7 ,4.5 ,2018-10-20 13:49 ,1.6 ,2018-10-21 00:00 ,... ,94 ,79 ,2018-10-20 01:19 ,2.6 ,198 ,13.3 ,205 ,2018-10-20 11:43 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,665.9 ,... ,667.3 ,2018-10-21 09:59 ,665.0 ,2018-10-21 17:56 ,3.8 ,7.7 ,2018-10-21 11:17 ,1.4 ,2018-10-21 02:52 ,... ,84 ,71 ,2018-10-21 09:28 ,2.9 ,36 ,13.7 ,208 ,2018-10-21 19:58 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,665.5 ,... ,667.0 ,2018-10-22 09:24 ,664.2 ,2018-10-22 03:24 ,4.4 ,6.0 ,2018-10-22 19:08 ,1.2 ,2018-10-22 22:22 ,... ,92 ,49 ,2018-10-22 23:50 ,4.3 ,200 ,14.9 ,205 ,2018-10-22 01:15 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,666.0 ,... ,667.2 ,2018-10-23 08:49 ,664.6 ,2018-10-23 03:04 ,5.4 ,10.2 ,2018-10-23 10:36 ,3.5 ,2018-10-23 20:29 ,... ,72 ,43 ,2018-10-23 02:07 ,4.4 ,198 ,13.5 ,213 ,2018-10-23 01:51 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
23,24,666.3 ,... ,667.5 ,2018-10-24 09:34 ,664.9 ,2018-10-24 02:05 ,5.5 ,9.8 ,2018-10-24 11:25 ,2.3 ,2018-10-24 05:38 ,... ,66 ,26 ,2018-10-24 01:43 ,3.5 ,201 ,14.7 ,208 ,2018-10-24 20:57 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
24,25,667.0 ,... ,668.1 ,2018-10-25 09:26 ,665.9 ,2018-10-25 17:15 ,6.1 ,10.9 ,2018-10-25 11:08 ,4.2 ,2018-10-25 02:29 ,... ,87 ,68 ,2018-10-25 11:10 ,2.3 ,200 ,14.4 ,222 ,2018-10-25 17:19 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
25,26,666.7 ,... ,667.7 ,2018-10-26 09:22 ,665.7 ,2018-10-26 03:39 ,6.3 ,10.9 ,2018-10-26 12:00 ,4.0 ,2018-10-26 19:59 ,... ,80 ,62 ,2018-10-26 12:27 ,2.5 ,39 ,13.4 ,210 ,2018-10-26 05:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
26,27,665.2 ,... ,666.5 ,2018-10-27 10:01 ,664.3 ,2018-10-27 23:55 ,3.4 ,7.7 ,2018-10-27 10:30 ,-2.2 ,2018-10-27 21:32 ,... ,47 ,9 ,2018-10-27 23:32 ,2.7 ,202 ,14.8 ,205 ,2018-10-27 09:27 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
27,28,663.5 ,... ,664.5 ,2018-10-28 22:00 ,662.6 ,2018-10-28 15:18 ,4.0 ,9.6 ,2018-10-28 11:45 ,-0.3 ,2018-10-28 05:12 ,... ,28 ,9 ,2018-10-28 02:01 ,1.5 ,41 ,10.0 ,225 ,2018-10-28 04:00 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
28,29,664.3 ,... ,665.5 ,2018-10-29 21:09 ,662.7 ,2018-10-29 03:33 ,3.7 ,11.2 ,2018-10-29 10:58 ,-0.2 ,2018-10-29 06:06 ,... ,25 ,12 ,2018-10-29 08:03 ,2.5 ,225 ,5.0 ,48 ,2018-10-29 12:48 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
29,30,665.4 ,... ,666.6 ,2018-10-30 20:24 ,664.1 ,2018-10-30 03:14 ,5.4 ,11.3 ,2018-10-30 11:16 ,1.0 ,2018-10-30 00:50 ,... ,83 ,18 ,2018-10-30 00:13 ,2.0 ,15 ,9.8 ,79 ,2018-10-30 21:12 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
30,31,665.8 ,... ,666.6 ,2018-10-31 09:12 ,665.0 ,2018-10-31 03:24 ,4.5 ,6.0 ,2018-10-31 10:42 ,3.0 ,2018-10-31 21:01 ,... ,99 ,78 ,2018-11-01 00:00 ,2.4 ,27 ,12.4 ,43 ,2018-10-31 21:48 ,9.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
