,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,970.1 ,... ,971.6 ,2018-07-01 00:01 ,968.7 ,2018-07-01 13:32 ,26.3 ,31.8 ,2018-07-01 12:01 ,18.8 ,2018-07-01 11:43 ,... ,84 ,50 ,2018-07-01 11:43 ,2.1 ,195 ,8.2 ,190 ,2018-07-01 14:33 ,5.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,969.9 ,... ,971.3 ,2018-07-02 21:51 ,968.4 ,2018-07-02 16:18 ,25.3 ,27.5 ,2018-07-02 20:21 ,23.0 ,2018-07-02 10:06 ,... ,86 ,71 ,2018-07-02 19:51 ,2.3 ,141 ,10.4 ,133 ,2018-07-02 17:00 ,44.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,969.8 ,... ,971.2 ,2018-07-03 08:32 ,968.5 ,2018-07-03 16:23 ,25.9 ,27.6 ,2018-07-03 02:08 ,23.7 ,2018-07-03 12:51 ,... ,87 ,72 ,2018-07-03 02:08 ,2.5 ,161 ,10.6 ,236 ,2018-07-03 08:38 ,60.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,969.6 ,... ,971.2 ,2018-07-04 09:41 ,968.2 ,2018-07-04 14:25 ,26.4 ,28.5 ,2018-07-04 14:16 ,23.6 ,2018-07-04 12:12 ,... ,83 ,69 ,2018-07-04 20:37 ,2.6 ,169 ,9.4 ,145 ,2018-07-04 18:24 ,26.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,969.5 ,... ,971.6 ,2018-07-05 10:51 ,968.1 ,2018-07-05 16:54 ,26.8 ,28.1 ,2018-07-05 12:51 ,23.8 ,2018-07-05 13:25 ,... ,82 ,69 ,2018-07-05 17:52 ,2.5 ,125 ,9.5 ,249 ,2018-07-05 22:40 ,10.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,969.7 ,... ,971.0 ,2018-07-06 23:13 ,968.2 ,2018-07-06 01:32 ,27.7 ,31.1 ,2018-07-06 15:31 ,24.1 ,2018-07-06 03:29 ,... ,77 ,59 ,2018-07-06 13:52 ,2.3 ,194 ,10.3 ,180 ,2018-07-06 12:31 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,970.9 ,... ,973.1 ,2018-07-07 21:01 ,969.1 ,2018-07-07 15:07 ,26.3 ,32.6 ,2018-07-07 12:53 ,22.4 ,2018-07-07 15:38 ,... ,85 ,59 ,2018-07-07 12:53 ,2.0 ,47 ,10.7 ,184 ,2018-07-07 15:25 ,48.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,972.7 ,... ,974.8 ,2018-07-08 22:11 ,971.3 ,2018-07-08 03:14 ,26.3 ,31.6 ,2018-07-08 10:52 ,22.5 ,2018-07-08 05:34 ,... ,85 ,58 ,2018-07-08 10:53 ,2.0 ,80 ,7.0 ,332 ,2018-07-08 13:48 ,2.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,972.8 ,... ,974.8 ,2018-07-09 08:52 ,971.0 ,2018-07-09 17:04 ,27.1 ,32.1 ,2018-07-09 12:31 ,23.4 ,2018-07-09 05:12 ,... ,86 ,59 ,2018-07-09 12:32 ,1.9 ,351 ,8.0 ,321 ,2018-07-09 13:52 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,968.9 ,... ,972.2 ,2018-07-10 00:03 ,963.7 ,2018-07-10 23:58 ,26.5 ,31.4 ,2018-07-10 11:42 ,23.6 ,2018-07-10 05:52 ,... ,84 ,59 ,2018-07-10 11:42 ,2.9 ,329 ,12.1 ,348 ,2018-07-10 23:08 ,12.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,966.6 ,... ,972.3 ,2018-07-11 22:33 ,961.9 ,2018-07-11 01:21 ,26.5 ,29.3 ,2018-07-11 16:11 ,24.0 ,2018-07-11 02:41 ,... ,89 ,76 ,2018-07-11 16:31 ,2.7 ,190 ,15.3 ,310 ,2018-07-11 01:33 ,17.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,972.2 ,... ,973.7 ,2018-07-12 21:55 ,971.0 ,2018-07-12 16:19 ,26.5 ,30.7 ,2018-07-12 11:42 ,23.8 ,2018-07-12 05:24 ,... ,89 ,66 ,2018-07-12 11:34 ,1.5 ,60 ,6.1 ,317 ,2018-07-12 11:49 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,972.6 ,... ,973.7 ,2018-07-13 22:21 ,971.8 ,2018-07-13 04:21 ,25.8 ,31.7 ,2018-07-13 10:53 ,22.4 ,2018-07-13 05:41 ,... ,90 ,59 ,2018-07-13 09:53 ,1.6 ,8 ,7.8 ,295 ,2018-07-13 12:59 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,971.9 ,... ,973.1 ,2018-07-14 00:02 ,970.4 ,2018-07-14 15:41 ,26.6 ,31.8 ,2018-07-14 11:25 ,21.3 ,2018-07-14 05:35 ,... ,83 ,52 ,2018-07-14 09:49 ,1.9 ,316 ,9.0 ,303 ,2018-07-14 13:51 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,971.5 ,... ,973.2 ,2018-07-15 08:43 ,970.3 ,2018-07-15 20:18 ,26.3 ,30.1 ,2018-07-15 14:41 ,22.4 ,2018-07-15 05:33 ,... ,87 ,70 ,2018-07-15 08:33 ,1.5 ,25 ,6.9 ,313 ,2018-07-15 13:41 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,969.6 ,... ,971.5 ,2018-07-16 07:14 ,967.8 ,2018-07-16 15:50 ,27.5 ,31.5 ,2018-07-16 12:11 ,22.7 ,2018-07-16 05:41 ,... ,83 ,65 ,2018-07-16 12:15 ,1.4 ,3 ,6.5 ,4 ,2018-07-16 09:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
