,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1001.4 ,... ,1003.9 ,2018-01-01 09:32 ,998.9 ,2018-01-01 15:11 ,17.5 ,24.7 ,2018-01-01 14:03 ,13.5 ,2018-01-01 06:32 ,... ,71 ,44 ,2018-01-01 14:04 ,1.5 ,99 ,8.5 ,339 ,2018-01-01 16:29 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1000.8 ,... ,1002.8 ,2018-01-02 08:41 ,998.3 ,2018-01-02 14:51 ,18.6 ,25.1 ,2018-01-02 11:27 ,13.9 ,2018-01-02 06:31 ,... ,75 ,42 ,2018-01-02 11:21 ,1.6 ,98 ,6.7 ,1 ,2018-01-02 13:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1000.8 ,... ,1003.4 ,2018-01-03 08:52 ,998.4 ,2018-01-03 14:03 ,18.5 ,24.9 ,2018-01-03 14:06 ,14.6 ,2018-01-03 04:51 ,... ,79 ,51 ,2018-01-03 14:06 ,1.3 ,99 ,7.5 ,354 ,2018-01-03 14:09 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,999.7 ,... ,1001.9 ,2018-01-04 08:21 ,997.7 ,2018-01-04 13:31 ,18.3 ,21.7 ,2018-01-04 12:15 ,16.6 ,2018-01-04 00:43 ,... ,87 ,65 ,2018-01-04 11:21 ,1.1 ,101 ,7.8 ,347 ,2018-01-04 12:45 ,4.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,998.2 ,... ,1000.3 ,2018-01-05 09:33 ,996.1 ,2018-01-05 15:01 ,18.0 ,20.8 ,2018-01-05 13:41 ,16.6 ,2018-01-05 00:41 ,... ,87 ,75 ,2018-01-05 13:43 ,1.8 ,345 ,7.6 ,3 ,2018-01-05 16:20 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,997.5 ,... ,999.3 ,2018-01-06 09:03 ,996.1 ,2018-01-06 15:21 ,17.6 ,20.1 ,2018-01-06 11:41 ,16.4 ,2018-01-06 06:01 ,... ,89 ,74 ,2018-01-06 11:45 ,1.2 ,12 ,5.7 ,330 ,2018-01-06 05:49 ,18.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,... ,... ,... , ,... , ,... ,... , ,... , ,... ,... ,... , ,... ,... ,... ,... , ,17.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,997.1 ,... ,1001.2 ,2018-01-08 23:35 ,994.0 ,2018-01-08 07:27 ,18.4 ,21.5 ,2018-01-08 10:41 ,14.3 ,2018-01-09 00:00 ,... ,93 ,85 ,2018-01-08 14:29 ,1.4 ,143 ,13.1 ,1 ,2018-01-08 11:47 ,35.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1003.0 ,... ,1005.2 ,2018-01-09 09:45 ,1000.3 ,2018-01-09 00:21 ,11.4 ,15.5 ,2018-01-09 00:51 ,9.9 ,2018-01-09 23:01 ,... ,90 ,82 ,2018-01-09 22:26 ,2.5 ,343 ,10.0 ,334 ,2018-01-09 11:33 ,27.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1005.4 ,... ,1007.7 ,2018-01-10 09:31 ,1002.8 ,2018-01-10 13:41 ,11.8 ,16.7 ,2018-01-10 13:31 ,9.6 ,2018-01-10 21:12 ,... ,64 ,44 ,2018-01-10 13:31 ,2.1 ,347 ,10.8 ,353 ,2018-01-10 15:40 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1006.3 ,... ,1008.2 ,2018-01-11 23:14 ,1003.9 ,2018-01-11 15:01 ,11.7 ,17.5 ,2018-01-11 13:34 ,8.7 ,2018-01-11 23:42 ,... ,56 ,36 ,2018-01-11 13:41 ,2.2 ,354 ,8.4 ,352 ,2018-01-11 15:27 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1007.4 ,... ,1009.0 ,2018-01-12 08:32 ,1005.0 ,2018-01-12 15:02 ,11.0 ,16.3 ,2018-01-12 13:13 ,7.8 ,2018-01-12 05:46 ,... ,51 ,33 ,2018-01-12 12:14 ,1.8 ,3 ,8.7 ,332 ,2018-01-12 13:29 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,1006.6 ,... ,1009.3 ,2018-01-13 09:21 ,1003.6 ,2018-01-13 15:41 ,11.7 ,18.9 ,2018-01-13 14:03 ,5.7 ,2018-01-13 06:33 ,... ,62 ,31 ,2018-01-13 13:03 ,1.1 ,105 ,6.3 ,347 ,2018-01-13 16:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,1003.6 ,... ,1006.6 ,2018-01-14 00:01 ,1000.9 ,2018-01-14 15:11 ,14.3 ,21.4 ,2018-01-14 13:53 ,8.3 ,2018-01-14 06:26 ,... ,68 ,25 ,2018-01-14 12:24 ,1.1 ,95 ,7.3 ,354 ,2018-01-14 16:55 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,1000.3 ,... ,1003.0 ,2018-01-15 08:41 ,997.7 ,2018-01-15 14:51 ,16.0 ,22.2 ,2018-01-15 13:04 ,10.9 ,2018-01-15 03:57 ,... ,78 ,45 ,2018-01-15 10:31 ,1.1 ,100 ,5.6 ,337 ,2018-01-15 16:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,997.1 ,... ,999.3 ,2018-01-16 08:34 ,994.6 ,2018-01-16 16:21 ,18.6 ,25.7 ,2018-01-16 13:41 ,12.8 ,2018-01-16 06:36 ,... ,65 ,17 ,2018-01-16 13:23 ,0.9 ,98 ,4.1 ,360 ,2018-01-16 13:17 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,996.6 ,... ,998.3 ,2018-01-17 08:21 ,995.1 ,2018-01-17 15:04 ,21.0 ,25.8 ,2018-01-17 13:02 ,18.1 ,2018-01-17 04:55 ,... ,69 ,48 ,2018-01-17 13:02 ,0.8 ,297 ,5.2 ,13 ,2018-01-17 12:03 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,998.4 ,... ,1000.5 ,2018-01-18 09:21 ,996.7 ,2018-01-18 03:01 ,20.6 ,26.2 ,2018-01-18 13:01 ,18.2 ,2018-01-18 03:11 ,... ,80 ,56 ,2018-01-18 13:01 ,0.6 ,334 ,4.9 ,314 ,2018-01-18 15:44 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,999.4 ,... ,1001.4 ,2018-01-19 08:39 ,997.7 ,2018-01-19 15:45 ,20.1 ,22.6 ,2018-01-19 12:31 ,18.0 ,2018-01-19 08:03 ,... ,82 ,64 ,2018-01-19 18:21 ,1.2 ,334 ,5.9 ,20 ,2018-01-19 11:43 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,998.3 ,... ,1000.2 ,2018-01-20 09:21 ,996.5 ,2018-01-20 14:31 ,20.0 ,23.6 ,2018-01-20 13:01 ,18.0 ,2018-01-20 04:01 ,... ,81 ,67 ,2018-01-20 13:01 ,0.7 ,330 ,4.0 ,6 ,2018-01-20 19:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,996.9 ,... ,998.7 ,2018-01-21 08:06 ,994.9 ,2018-01-21 15:32 ,19.9 ,24.5 ,2018-01-21 13:03 ,17.6 ,2018-01-21 03:56 ,... ,83 ,64 ,2018-01-21 12:02 ,0.6 ,347 ,4.6 ,300 ,2018-01-21 13:30 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
