,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,988.4 ,... ,989.6 ,2018-06-01 22:21 ,987.0 ,2018-06-01 15:11 ,26.5 ,31.0 ,2018-06-01 14:11 ,22.3 ,2018-06-01 23:53 ,... ,82 ,64 ,2018-06-01 14:13 ,2.6 ,11 ,8.9 ,354 ,2018-06-01 13:57 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,988.4 ,... ,989.6 ,2018-06-02 09:08 ,986.8 ,2018-06-02 15:13 ,25.1 ,30.5 ,2018-06-02 14:01 ,21.8 ,2018-06-02 04:31 ,... ,80 ,59 ,2018-06-02 12:01 ,2.6 ,6 ,9.6 ,13 ,2018-06-02 16:23 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,986.9 ,... ,988.6 ,2018-06-03 00:01 ,985.1 ,2018-06-03 16:11 ,27.2 ,32.3 ,2018-06-03 11:11 ,23.3 ,2018-06-03 01:31 ,... ,80 ,58 ,2018-06-03 11:11 ,1.9 ,360 ,8.9 ,4 ,2018-06-03 13:24 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,987.2 ,... ,988.4 ,2018-06-04 08:25 ,985.7 ,2018-06-04 14:05 ,28.3 ,31.8 ,2018-06-04 09:42 ,24.6 ,2018-06-04 04:57 ,... ,78 ,59 ,2018-06-04 14:25 ,1.7 ,348 ,8.9 ,360 ,2018-06-04 12:29 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,987.8 ,... ,989.5 ,2018-06-05 09:31 ,986.1 ,2018-06-05 14:52 ,28.9 ,33.1 ,2018-06-05 12:51 ,25.9 ,2018-06-05 04:42 ,... ,74 ,54 ,2018-06-05 10:11 ,1.5 ,183 ,7.7 ,348 ,2018-06-05 13:44 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,987.0 ,... ,988.0 ,2018-06-06 00:01 ,985.4 ,2018-06-06 16:53 ,28.9 ,32.8 ,2018-06-06 11:02 ,25.6 ,2018-06-06 05:01 ,... ,77 ,52 ,2018-06-06 09:46 ,2.2 ,83 ,9.4 ,354 ,2018-06-06 15:28 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,985.2 ,... ,986.5 ,2018-06-07 00:11 ,983.2 ,2018-06-07 15:21 ,28.5 ,32.0 ,2018-06-07 10:52 ,26.1 ,2018-06-07 05:22 ,... ,84 ,63 ,2018-06-07 10:52 ,2.1 ,2 ,8.0 ,352 ,2018-06-07 13:51 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,981.7 ,... ,984.5 ,2018-06-08 00:01 ,979.7 ,2018-06-08 16:51 ,29.0 ,32.5 ,2018-06-08 11:44 ,25.3 ,2018-06-08 04:21 ,... ,76 ,62 ,2018-06-08 11:51 ,1.5 ,3 ,7.4 ,245 ,2018-06-08 12:13 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,979.3 ,... ,980.5 ,2018-06-09 06:31 ,976.9 ,2018-06-09 16:21 ,28.2 ,32.1 ,2018-06-09 14:12 ,26.4 ,2018-06-09 05:43 ,... ,84 ,65 ,2018-06-09 09:32 ,1.4 ,2 ,7.6 ,338 ,2018-06-09 16:40 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,978.7 ,... ,979.9 ,2018-06-10 08:12 ,977.0 ,2018-06-10 15:41 ,28.9 ,31.7 ,2018-06-10 11:22 ,27.1 ,2018-06-10 04:42 ,... ,80 ,68 ,2018-06-10 15:53 ,1.8 ,212 ,8.8 ,333 ,2018-06-10 13:26 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
