,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,989.7 ,... ,992.1 ,2018-01-01 09:31 ,987.5 ,2018-01-01 14:41 ,16.8 ,23.4 ,2018-01-01 13:33 ,12.9 ,2018-01-01 05:05 ,... ,76 ,50 ,2018-01-01 13:35 ,2.0 ,57 ,7.1 ,331 ,2018-01-01 14:19 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,989.0 ,... ,991.3 ,2018-01-02 09:03 ,986.8 ,2018-01-02 14:53 ,18.2 ,23.2 ,2018-01-02 14:13 ,13.2 ,2018-01-02 04:52 ,... ,81 ,48 ,2018-01-02 09:41 ,1.1 ,49 ,6.7 ,350 ,2018-01-02 13:40 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,989.0 ,... ,991.6 ,2018-01-03 09:11 ,986.8 ,2018-01-03 15:41 ,18.0 ,24.1 ,2018-01-03 12:46 ,13.8 ,2018-01-03 03:26 ,... ,86 ,58 ,2018-01-03 12:46 ,0.9 ,53 ,6.3 ,348 ,2018-01-03 14:37 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,987.9 ,... ,990.3 ,2018-01-04 09:01 ,985.9 ,2018-01-04 13:52 ,17.9 ,20.4 ,2018-01-04 10:51 ,15.9 ,2018-01-04 01:01 ,... ,95 ,78 ,2018-01-04 10:43 ,1.1 ,1 ,6.4 ,333 ,2018-01-04 17:39 ,2.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,986.5 ,... ,988.7 ,2018-01-05 09:56 ,984.7 ,2018-01-05 15:14 ,16.6 ,18.3 ,2018-01-05 11:21 ,15.6 ,2018-01-05 22:33 ,... ,98 ,93 ,2018-01-05 15:31 ,1.9 ,44 ,7.5 ,30 ,2018-01-05 16:02 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,985.6 ,... ,987.2 ,2018-01-06 08:55 ,984.3 ,2018-01-06 15:41 ,17.2 ,19.7 ,2018-01-06 10:05 ,15.7 ,2018-01-06 00:02 ,... ,95 ,83 ,2018-01-06 10:13 ,1.2 ,34 ,5.1 ,77 ,2018-01-06 06:18 ,16.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,985.1 ,... ,987.1 ,2018-01-07 08:36 ,983.6 ,2018-01-07 18:16 ,17.6 ,19.7 ,2018-01-07 23:15 ,16.5 ,2018-01-07 07:12 ,... ,95 ,81 ,2018-01-07 11:45 ,1.7 ,43 ,10.5 ,63 ,2018-01-07 05:54 ,19.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,985.3 ,... ,989.9 ,2018-01-08 23:42 ,982.5 ,2018-01-08 07:01 ,18.5 ,22.1 ,2018-01-08 09:52 ,13.6 ,2018-01-08 23:58 ,... ,96 ,80 ,2018-01-08 14:14 ,1.4 ,15 ,7.8 ,64 ,2018-01-08 11:38 ,37.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,991.1 ,... ,993.4 ,2018-01-09 21:31 ,988.4 ,2018-01-09 00:54 ,10.5 ,13.8 ,2018-01-09 01:01 ,9.2 ,2018-01-09 09:32 ,... ,95 ,80 ,2018-01-09 21:31 ,2.3 ,29 ,10.7 ,95 ,2018-01-09 03:59 ,24.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,993.4 ,... ,995.6 ,2018-01-10 09:21 ,991.0 ,2018-01-10 14:38 ,10.9 ,15.0 ,2018-01-10 12:51 ,9.2 ,2018-01-10 20:01 ,... ,63 ,40 ,2018-01-10 22:47 ,3.0 ,34 ,9.5 ,59 ,2018-01-10 15:40 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
