,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,986.0 ,... ,987.3 ,2018-10-01 08:33 ,984.2 ,2018-10-01 14:32 ,25.1 ,31.1 ,2018-10-01 13:54 ,21.7 ,2018-10-01 05:51 ,... ,59 ,25 ,2018-10-01 13:11 ,1.2 ,330 ,7.0 ,352 ,2018-10-01 15:05 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,987.1 ,... ,989.1 ,2018-10-02 09:52 ,985.4 ,2018-10-02 14:01 ,23.6 ,28.8 ,2018-10-02 14:02 ,20.2 ,2018-10-02 05:37 ,... ,59 ,41 ,2018-10-02 14:43 ,1.6 ,38 ,9.0 ,47 ,2018-10-02 16:02 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,986.2 ,... ,988.4 ,2018-10-03 09:02 ,984.0 ,2018-10-03 14:34 ,23.3 ,28.5 ,2018-10-03 12:51 ,19.1 ,2018-10-03 04:13 ,... ,57 ,37 ,2018-10-03 10:16 ,2.0 ,32 ,9.9 ,50 ,2018-10-03 15:19 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,984.0 ,... ,986.3 ,2018-10-04 08:29 ,982.2 ,2018-10-04 15:51 ,22.1 ,25.1 ,2018-10-04 12:02 ,20.8 ,2018-10-04 04:02 ,... ,71 ,58 ,2018-10-04 10:05 ,2.8 ,25 ,13.3 ,21 ,2018-10-04 12:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,983.1 ,... ,985.9 ,2018-10-05 23:18 ,981.3 ,2018-10-05 03:35 ,23.6 ,27.5 ,2018-10-05 12:01 ,20.5 ,2018-10-05 06:21 ,... ,66 ,50 ,2018-10-05 12:05 ,1.7 ,324 ,8.3 ,333 ,2018-10-05 15:04 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,986.3 ,... ,987.8 ,2018-10-06 22:01 ,985.0 ,2018-10-06 00:46 ,25.9 ,30.0 ,2018-10-06 12:21 ,22.6 ,2018-10-06 05:44 ,... ,68 ,52 ,2018-10-06 12:30 ,1.0 ,318 ,7.7 ,331 ,2018-10-06 12:40 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,987.1 ,... ,989.2 ,2018-10-07 09:19 ,985.1 ,2018-10-07 14:22 ,24.8 ,29.4 ,2018-10-07 13:15 ,21.7 ,2018-10-07 06:11 ,... ,77 ,54 ,2018-10-07 13:15 ,1.4 ,344 ,6.8 ,14 ,2018-10-07 14:28 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,986.6 ,... ,988.6 ,2018-10-08 09:24 ,984.5 ,2018-10-08 14:45 ,24.7 ,29.8 ,2018-10-08 14:01 ,21.4 ,2018-10-08 05:42 ,... ,80 ,57 ,2018-10-08 14:04 ,1.5 ,335 ,6.7 ,325 ,2018-10-08 12:05 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,986.1 ,... ,987.6 ,2018-10-09 08:51 ,984.1 ,2018-10-09 14:21 ,25.0 ,28.9 ,2018-10-09 14:51 ,22.2 ,2018-10-09 05:51 ,... ,82 ,63 ,2018-10-09 14:42 ,1.4 ,43 ,7.0 ,317 ,2018-10-09 12:43 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,986.8 ,... ,989.1 ,2018-10-10 23:27 ,984.2 ,2018-10-10 14:32 ,24.8 ,29.7 ,2018-10-10 14:32 ,22.0 ,2018-10-10 23:32 ,... ,78 ,54 ,2018-10-10 13:11 ,1.4 ,26 ,7.0 ,328 ,2018-10-10 16:25 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
