,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1004.2 ,... ,1006.4 ,2018-05-01 08:32 ,1002.6 ,2018-05-01 16:13 ,27.8 ,32.0 ,2018-05-01 11:51 ,24.4 ,2018-05-01 04:35 ,... ,74 ,54 ,2018-05-01 11:58 ,1.4 ,237 ,6.9 ,244 ,2018-05-01 12:09 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1003.7 ,... ,1005.7 ,2018-05-02 07:31 ,1002.2 ,2018-05-02 14:41 ,29.0 ,33.3 ,2018-05-02 13:31 ,25.5 ,2018-05-02 06:17 ,... ,70 ,49 ,2018-05-02 12:03 ,1.6 ,12 ,7.5 ,280 ,2018-05-02 14:16 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1005.2 ,... ,1007.3 ,2018-05-03 22:32 ,1003.8 ,2018-05-03 15:12 ,28.1 ,32.2 ,2018-05-03 11:31 ,24.7 ,2018-05-03 22:11 ,... ,65 ,47 ,2018-05-03 17:44 ,1.5 ,324 ,8.3 ,331 ,2018-05-03 12:04 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1006.6 ,... ,1008.5 ,2018-05-04 22:05 ,1005.4 ,2018-05-04 15:31 ,26.8 ,31.1 ,2018-05-04 14:23 ,22.2 ,2018-05-04 03:24 ,... ,71 ,55 ,2018-05-04 16:44 ,0.9 ,11 ,5.1 ,261 ,2018-05-04 15:20 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1007.2 ,... ,1009.2 ,2018-05-05 09:01 ,1005.3 ,2018-05-05 14:43 ,28.0 ,32.5 ,2018-05-05 13:52 ,25.3 ,2018-05-05 06:00 ,... ,63 ,49 ,2018-05-05 14:13 ,1.6 ,242 ,7.4 ,244 ,2018-05-05 14:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1003.5 ,... ,1006.7 ,2018-05-06 00:01 ,1001.0 ,2018-05-06 16:01 ,29.3 ,34.3 ,2018-05-06 14:31 ,24.7 ,2018-05-06 04:11 ,... ,65 ,46 ,2018-05-06 09:41 ,1.8 ,102 ,8.2 ,261 ,2018-05-06 15:24 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1000.4 ,... ,1002.6 ,2018-05-07 08:36 ,998.5 ,2018-05-07 14:33 ,29.7 ,33.4 ,2018-05-07 13:12 ,27.4 ,2018-05-07 05:46 ,... ,67 ,48 ,2018-05-07 13:12 ,2.2 ,159 ,8.4 ,163 ,2018-05-07 13:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1000.7 ,... ,1003.1 ,2018-05-08 22:35 ,998.4 ,2018-05-08 02:33 ,26.8 ,30.2 ,2018-05-08 12:22 ,22.6 ,2018-05-08 04:47 ,... ,79 ,61 ,2018-05-08 12:13 ,1.6 ,13 ,10.0 ,166 ,2018-05-08 14:13 ,40.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1004.9 ,... ,1007.6 ,2018-05-09 21:43 ,1001.7 ,2018-05-09 01:48 ,23.9 ,26.3 ,2018-05-09 00:34 ,21.5 ,2018-05-09 08:58 ,... ,88 ,76 ,2018-05-09 07:02 ,1.1 ,325 ,4.5 ,9 ,2018-05-09 11:46 ,32.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1005.9 ,... ,1008.0 ,2018-05-10 09:31 ,1003.9 ,2018-05-10 15:44 ,25.9 ,31.6 ,2018-05-10 14:02 ,21.7 ,2018-05-10 04:02 ,... ,67 ,47 ,2018-05-10 14:11 ,1.3 ,223 ,5.8 ,335 ,2018-05-10 14:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
