,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,992.8 ,... ,994.8 ,2018-03-01 09:11 ,991.0 ,2018-03-01 15:32 ,21.4 ,27.6 ,2018-03-01 11:51 ,15.5 ,2018-03-01 06:02 ,... ,75 ,37 ,2018-03-01 09:45 ,0.7 ,77 ,5.8 ,280 ,2018-03-01 11:08 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,992.8 ,... ,995.1 ,2018-03-02 09:21 ,991.0 ,2018-03-02 14:45 ,22.4 ,28.0 ,2018-03-02 12:23 ,18.7 ,2018-03-02 06:12 ,... ,79 ,53 ,2018-03-02 11:41 ,0.5 ,6 ,5.0 ,333 ,2018-03-02 13:27 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,991.9 ,... ,993.9 ,2018-03-03 10:21 ,990.3 ,2018-03-03 14:25 ,25.3 ,31.3 ,2018-03-03 14:01 ,20.4 ,2018-03-03 04:53 ,... ,74 ,54 ,2018-03-03 16:01 ,0.6 ,258 ,5.6 ,248 ,2018-03-03 14:57 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,992.8 ,... ,994.4 ,2018-03-04 09:12 ,991.3 ,2018-03-04 22:12 ,25.3 ,29.3 ,2018-03-04 14:11 ,22.5 ,2018-03-04 06:11 ,... ,77 ,61 ,2018-03-04 10:13 ,0.5 ,81 ,5.5 ,281 ,2018-03-04 15:25 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,993.8 ,... ,995.7 ,2018-03-05 23:42 ,991.9 ,2018-03-05 02:31 ,25.1 ,31.5 ,2018-03-05 13:31 ,17.8 ,2018-03-05 23:42 ,... ,76 ,51 ,2018-03-05 13:31 ,0.7 ,5 ,6.6 ,13 ,2018-03-05 23:21 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,997.0 ,... ,999.1 ,2018-03-06 10:03 ,994.8 ,2018-03-06 00:52 ,19.7 ,23.7 ,2018-03-06 11:24 ,16.4 ,2018-03-06 03:57 ,... ,74 ,59 ,2018-03-06 11:25 ,1.3 ,16 ,6.8 ,21 ,2018-03-06 14:27 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,996.4 ,... ,... , ,... , ,19.5 ,... , ,... , ,... ,80 ,... , ,1.0 ,316 ,... ,... , ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,997.3 ,... ,999.9 ,2018-03-08 21:51 ,994.7 ,2018-03-08 03:13 ,13.8 ,18.6 ,2018-03-08 02:42 ,10.1 ,2018-03-08 23:33 ,... ,90 ,85 ,2018-03-08 20:57 ,1.4 ,8 ,8.4 ,32 ,2018-03-08 16:25 ,12.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,999.5 ,... ,1001.1 ,2018-03-09 22:44 ,997.7 ,2018-03-09 03:13 ,13.6 ,18.1 ,2018-03-09 12:31 ,10.2 ,2018-03-09 06:02 ,... ,64 ,50 ,2018-03-09 12:24 ,1.3 ,18 ,7.7 ,45 ,2018-03-09 01:41 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1000.7 ,... ,1002.4 ,2018-03-10 09:16 ,999.2 ,2018-03-10 14:55 ,16.5 ,24.1 ,2018-03-10 13:31 ,11.0 ,2018-03-10 06:01 ,... ,62 ,34 ,2018-03-10 12:53 ,0.7 ,4 ,7.0 ,328 ,2018-03-10 15:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
