,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1001.5 ,... ,1002.8 ,2018-07-01 00:03 ,999.8 ,2018-07-01 16:44 ,29.5 ,33.0 ,2018-07-01 12:31 ,26.0 ,2018-07-01 00:01 ,... ,76 ,63 ,2018-07-01 10:21 ,2.5 ,192 ,8.1 ,268 ,2018-07-01 16:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1001.0 ,... ,1002.8 ,2018-07-02 11:21 ,999.3 ,2018-07-02 16:45 ,27.0 ,29.4 ,2018-07-02 18:11 ,24.4 ,2018-07-02 09:11 ,... ,83 ,70 ,2018-07-02 18:57 ,3.8 ,186 ,10.4 ,130 ,2018-07-02 12:24 ,98.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1000.7 ,... ,1002.1 ,2018-07-03 08:01 ,999.2 ,2018-07-03 16:12 ,28.9 ,32.8 ,2018-07-03 14:51 ,26.3 ,2018-07-03 02:57 ,... ,80 ,65 ,2018-07-03 15:51 ,3.5 ,189 ,11.1 ,212 ,2018-07-03 17:19 ,10.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1000.7 ,... ,1002.1 ,2018-07-04 10:26 ,999.2 ,2018-07-04 17:43 ,28.3 ,31.2 ,2018-07-04 13:41 ,24.9 ,2018-07-04 15:01 ,... ,81 ,71 ,2018-07-04 13:45 ,3.4 ,184 ,13.9 ,213 ,2018-07-04 14:48 ,21.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1000.7 ,... ,1002.6 ,2018-07-05 10:06 ,999.3 ,2018-07-05 16:21 ,28.7 ,30.7 ,2018-07-05 12:21 ,24.9 ,2018-07-05 12:39 ,... ,82 ,75 ,2018-07-05 20:51 ,3.2 ,201 ,13.6 ,227 ,2018-07-05 12:32 ,11.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1000.8 ,... ,1002.1 ,2018-07-06 07:45 ,999.3 ,2018-07-06 15:41 ,29.6 ,33.4 ,2018-07-06 12:44 ,27.3 ,2018-07-06 13:51 ,... ,74 ,57 ,2018-07-06 12:44 ,2.7 ,206 ,11.4 ,207 ,2018-07-06 08:55 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1002.1 ,... ,1004.2 ,2018-07-07 21:12 ,1000.5 ,2018-07-07 14:53 ,29.4 ,33.2 ,2018-07-07 09:51 ,25.7 ,2018-07-07 17:57 ,... ,77 ,61 ,2018-07-07 09:51 ,2.4 ,190 ,7.9 ,246 ,2018-07-07 13:54 ,11.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1003.8 ,... ,1005.8 ,2018-07-08 21:52 ,1002.6 ,2018-07-08 02:12 ,29.9 ,33.4 ,2018-07-08 11:52 ,26.7 ,2018-07-08 03:51 ,... ,72 ,56 ,2018-07-08 08:54 ,1.4 ,141 ,5.6 ,338 ,2018-07-08 14:23 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1003.9 ,... ,1005.9 ,2018-07-09 08:32 ,1002.0 ,2018-07-09 18:07 ,29.7 ,32.3 ,2018-07-09 11:54 ,27.2 ,2018-07-09 04:51 ,... ,78 ,60 ,2018-07-09 09:12 ,1.7 ,20 ,8.6 ,27 ,2018-07-09 09:31 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1000.5 ,... ,1003.4 ,2018-07-10 00:12 ,996.1 ,2018-07-10 23:33 ,29.1 ,31.9 ,2018-07-10 09:14 ,26.8 ,2018-07-10 23:52 ,... ,82 ,60 ,2018-07-10 09:01 ,2.9 ,28 ,15.7 ,34 ,2018-07-10 14:56 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,997.9 ,... ,1003.7 ,2018-07-11 22:21 ,993.0 ,2018-07-11 05:11 ,29.0 ,31.6 ,2018-07-11 15:11 ,26.1 ,2018-07-11 01:35 ,... ,81 ,66 ,2018-07-11 14:35 ,2.9 ,198 ,14.2 ,334 ,2018-07-11 01:41 ,5.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1003.6 ,... ,1005.0 ,2018-07-12 23:01 ,1002.4 ,2018-07-12 15:22 ,29.3 ,32.6 ,2018-07-12 10:46 ,27.1 ,2018-07-12 01:54 ,... ,80 ,61 ,2018-07-12 09:20 ,1.4 ,28 ,6.6 ,34 ,2018-07-12 11:52 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
