,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1015.8 ,... ,1017.7 ,2018-02-01 21:35 ,1013.0 ,2018-02-01 14:31 ,12.1 ,14.7 ,2018-02-01 14:32 ,9.7 ,2018-02-01 05:28 ,... ,80 ,68 ,2018-02-01 14:32 ,3.4 ,14 ,12.2 ,348 ,2018-02-01 03:40 ,2.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1018.1 ,... ,1020.1 ,2018-02-02 22:31 ,1016.0 ,2018-02-02 02:06 ,13.1 ,16.8 ,2018-02-02 10:51 ,11.5 ,2018-02-02 21:28 ,... ,78 ,68 ,2018-02-02 10:51 ,3.2 ,359 ,12.4 ,15 ,2018-02-02 11:53 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1019.0 ,... ,1020.4 ,2018-02-03 10:01 ,1017.2 ,2018-02-03 14:42 ,10.3 ,11.9 ,2018-02-03 00:02 ,7.9 ,2018-02-03 22:08 ,... ,77 ,71 ,2018-02-03 07:06 ,3.3 ,359 ,9.1 ,33 ,2018-02-03 03:18 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1018.9 ,... ,1020.4 ,2018-02-04 23:41 ,1017.3 ,2018-02-04 14:07 ,9.5 ,11.0 ,2018-02-04 13:11 ,8.2 ,2018-02-04 00:54 ,... ,75 ,71 ,2018-02-04 10:42 ,3.1 ,6 ,9.3 ,2 ,2018-02-04 17:01 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1019.5 ,... ,1021.5 ,2018-02-05 08:21 ,1017.7 ,2018-02-05 15:11 ,8.5 ,9.2 ,2018-02-05 00:08 ,7.3 ,2018-02-05 07:23 ,... ,69 ,61 ,2018-02-05 21:34 ,3.1 ,5 ,9.4 ,27 ,2018-02-05 16:16 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1016.9 ,... ,1019.9 ,2018-02-06 00:34 ,1014.2 ,2018-02-06 15:43 ,10.8 ,14.9 ,2018-02-06 15:02 ,8.6 ,2018-02-06 05:11 ,... ,58 ,46 ,2018-02-06 15:04 ,2.9 ,9 ,8.1 ,350 ,2018-02-06 16:16 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1015.0 ,... ,1016.9 ,2018-02-07 09:51 ,1012.9 ,2018-02-07 03:32 ,11.6 ,13.4 ,2018-02-07 13:54 ,9.5 ,2018-02-07 00:51 ,... ,79 ,64 ,2018-02-07 05:28 ,1.0 ,347 ,4.2 ,345 ,2018-02-07 17:47 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1013.1 ,... ,1012.8 ,2018-02-08 21:01 ,1010.7 ,2018-02-08 15:33 ,13.2 ,16.3 ,2018-02-08 15:31 ,14.0 ,2018-02-08 23:02 ,... ,82 ,66 ,2018-02-08 15:31 ,1.8 ,356 ,5.4 ,1 ,2018-02-08 15:46 ,4.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1011.8 ,... ,1013.3 ,2018-02-09 07:41 ,1009.7 ,2018-02-09 14:01 ,15.7 ,20.1 ,2018-02-09 12:22 ,13.3 ,2018-02-09 02:24 ,... ,86 ,70 ,2018-02-09 12:27 ,1.8 ,1 ,8.4 ,3 ,2018-02-09 15:38 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1012.6 ,... ,1015.0 ,2018-02-10 23:01 ,1010.1 ,2018-02-10 15:21 ,16.3 ,20.4 ,2018-02-10 13:41 ,13.6 ,2018-02-10 23:54 ,... ,87 ,74 ,2018-02-10 13:21 ,2.7 ,10 ,10.7 ,351 ,2018-02-10 23:40 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1016.8 ,... ,1020.4 ,2018-02-11 23:43 ,1014.7 ,2018-02-11 02:31 ,13.5 ,16.9 ,2018-02-11 12:41 ,11.5 ,2018-02-11 03:42 ,... ,75 ,61 ,2018-02-11 12:41 ,3.7 ,357 ,9.8 ,360 ,2018-02-11 14:50 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1020.1 ,... ,1022.1 ,2018-02-12 09:41 ,1017.9 ,2018-02-12 15:42 ,14.1 ,19.1 ,2018-02-12 14:02 ,11.7 ,2018-02-12 05:21 ,... ,58 ,38 ,2018-02-12 23:17 ,2.8 ,354 ,9.9 ,360 ,2018-02-12 16:05 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,1018.7 ,... ,1020.8 ,2018-02-13 00:54 ,1016.1 ,2018-02-13 14:34 ,15.5 ,21.1 ,2018-02-13 13:41 ,11.0 ,2018-02-13 06:41 ,... ,63 ,43 ,2018-02-13 13:43 ,1.6 ,11 ,6.2 ,316 ,2018-02-13 14:23 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,1015.3 ,... ,1018.2 ,2018-02-14 00:01 ,1012.2 ,2018-02-14 15:02 ,17.3 ,25.0 ,2018-02-14 13:32 ,12.3 ,2018-02-14 06:04 ,... ,71 ,34 ,2018-02-14 13:34 ,1.3 ,355 ,6.4 ,305 ,2018-02-14 15:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,1012.3 ,... ,1014.8 ,2018-02-15 00:31 ,1008.9 ,2018-02-15 15:21 ,21.3 ,30.0 ,2018-02-15 13:31 ,14.3 ,2018-02-15 04:22 ,... ,59 ,31 ,2018-02-15 12:43 ,1.5 ,124 ,7.6 ,318 ,2018-02-15 16:09 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,1010.6 ,... ,1012.2 ,2018-02-16 10:31 ,1008.8 ,2018-02-16 14:21 ,21.6 ,28.0 ,2018-02-16 12:51 ,16.8 ,2018-02-16 07:03 ,... ,70 ,49 ,2018-02-16 12:53 ,1.8 ,357 ,7.2 ,23 ,2018-02-16 23:58 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,1012.0 ,... ,1014.5 ,2018-02-17 23:15 ,1010.1 ,2018-02-17 03:37 ,18.8 ,23.1 ,2018-02-17 15:14 ,16.5 ,2018-02-17 23:51 ,... ,73 ,56 ,2018-02-17 11:57 ,2.5 ,358 ,8.2 ,360 ,2018-02-17 14:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,1013.7 ,... ,1016.1 ,2018-02-18 07:41 ,1011.1 ,2018-02-18 15:03 ,20.2 ,27.2 ,2018-02-18 15:11 ,15.3 ,2018-02-18 05:43 ,... ,70 ,37 ,2018-02-18 15:11 ,1.6 ,4 ,5.9 ,293 ,2018-02-18 11:21 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
