,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,999.3 ,... ,1000.8 ,2018-11-01 09:01 ,998.1 ,2018-11-01 15:41 ,20.2 ,22.1 ,2018-11-01 13:11 ,18.7 ,2018-11-01 07:22 ,... ,80 ,70 ,2018-11-01 13:03 ,2.2 ,335 ,11.0 ,352 ,2018-11-01 10:56 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1000.0 ,... ,1002.1 ,2018-11-02 22:51 ,996.7 ,2018-11-02 03:51 ,22.3 ,25.9 ,2018-11-02 12:53 ,19.9 ,2018-11-02 02:06 ,... ,83 ,63 ,2018-11-02 11:11 ,1.7 ,312 ,7.1 ,348 ,2018-11-02 03:51 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1002.1 ,... ,1004.0 ,2018-11-03 09:23 ,1000.6 ,2018-11-03 03:03 ,24.0 ,29.1 ,2018-11-03 13:21 ,21.5 ,2018-11-03 01:31 ,... ,85 ,63 ,2018-11-03 13:14 ,1.6 ,322 ,7.5 ,349 ,2018-11-03 16:50 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1002.2 ,... ,1004.3 ,2018-11-04 09:01 ,1000.0 ,2018-11-04 15:33 ,24.4 ,28.8 ,2018-11-04 12:53 ,22.1 ,2018-11-04 04:01 ,... ,82 ,64 ,2018-11-04 11:43 ,1.8 ,320 ,7.6 ,335 ,2018-11-04 14:37 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1002.5 ,... ,1004.6 ,2018-11-05 09:16 ,1001.0 ,2018-11-05 15:18 ,24.7 ,29.1 ,2018-11-05 11:41 ,21.7 ,2018-11-05 05:21 ,... ,80 ,62 ,2018-11-05 11:48 ,1.4 ,313 ,6.2 ,341 ,2018-11-05 12:35 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1003.4 ,... ,1005.3 ,2018-11-06 09:12 ,1002.1 ,2018-11-06 14:57 ,25.0 ,29.4 ,2018-11-06 10:56 ,22.4 ,2018-11-06 05:35 ,... ,83 ,61 ,2018-11-06 11:06 ,1.0 ,339 ,5.8 ,339 ,2018-11-06 16:36 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1003.6 ,... ,1005.7 ,2018-11-07 08:24 ,1002.2 ,2018-11-07 14:52 ,24.5 ,28.2 ,2018-11-07 13:31 ,22.7 ,2018-11-07 04:11 ,... ,86 ,66 ,2018-11-07 14:45 ,1.3 ,323 ,5.6 ,283 ,2018-11-07 15:26 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1003.0 ,... ,1004.9 ,2018-11-08 10:01 ,1001.8 ,2018-11-08 13:53 ,25.5 ,30.8 ,2018-11-08 13:31 ,22.8 ,2018-11-08 03:42 ,... ,77 ,52 ,2018-11-08 12:56 ,1.2 ,344 ,5.7 ,345 ,2018-11-08 15:08 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1003.2 ,... ,1005.2 ,2018-11-09 09:32 ,1001.6 ,2018-11-09 14:33 ,24.1 ,29.0 ,2018-11-09 11:21 ,21.3 ,2018-11-09 23:58 ,... ,77 ,56 ,2018-11-09 11:21 ,1.7 ,335 ,7.9 ,17 ,2018-11-09 01:19 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1003.9 ,... ,1005.9 ,2018-11-10 08:45 ,1002.2 ,2018-11-10 14:53 ,24.1 ,28.2 ,2018-11-10 15:12 ,21.2 ,2018-11-10 03:26 ,... ,79 ,63 ,2018-11-10 12:51 ,1.0 ,329 ,4.7 ,186 ,2018-11-10 13:16 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
