,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,995.7 ,... ,997.6 ,2018-08-01 08:46 ,993.2 ,2018-08-01 16:02 ,31.1 ,35.5 ,2018-08-01 13:43 ,28.5 ,2018-08-01 04:42 ,... ,73 ,52 ,2018-08-01 13:13 ,1.7 ,244 ,6.3 ,251 ,2018-08-01 16:02 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,995.2 ,... ,997.2 ,2018-08-02 09:25 ,993.1 ,2018-08-02 16:11 ,30.0 ,33.9 ,2018-08-02 15:22 ,26.3 ,2018-08-02 07:12 ,... ,75 ,55 ,2018-08-02 13:43 ,1.4 ,110 ,5.6 ,241 ,2018-08-02 18:25 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,995.6 ,... ,997.0 ,2018-08-03 23:01 ,993.8 ,2018-08-03 02:50 ,29.2 ,33.4 ,2018-08-03 11:21 ,27.2 ,2018-08-03 04:29 ,... ,75 ,58 ,2018-08-03 11:21 ,1.2 ,111 ,9.6 ,227 ,2018-08-03 13:20 ,6.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,996.9 ,... ,998.9 ,2018-08-04 23:03 ,995.4 ,2018-08-04 14:05 ,30.0 ,35.1 ,2018-08-04 12:21 ,26.4 ,2018-08-04 05:31 ,... ,71 ,53 ,2018-08-04 11:51 ,1.5 ,113 ,6.1 ,261 ,2018-08-04 14:08 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,997.8 ,... ,998.8 ,2018-08-05 05:51 ,996.3 ,2018-08-05 13:22 ,29.4 ,35.3 ,2018-08-05 11:51 ,26.3 ,2018-08-05 23:41 ,... ,74 ,51 ,2018-08-05 11:05 ,1.1 ,250 ,7.0 ,271 ,2018-08-05 13:48 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,996.8 ,... ,998.8 ,2018-08-06 08:48 ,994.0 ,2018-08-06 16:34 ,30.0 ,34.6 ,2018-08-06 12:32 ,26.0 ,2018-08-06 04:51 ,... ,71 ,55 ,2018-08-06 13:32 ,1.4 ,111 ,6.7 ,301 ,2018-08-06 14:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,995.9 ,... ,997.3 ,2018-08-07 00:09 ,993.4 ,2018-08-07 16:53 ,30.2 ,33.7 ,2018-08-07 11:32 ,26.4 ,2018-08-07 04:21 ,... ,73 ,58 ,2018-08-07 11:32 ,1.4 ,8 ,6.3 ,241 ,2018-08-07 13:00 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,996.1 ,... ,997.5 ,2018-08-08 22:52 ,994.4 ,2018-08-08 17:23 ,30.3 ,34.8 ,2018-08-08 13:41 ,27.8 ,2018-08-08 14:42 ,... ,73 ,54 ,2018-08-08 12:43 ,1.2 ,112 ,8.7 ,49 ,2018-08-08 14:30 ,12.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,996.6 ,... ,998.1 ,2018-08-09 09:43 ,994.8 ,2018-08-09 16:11 ,30.5 ,34.1 ,2018-08-09 14:35 ,28.4 ,2018-08-09 06:13 ,... ,69 ,53 ,2018-08-09 11:51 ,1.1 ,88 ,5.7 ,255 ,2018-08-09 15:12 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,995.4 ,... ,997.3 ,2018-08-10 00:01 ,992.8 ,2018-08-10 16:52 ,30.5 ,34.5 ,2018-08-10 14:21 ,27.3 ,2018-08-10 05:42 ,... ,69 ,52 ,2018-08-10 15:01 ,1.3 ,113 ,6.1 ,259 ,2018-08-10 17:17 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,992.2 ,... ,995.3 ,2018-08-11 00:01 ,990.0 ,2018-08-11 17:07 ,30.5 ,34.0 ,2018-08-11 10:24 ,27.4 ,2018-08-11 04:51 ,... ,69 ,50 ,2018-08-11 10:24 ,1.4 ,20 ,6.6 ,271 ,2018-08-11 13:43 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,988.8 ,... ,990.7 ,2018-08-12 00:11 ,985.9 ,2018-08-12 15:51 ,30.5 ,34.4 ,2018-08-12 14:32 ,27.6 ,2018-08-12 06:01 ,... ,71 ,55 ,2018-08-12 16:13 ,1.3 ,107 ,5.6 ,279 ,2018-08-12 15:50 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,990.5 ,... ,992.3 ,2018-08-13 22:41 ,988.8 ,2018-08-13 00:42 ,29.5 ,34.3 ,2018-08-13 12:04 ,25.1 ,2018-08-13 16:38 ,... ,78 ,55 ,2018-08-13 10:21 ,1.0 ,80 ,5.5 ,265 ,2018-08-13 13:23 ,83.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,991.6 ,... ,993.1 ,2018-08-14 21:33 ,990.3 ,2018-08-14 13:27 ,28.2 ,33.8 ,2018-08-14 12:31 ,25.8 ,2018-08-14 17:51 ,... ,81 ,54 ,2018-08-14 12:02 ,1.2 ,122 ,6.7 ,236 ,2018-08-14 13:48 ,6.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,993.5 ,... ,994.7 ,2018-08-15 09:53 ,991.9 ,2018-08-15 01:44 ,28.4 ,31.5 ,2018-08-15 16:22 ,25.8 ,2018-08-15 01:44 ,... ,79 ,66 ,2018-08-15 16:24 ,1.1 ,110 ,3.9 ,225 ,2018-08-15 11:52 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,993.0 ,... ,994.7 ,2018-08-16 09:42 ,991.0 ,2018-08-16 16:31 ,28.9 ,31.8 ,2018-08-16 14:51 ,26.0 ,2018-08-16 05:41 ,... ,78 ,65 ,2018-08-16 11:02 ,1.3 ,118 ,6.3 ,305 ,2018-08-16 11:50 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,992.1 ,... ,994.0 ,2018-08-17 23:21 ,990.0 ,2018-08-17 15:19 ,30.0 ,33.7 ,2018-08-17 11:21 ,26.9 ,2018-08-17 04:35 ,... ,72 ,58 ,2018-08-17 11:21 ,1.5 ,233 ,7.3 ,221 ,2018-08-17 16:22 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,993.9 ,... ,995.7 ,2018-08-18 21:13 ,992.8 ,2018-08-18 14:44 ,29.3 ,33.5 ,2018-08-18 10:53 ,27.3 ,2018-08-18 23:45 ,... ,76 ,56 ,2018-08-18 10:41 ,1.4 ,114 ,7.2 ,221 ,2018-08-18 13:37 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,995.6 ,... ,997.3 ,2018-08-19 21:54 ,993.8 ,2018-08-19 14:21 ,28.0 ,33.1 ,2018-08-19 12:01 ,25.0 ,2018-08-19 16:31 ,... ,82 ,59 ,2018-08-19 12:22 ,1.3 ,112 ,6.2 ,254 ,2018-08-19 14:03 ,64.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,994.8 ,... ,996.4 ,2018-08-20 09:19 ,992.8 ,2018-08-20 15:02 ,28.2 ,33.9 ,2018-08-20 13:37 ,25.3 ,2018-08-20 05:52 ,... ,81 ,56 ,2018-08-20 12:21 ,1.3 ,136 ,5.3 ,114 ,2018-08-20 17:27 ,9.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,992.3 ,... ,994.3 ,2018-08-21 00:01 ,990.0 ,2018-08-21 15:24 ,28.5 ,33.7 ,2018-08-21 12:11 ,25.7 ,2018-08-21 02:51 ,... ,81 ,58 ,2018-08-21 12:11 ,1.0 ,89 ,4.4 ,271 ,2018-08-21 15:51 ,7.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,990.3 ,... ,992.3 ,2018-08-22 08:31 ,988.1 ,2018-08-22 15:42 ,28.2 ,33.2 ,2018-08-22 14:44 ,25.7 ,2018-08-22 06:34 ,... ,86 ,63 ,2018-08-22 13:12 ,1.2 ,278 ,5.7 ,263 ,2018-08-22 15:47 ,22.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,987.1 ,... ,989.1 ,2018-08-23 00:01 ,984.9 ,2018-08-23 13:52 ,27.9 ,33.6 ,2018-08-23 12:31 ,24.2 ,2018-08-23 23:51 ,... ,86 ,60 ,2018-08-23 12:31 ,1.2 ,245 ,5.6 ,118 ,2018-08-23 21:33 ,49.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
23,24,989.5 ,... ,991.6 ,2018-08-24 22:01 ,986.5 ,2018-08-24 02:44 ,25.1 ,28.3 ,2018-08-24 11:41 ,23.9 ,2018-08-24 06:21 ,... ,94 ,77 ,2018-08-24 11:43 ,2.0 ,117 ,8.0 ,131 ,2018-08-24 02:17 ,77.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
24,25,990.3 ,... ,992.1 ,2018-08-25 20:32 ,988.5 ,2018-08-25 15:18 ,27.2 ,31.9 ,2018-08-25 13:53 ,24.8 ,2018-08-25 03:11 ,... ,89 ,64 ,2018-08-25 09:51 ,1.0 ,77 ,6.0 ,240 ,2018-08-25 11:25 ,63.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
25,26,991.9 ,... ,994.3 ,2018-08-26 22:41 ,990.1 ,2018-08-26 01:24 ,27.9 ,31.1 ,2018-08-26 14:05 ,25.6 ,2018-08-26 01:45 ,... ,84 ,64 ,2018-08-26 13:52 ,1.0 ,134 ,5.1 ,261 ,2018-08-26 13:09 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
26,27,995.5 ,... ,997.6 ,2018-08-27 20:57 ,993.1 ,2018-08-27 03:32 ,27.5 ,31.7 ,2018-08-27 13:01 ,25.8 ,2018-08-27 02:15 ,... ,81 ,58 ,2018-08-27 13:08 ,1.0 ,290 ,6.7 ,258 ,2018-08-27 13:17 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
27,28,998.1 ,... ,999.7 ,2018-08-28 20:06 ,996.7 ,2018-08-28 02:11 ,26.5 ,29.1 ,2018-08-28 14:14 ,24.5 ,2018-08-28 19:53 ,... ,82 ,65 ,2018-08-28 14:21 ,1.1 ,133 ,5.0 ,232 ,2018-08-28 08:00 ,2.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
28,29,998.9 ,... ,1001.0 ,2018-08-29 23:52 ,997.3 ,2018-08-29 14:16 ,26.4 ,31.1 ,2018-08-29 14:03 ,24.4 ,2018-08-29 05:55 ,... ,86 ,61 ,2018-08-29 14:06 ,1.0 ,134 ,6.9 ,210 ,2018-08-29 14:50 ,3.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
