,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,957.8 ,... ,959.8 ,2018-05-01 08:03 ,956.2 ,2018-05-01 16:21 ,23.9 ,29.5 ,2018-05-01 12:42 ,20.1 ,2018-05-01 04:13 ,... ,85 ,59 ,2018-05-01 12:53 ,X ,X ,6.5 ,360 ,2018-05-01 11:14 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,957.7 ,... ,959.5 ,2018-05-02 08:04 ,956.2 ,2018-05-02 02:21 ,24.9 ,31.0 ,2018-05-02 12:44 ,20.4 ,2018-05-02 05:58 ,... ,82 ,51 ,2018-05-02 12:03 ,X ,X ,8.8 ,360 ,2018-05-02 12:33 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,959.1 ,... ,960.9 ,2018-05-03 22:41 ,957.4 ,2018-05-03 02:51 ,23.5 ,28.1 ,2018-05-03 11:44 ,20.3 ,2018-05-03 23:49 ,... ,80 ,62 ,2018-05-03 13:43 ,X ,X ,6.0 ,360 ,2018-05-03 12:10 ,4.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,960.0 ,... ,962.0 ,2018-05-04 21:31 ,958.6 ,2018-05-04 01:54 ,22.8 ,26.2 ,2018-05-04 15:52 ,19.5 ,2018-05-04 04:41 ,... ,86 ,69 ,2018-05-04 12:11 ,X ,X ,6.1 ,360 ,2018-05-04 22:41 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,960.4 ,... ,962.5 ,2018-05-05 09:11 ,958.6 ,2018-05-05 13:41 ,23.8 ,28.6 ,2018-05-05 12:54 ,20.6 ,2018-05-05 05:51 ,... ,76 ,58 ,2018-05-05 15:55 ,X ,X ,7.6 ,360 ,2018-05-05 00:43 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,957.5 ,... ,960.2 ,2018-05-06 00:01 ,955.7 ,2018-05-06 14:02 ,25.3 ,30.8 ,2018-05-06 14:11 ,20.9 ,2018-05-06 05:27 ,... ,73 ,50 ,2018-05-06 10:05 ,X ,X ,8.5 ,360 ,2018-05-06 11:27 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,954.7 ,... ,957.1 ,2018-05-07 09:17 ,952.7 ,2018-05-07 16:53 ,25.4 ,28.9 ,2018-05-07 14:01 ,23.0 ,2018-05-07 06:03 ,... ,78 ,59 ,2018-05-07 14:03 ,X ,X ,8.8 ,360 ,2018-05-07 15:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,954.7 ,... ,957.1 ,2018-05-08 21:21 ,952.4 ,2018-05-08 02:26 ,21.9 ,25.8 ,2018-05-08 12:41 ,19.1 ,2018-05-08 04:31 ,... ,93 ,74 ,2018-05-08 10:46 ,X ,X ,9.4 ,7 ,2018-05-08 13:49 ,68.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,958.4 ,... ,960.9 ,2018-05-09 20:37 ,955.5 ,2018-05-09 02:03 ,20.4 ,21.9 ,2018-05-09 17:02 ,19.1 ,2018-05-09 23:11 ,... ,100 ,95 ,2018-05-09 17:21 ,X ,X ,4.7 ,360 ,2018-05-09 09:23 ,53.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,959.6 ,... ,961.5 ,2018-05-10 08:52 ,958.3 ,2018-05-10 14:41 ,22.1 ,27.4 ,2018-05-10 15:03 ,18.2 ,2018-05-10 06:51 ,... ,87 ,61 ,2018-05-10 14:41 ,X ,X ,5.8 ,2 ,2018-05-10 14:08 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,958.6 ,... ,960.6 ,2018-05-11 08:25 ,957.4 ,2018-05-11 02:51 ,23.3 ,27.9 ,2018-05-11 15:27 ,20.2 ,2018-05-11 00:03 ,... ,85 ,62 ,2018-05-11 16:04 ,X ,X ,6.0 ,360 ,2018-05-11 11:10 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,957.0 ,... ,958.6 ,2018-05-12 08:56 ,955.7 ,2018-05-12 02:32 ,23.4 ,28.2 ,2018-05-12 15:33 ,19.1 ,2018-05-12 05:21 ,... ,85 ,61 ,2018-05-12 15:11 ,X ,X ,5.8 ,360 ,2018-05-12 11:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
