,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,991.9 ,... ,994.0 ,2018-03-01 09:32 ,990.2 ,2018-03-01 15:13 ,20.8 ,25.2 ,2018-03-01 11:51 ,18.3 ,2018-03-01 06:34 ,... ,77 ,48 ,2018-03-01 11:31 ,2.2 ,8 ,8.0 ,24 ,2018-03-01 13:55 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,992.0 ,... ,994.4 ,2018-03-02 09:41 ,990.1 ,2018-03-02 15:05 ,21.4 ,27.3 ,2018-03-02 11:31 ,18.7 ,2018-03-02 06:23 ,... ,82 ,56 ,2018-03-02 11:31 ,1.7 ,4 ,6.8 ,360 ,2018-03-02 13:37 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,991.1 ,... ,992.8 ,2018-03-03 10:03 ,989.3 ,2018-03-03 14:39 ,24.1 ,29.4 ,2018-03-03 14:02 ,19.5 ,2018-03-03 05:30 ,... ,76 ,58 ,2018-03-03 15:19 ,2.1 ,29 ,8.9 ,219 ,2018-03-03 13:42 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,992.0 ,... ,993.7 ,2018-03-04 09:31 ,990.5 ,2018-03-04 03:51 ,24.6 ,27.3 ,2018-03-04 12:31 ,22.4 ,2018-03-04 05:33 ,... ,79 ,64 ,2018-03-04 09:51 ,2.0 ,196 ,8.5 ,245 ,2018-03-04 22:43 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,993.0 ,... ,995.0 ,2018-03-05 23:29 ,990.9 ,2018-03-05 03:03 ,24.2 ,29.7 ,2018-03-05 13:03 ,16.6 ,2018-03-05 23:53 ,... ,78 ,61 ,2018-03-05 13:11 ,2.8 ,25 ,13.1 ,4 ,2018-03-05 18:22 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,996.3 ,... ,998.3 ,2018-03-06 09:23 ,994.2 ,2018-03-06 01:56 ,17.7 ,21.4 ,2018-03-06 11:54 ,15.3 ,2018-03-06 04:23 ,... ,78 ,63 ,2018-03-06 11:54 ,4.7 ,30 ,12.4 ,3 ,2018-03-06 12:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,995.6 ,... ,997.7 ,2018-03-07 00:01 ,993.3 ,2018-03-07 14:41 ,18.2 ,24.5 ,2018-03-07 14:35 ,16.1 ,2018-03-07 23:41 ,... ,83 ,63 ,2018-03-07 14:35 ,2.9 ,13 ,14.1 ,26 ,2018-03-07 16:25 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,996.7 ,... ,999.6 ,2018-03-08 22:01 ,993.7 ,2018-03-08 03:11 ,13.0 ,17.5 ,2018-03-08 03:33 ,10.0 ,2018-03-08 22:45 ,... ,88 ,78 ,2018-03-08 23:51 ,6.2 ,33 ,20.7 ,38 ,2018-03-08 17:02 ,8.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,998.9 ,... ,1000.5 ,2018-03-09 22:02 ,997.1 ,2018-03-09 03:17 ,12.7 ,16.4 ,2018-03-09 12:33 ,10.2 ,2018-03-09 06:39 ,... ,63 ,50 ,2018-03-09 13:04 ,5.7 ,35 ,17.9 ,48 ,2018-03-09 01:52 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,999.9 ,... ,1001.8 ,2018-03-10 10:02 ,998.4 ,2018-03-10 14:34 ,15.3 ,21.5 ,2018-03-10 14:11 ,10.6 ,2018-03-10 06:01 ,... ,62 ,40 ,2018-03-10 12:11 ,3.0 ,9 ,9.5 ,6 ,2018-03-10 17:19 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1000.0 ,... ,1002.1 ,2018-03-11 09:31 ,998.8 ,2018-03-11 15:02 ,17.2 ,22.4 ,2018-03-11 13:11 ,12.6 ,2018-03-11 06:21 ,... ,68 ,37 ,2018-03-11 14:01 ,1.7 ,10 ,8.3 ,27 ,2018-03-11 16:29 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
