,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,685.1 ,... ,686.5 ,2018-03-01 09:53 ,683.8 ,2018-03-01 18:21 ,6.1 ,12.1 ,2018-03-01 14:07 ,1.1 ,2018-03-01 03:03 ,... ,37 ,1 ,2018-03-01 01:26 ,2.9 ,237 ,19.2 ,222 ,2018-03-01 23:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,684.9 ,... ,686.4 ,2018-03-02 10:00 ,683.6 ,2018-03-02 03:48 ,5.2 ,10.7 ,2018-03-02 14:44 ,2.6 ,2018-03-02 05:27 ,... ,73 ,56 ,2018-03-02 14:11 ,5.4 ,248 ,23.8 ,234 ,2018-03-02 07:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,685.8 ,... ,687.2 ,2018-03-03 22:22 ,683.7 ,2018-03-03 04:20 ,6.3 ,14.0 ,2018-03-03 12:43 ,2.8 ,2018-03-03 07:08 ,... ,66 ,27 ,2018-03-03 18:58 ,4.0 ,215 ,18.0 ,222 ,2018-03-03 04:19 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,687.5 ,... ,688.8 ,2018-03-04 11:06 ,686.0 ,2018-03-04 03:31 ,6.9 ,12.6 ,2018-03-04 14:46 ,4.9 ,2018-03-04 00:11 ,... ,80 ,59 ,2018-03-04 23:34 ,4.4 ,219 ,18.9 ,227 ,2018-03-04 23:04 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,687.4 ,... ,688.8 ,2018-03-05 11:05 ,685.8 ,2018-03-05 04:23 ,5.4 ,9.7 ,2018-03-05 10:03 ,2.5 ,2018-03-05 17:58 ,... ,86 ,56 ,2018-03-05 21:08 ,5.4 ,227 ,19.7 ,220 ,2018-03-05 04:23 ,19.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,687.9 ,... ,689.3 ,2018-03-06 10:37 ,686.4 ,2018-03-06 02:44 ,5.3 ,11.8 ,2018-03-06 14:40 ,2.6 ,2018-03-06 21:30 ,... ,69 ,28 ,2018-03-06 23:49 ,3.8 ,264 ,17.6 ,231 ,2018-03-06 03:13 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,686.1 ,... ,687.8 ,2018-03-07 00:01 ,684.7 ,2018-03-07 23:47 ,6.2 ,14.4 ,2018-03-07 12:22 ,2.2 ,2018-03-07 19:31 ,... ,51 ,12 ,2018-03-07 08:24 ,3.5 ,250 ,16.3 ,224 ,2018-03-07 23:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,683.4 ,... ,685.0 ,2018-03-08 09:38 ,681.7 ,2018-03-08 15:46 ,0.8 ,2.9 ,2018-03-08 12:07 ,-0.9 ,2018-03-08 23:57 ,... ,99 ,79 ,2018-03-08 00:02 ,3.3 ,234 ,18.7 ,230 ,2018-03-08 15:06 ,17.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,682.1 ,... ,683.0 ,2018-03-09 10:55 ,680.9 ,2018-03-09 02:56 ,-3.1 ,1.0 ,2018-03-09 15:30 ,-5.7 ,2018-03-09 21:36 ,... ,45 ,10 ,2018-03-09 23:10 ,3.7 ,315 ,14.1 ,244 ,2018-03-09 06:32 ,21.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,683.6 ,... ,685.5 ,2018-03-10 23:55 ,681.4 ,2018-03-10 04:23 ,-3.0 ,3.7 ,2018-03-10 13:56 ,-6.8 ,2018-03-10 06:10 ,... ,40 ,1 ,2018-03-10 23:52 ,1.8 ,10 ,11.4 ,358 ,2018-03-10 05:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,685.9 ,... ,687.1 ,2018-03-11 10:27 ,684.5 ,2018-03-11 03:35 ,4.1 ,10.4 ,2018-03-11 11:58 ,-1.3 ,2018-03-11 00:56 ,... ,21 ,0 ,2018-03-11 01:42 ,2.5 ,203 ,8.5 ,217 ,2018-03-11 17:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,685.7 ,... ,686.8 ,2018-03-12 09:31 ,684.5 ,2018-03-12 15:54 ,4.2 ,11.2 ,2018-03-12 12:58 ,-0.1 ,2018-03-12 23:35 ,... ,45 ,3 ,2018-03-12 05:01 ,2.3 ,246 ,10.9 ,256 ,2018-03-12 20:59 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,686.0 ,... ,... , ,... , ,3.7 ,... , ,... , ,... ,68 ,... , ,1.9 ,197 ,... ,... , ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,686.6 ,... ,687.9 ,2018-03-14 21:28 ,685.3 ,2018-03-14 04:06 ,5.0 ,12.8 ,2018-03-14 11:04 ,2.0 ,2018-03-14 05:52 ,... ,71 ,44 ,2018-03-14 09:43 ,2.4 ,229 ,12.5 ,232 ,2018-03-14 22:01 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,685.4 ,... ,687.3 ,2018-03-16 00:00 ,683.9 ,2018-03-15 18:19 ,4.3 ,11.0 ,2018-03-15 13:55 ,1.4 ,2018-03-15 18:36 ,... ,78 ,47 ,2018-03-15 11:01 ,3.0 ,228 ,13.8 ,227 ,2018-03-15 18:34 ,8.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,685.3 ,... ,687.1 ,2018-03-16 21:23 ,683.1 ,2018-03-16 05:02 ,1.6 ,4.5 ,2018-03-16 11:07 ,-0.2 ,2018-03-16 20:45 ,... ,94 ,64 ,2018-03-16 21:57 ,2.6 ,232 ,15.3 ,238 ,2018-03-16 02:29 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,687.0 ,... ,688.1 ,2018-03-17 21:53 ,685.5 ,2018-03-17 03:11 ,2.6 ,9.0 ,2018-03-17 14:25 ,-0.3 ,2018-03-17 02:45 ,... ,77 ,44 ,2018-03-17 20:31 ,1.9 ,233 ,9.1 ,221 ,2018-03-17 20:51 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,687.4 ,... ,688.6 ,2018-03-18 10:26 ,686.5 ,2018-03-18 03:54 ,5.9 ,13.9 ,2018-03-18 13:42 ,2.1 ,2018-03-18 03:15 ,... ,71 ,45 ,2018-03-18 23:01 ,2.5 ,246 ,13.3 ,225 ,2018-03-18 19:38 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
