,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1008.8 ,... ,1011.0 ,2018-04-01 09:51 ,1007.1 ,2018-04-01 16:14 ,24.5 ,29.8 ,2018-04-01 14:02 ,20.4 ,2018-04-01 05:51 ,... ,79 ,51 ,2018-04-01 12:09 ,1.0 ,160 ,5.8 ,336 ,2018-04-01 15:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1009.2 ,... ,1010.6 ,2018-04-02 11:04 ,1007.8 ,2018-04-02 15:18 ,24.3 ,29.2 ,2018-04-02 11:44 ,20.9 ,2018-04-02 23:41 ,... ,79 ,54 ,2018-04-02 11:44 ,0.9 ,288 ,6.3 ,287 ,2018-04-02 11:58 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1010.0 ,... ,1011.6 ,2018-04-03 09:51 ,1008.5 ,2018-04-03 03:54 ,24.0 ,29.0 ,2018-04-03 10:32 ,20.2 ,2018-04-03 02:51 ,... ,76 ,50 ,2018-04-03 10:24 ,0.7 ,60 ,5.3 ,294 ,2018-04-03 14:52 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1009.1 ,... ,1010.9 ,2018-04-04 08:31 ,1007.1 ,2018-04-04 15:53 ,23.8 ,29.6 ,2018-04-04 13:31 ,19.5 ,2018-04-04 03:53 ,... ,78 ,52 ,2018-04-04 13:58 ,0.6 ,9 ,5.3 ,334 ,2018-04-04 12:09 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1007.9 ,... ,1009.4 ,2018-04-05 08:01 ,1006.2 ,2018-04-05 17:01 ,25.0 ,31.0 ,2018-04-05 11:51 ,20.4 ,2018-04-05 01:41 ,... ,75 ,46 ,2018-04-05 11:42 ,0.6 ,15 ,6.6 ,323 ,2018-04-05 14:52 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1009.9 ,... ,1014.7 ,2018-04-06 23:11 ,1006.6 ,2018-04-06 02:41 ,22.4 ,29.0 ,2018-04-06 10:43 ,16.8 ,2018-04-06 21:42 ,... ,73 ,56 ,2018-04-06 23:55 ,1.6 ,356 ,9.4 ,333 ,2018-04-06 15:54 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1016.5 ,... ,1018.3 ,2018-04-07 21:27 ,1013.9 ,2018-04-07 02:58 ,17.2 ,18.3 ,2018-04-07 15:57 ,16.3 ,2018-04-07 23:47 ,... ,58 ,46 ,2018-04-07 23:02 ,1.0 ,9 ,7.1 ,337 ,2018-04-07 00:56 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1015.4 ,... ,1017.3 ,2018-04-08 00:04 ,1014.1 ,2018-04-08 15:04 ,20.1 ,26.4 ,2018-04-08 12:21 ,13.8 ,2018-04-08 05:55 ,... ,62 ,38 ,2018-04-08 12:43 ,0.7 ,2 ,7.1 ,285 ,2018-04-08 13:32 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1014.1 ,... ,1016.1 ,2018-04-09 08:11 ,1011.7 ,2018-04-09 15:41 ,20.4 ,28.4 ,2018-04-09 13:31 ,14.1 ,2018-04-09 05:41 ,... ,72 ,35 ,2018-04-09 11:13 ,0.7 ,38 ,5.6 ,339 ,2018-04-09 14:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1011.1 ,... ,1013.5 ,2018-04-10 08:01 ,1008.7 ,2018-04-10 15:44 ,23.2 ,30.5 ,2018-04-10 13:01 ,15.9 ,2018-04-10 06:01 ,... ,66 ,29 ,2018-04-10 09:52 ,0.5 ,2 ,4.8 ,324 ,2018-04-10 13:49 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1008.2 ,... ,1010.7 ,2018-04-11 08:38 ,1005.7 ,2018-04-11 15:42 ,25.7 ,32.0 ,2018-04-11 11:51 ,20.3 ,2018-04-11 02:14 ,... ,78 ,51 ,2018-04-11 09:11 ,0.7 ,306 ,6.1 ,313 ,2018-04-11 12:59 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1007.7 ,... ,1009.3 ,2018-04-12 22:01 ,1006.0 ,2018-04-12 15:52 ,26.8 ,30.9 ,2018-04-12 10:21 ,23.5 ,2018-04-12 05:51 ,... ,80 ,56 ,2018-04-12 17:21 ,0.8 ,112 ,8.1 ,291 ,2018-04-12 12:29 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,1008.6 ,... ,1010.4 ,2018-04-13 08:51 ,1006.5 ,2018-04-13 16:02 ,26.9 ,33.0 ,2018-04-13 12:21 ,21.9 ,2018-04-13 05:21 ,... ,81 ,58 ,2018-04-13 11:41 ,0.6 ,26 ,6.5 ,333 ,2018-04-13 13:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,1007.3 ,... ,1009.4 ,2018-04-14 08:43 ,1005.0 ,2018-04-14 15:57 ,28.1 ,33.4 ,2018-04-14 12:53 ,25.1 ,2018-04-14 02:39 ,... ,81 ,56 ,2018-04-14 11:32 ,0.7 ,64 ,5.4 ,202 ,2018-04-14 11:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,1008.0 ,... ,1011.3 ,2018-04-15 19:52 ,1006.0 ,2018-04-15 04:32 ,23.8 ,28.8 ,2018-04-15 13:44 ,17.2 ,2018-04-15 20:38 ,... ,81 ,54 ,2018-04-15 13:23 ,1.4 ,23 ,7.7 ,296 ,2018-04-15 11:45 ,16.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,1010.4 ,... ,... , ,... , ,21.2 ,... , ,... , ,... ,82 ,... , ,1.0 ,342 ,... ,... , ,4.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,1012.1 ,... ,1014.1 ,2018-04-17 08:56 ,1010.0 ,2018-04-17 16:26 ,20.3 ,25.6 ,2018-04-17 14:52 ,17.5 ,2018-04-17 02:45 ,... ,86 ,63 ,2018-04-17 15:32 ,1.1 ,4 ,5.8 ,306 ,2018-04-17 15:49 ,11.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,1010.9 ,... ,1012.8 ,2018-04-18 09:37 ,1009.0 ,2018-04-18 16:11 ,22.3 ,28.5 ,2018-04-18 14:01 ,16.9 ,2018-04-18 02:05 ,... ,80 ,54 ,2018-04-18 14:01 ,0.7 ,37 ,5.2 ,320 ,2018-04-18 17:04 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,1010.2 ,... ,1012.0 ,2018-04-19 08:51 ,1009.1 ,2018-04-19 15:21 ,24.4 ,29.6 ,2018-04-19 14:01 ,20.1 ,2018-04-19 04:21 ,... ,78 ,53 ,2018-04-19 14:13 ,0.6 ,294 ,5.4 ,339 ,2018-04-19 12:41 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,1010.2 ,... ,1011.5 ,2018-04-20 08:31 ,1008.4 ,2018-04-20 16:45 ,24.8 ,31.1 ,2018-04-20 13:01 ,20.2 ,2018-04-20 05:41 ,... ,78 ,35 ,2018-04-20 10:51 ,0.6 ,149 ,4.7 ,295 ,2018-04-20 14:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,1009.4 ,... ,1011.0 ,2018-04-21 08:13 ,1007.6 ,2018-04-21 15:17 ,25.1 ,30.6 ,2018-04-21 12:01 ,21.4 ,2018-04-21 05:21 ,... ,80 ,51 ,2018-04-21 10:01 ,0.6 ,297 ,5.5 ,288 ,2018-04-21 12:54 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,1007.5 ,... ,1009.7 ,2018-04-22 07:21 ,1005.6 ,2018-04-22 15:02 ,26.5 ,33.3 ,2018-04-22 13:32 ,21.9 ,2018-04-22 04:41 ,... ,76 ,49 ,2018-04-22 12:22 ,0.6 ,56 ,6.9 ,305 ,2018-04-22 14:10 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,1005.1 ,... ,1006.9 ,2018-04-23 00:01 ,1003.0 ,2018-04-23 14:48 ,27.4 ,33.8 ,2018-04-23 12:01 ,22.9 ,2018-04-23 04:11 ,... ,74 ,49 ,2018-04-23 11:22 ,0.7 ,112 ,6.4 ,145 ,2018-04-23 16:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
23,24,1005.3 ,... ,1006.8 ,2018-04-24 21:36 ,1003.8 ,2018-04-24 14:11 ,26.6 ,30.3 ,2018-04-24 11:01 ,23.6 ,2018-04-24 23:56 ,... ,82 ,72 ,2018-04-24 11:01 ,1.0 ,157 ,5.9 ,310 ,2018-04-24 12:49 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
24,25,1007.1 ,... ,1009.0 ,2018-04-25 22:01 ,1005.6 ,2018-04-25 15:33 ,25.0 ,30.0 ,2018-04-25 15:02 ,21.2 ,2018-04-25 05:56 ,... ,71 ,52 ,2018-04-25 13:31 ,1.0 ,324 ,4.6 ,20 ,2018-04-25 16:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
25,26,1008.7 ,... ,1010.9 ,2018-04-26 21:35 ,1006.6 ,2018-04-26 02:11 ,25.1 ,31.2 ,2018-04-26 13:41 ,20.5 ,2018-04-26 03:44 ,... ,74 ,53 ,2018-04-26 15:01 ,0.7 ,306 ,5.5 ,297 ,2018-04-26 14:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
26,27,1010.6 ,... ,1012.2 ,2018-04-27 09:21 ,1008.8 ,2018-04-27 03:12 ,25.7 ,30.7 ,2018-04-27 11:23 ,21.0 ,2018-04-27 05:11 ,... ,76 ,51 ,2018-04-27 11:23 ,0.8 ,40 ,7.1 ,294 ,2018-04-27 12:10 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
