,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,962.7 ,... ,964.5 ,2018-04-01 10:34 ,960.8 ,2018-04-01 16:01 ,21.9 ,27.0 ,2018-04-01 12:59 ,17.2 ,2018-04-01 06:06 ,... ,81 ,50 ,2018-04-01 13:17 ,0.8 ,202 ,6.3 ,296 ,2018-04-01 14:54 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,963.1 ,... ,964.7 ,2018-04-02 22:50 ,961.3 ,2018-04-02 15:04 ,21.9 ,26.9 ,2018-04-02 14:31 ,18.1 ,2018-04-02 05:28 ,... ,79 ,50 ,2018-04-02 11:47 ,1.0 ,4 ,7.3 ,304 ,2018-04-02 15:53 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,963.9 ,... ,965.0 ,2018-04-03 10:41 ,962.7 ,2018-04-03 15:32 ,21.7 ,26.2 ,2018-04-03 14:26 ,18.3 ,2018-04-03 05:50 ,... ,83 ,58 ,2018-04-03 14:27 ,1.0 ,18 ,5.7 ,301 ,2018-04-03 12:52 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,963.1 ,... ,964.7 ,2018-04-04 08:57 ,961.1 ,2018-04-04 16:16 ,21.5 ,27.1 ,2018-04-04 15:38 ,16.9 ,2018-04-04 04:40 ,... ,81 ,48 ,2018-04-04 12:21 ,0.9 ,223 ,6.9 ,265 ,2018-04-04 13:10 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,962.1 ,... ,963.3 ,2018-04-05 09:12 ,960.2 ,2018-04-05 14:39 ,22.7 ,28.0 ,2018-04-05 12:23 ,18.2 ,2018-04-05 06:14 ,... ,78 ,51 ,2018-04-05 12:22 ,0.9 ,19 ,7.2 ,259 ,2018-04-05 13:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,963.2 ,... ,966.2 ,2018-04-06 23:44 ,960.9 ,2018-04-06 14:48 ,22.1 ,28.3 ,2018-04-06 12:30 ,16.5 ,2018-04-06 23:58 ,... ,80 ,50 ,2018-04-06 12:31 ,1.4 ,39 ,8.2 ,281 ,2018-04-06 12:42 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,968.6 ,... ,970.4 ,2018-04-07 21:30 ,965.9 ,2018-04-07 00:09 ,14.7 ,17.0 ,2018-04-07 00:10 ,13.0 ,2018-04-07 05:36 ,... ,95 ,80 ,2018-04-07 17:46 ,0.8 ,16 ,4.3 ,298 ,2018-04-07 12:11 ,3.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,968.3 ,... ,969.7 ,2018-04-08 00:09 ,966.5 ,2018-04-08 16:10 ,18.0 ,23.7 ,2018-04-08 14:45 ,13.6 ,2018-04-08 06:05 ,... ,78 ,45 ,2018-04-08 13:45 ,1.0 ,281 ,7.6 ,297 ,2018-04-08 12:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,967.2 ,... ,969.5 ,2018-04-09 00:19 ,964.5 ,2018-04-09 15:52 ,18.6 ,25.8 ,2018-04-09 14:19 ,11.7 ,2018-04-09 05:45 ,... ,69 ,21 ,2018-04-09 11:59 ,1.0 ,14 ,6.3 ,267 ,2018-04-09 14:26 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,965.2 ,... ,967.2 ,2018-04-10 07:58 ,962.3 ,2018-04-10 15:42 ,20.3 ,28.5 ,2018-04-10 15:54 ,13.2 ,2018-04-10 05:44 ,... ,73 ,35 ,2018-04-10 12:10 ,0.8 ,293 ,6.3 ,279 ,2018-04-10 16:16 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,962.8 ,... ,965.3 ,2018-04-11 08:15 ,959.9 ,2018-04-11 16:28 ,23.3 ,30.7 ,2018-04-11 13:14 ,15.8 ,2018-04-11 05:42 ,... ,80 ,40 ,2018-04-11 12:00 ,0.9 ,277 ,7.3 ,294 ,2018-04-11 14:16 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,962.6 ,... ,... , ,... , ,22.4 ,... , ,... , ,... ,94 ,... , ,0.6 ,1 ,... ,... , ,11.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,963.3 ,... ,965.0 ,2018-04-13 09:16 ,960.8 ,2018-04-13 15:14 ,23.8 ,30.4 ,2018-04-13 12:23 ,17.3 ,2018-04-13 05:21 ,... ,86 ,48 ,2018-04-13 10:50 ,0.9 ,1 ,6.0 ,324 ,2018-04-13 14:46 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,962.0 ,... ,964.0 ,2018-04-14 08:37 ,959.9 ,2018-04-14 15:18 ,24.8 ,31.0 ,2018-04-14 12:29 ,20.5 ,2018-04-14 05:50 ,... ,85 ,47 ,2018-04-14 12:02 ,1.0 ,13 ,7.5 ,277 ,2018-04-14 12:59 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,961.8 ,... ,964.3 ,2018-04-15 20:57 ,959.5 ,2018-04-15 14:06 ,23.5 ,29.5 ,2018-04-15 11:59 ,18.3 ,2018-04-15 21:05 ,... ,86 ,53 ,2018-04-15 11:53 ,0.8 ,267 ,7.3 ,280 ,2018-04-15 14:28 ,10.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,963.5 ,... ,965.1 ,2018-04-16 22:53 ,961.5 ,2018-04-16 14:59 ,21.4 ,27.2 ,2018-04-16 13:30 ,18.3 ,2018-04-16 23:59 ,... ,89 ,56 ,2018-04-16 13:31 ,1.0 ,298 ,6.5 ,312 ,2018-04-16 15:34 ,17.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,965.1 ,... ,967.2 ,2018-04-17 09:46 ,963.1 ,2018-04-17 17:14 ,19.9 ,25.5 ,2018-04-17 17:07 ,17.3 ,2018-04-17 04:02 ,... ,93 ,58 ,2018-04-17 17:01 ,0.4 ,302 ,3.9 ,307 ,2018-04-17 00:16 ,19.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,964.3 ,... ,965.8 ,2018-04-18 09:24 ,962.6 ,2018-04-18 15:43 ,21.7 ,26.9 ,2018-04-18 15:38 ,17.2 ,2018-04-18 05:57 ,... ,83 ,54 ,2018-04-18 11:02 ,1.0 ,310 ,6.6 ,268 ,2018-04-18 12:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,964.1 ,... ,965.4 ,2018-04-19 09:16 ,963.0 ,2018-04-19 15:04 ,22.2 ,27.1 ,2018-04-19 13:37 ,18.1 ,2018-04-19 04:46 ,... ,84 ,52 ,2018-04-19 13:37 ,0.9 ,215 ,6.5 ,314 ,2018-04-19 14:35 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,964.2 ,... ,965.2 ,2018-04-20 08:55 ,962.4 ,2018-04-20 17:37 ,23.0 ,27.7 ,2018-04-20 14:09 ,19.6 ,2018-04-20 05:50 ,... ,80 ,50 ,2018-04-20 11:36 ,0.9 ,292 ,6.7 ,303 ,2018-04-20 11:57 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
