,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,678.6 ,... ,680.0 ,2018-09-01 00:01 ,677.7 ,2018-09-01 15:01 ,8.3 ,11.8 ,2018-09-01 16:01 ,6.0 ,2018-09-01 23:54 ,... ,100 ,100 ,2018-09-01 00:01 ,0.8 ,270 ,2.1 ,264 ,2018-09-01 23:38 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,677.2 ,... ,678.4 ,2018-09-02 09:25 ,676.2 ,2018-09-02 15:31 ,8.9 ,13.0 ,2018-09-02 09:12 ,6.0 ,2018-09-02 00:01 ,... ,96 ,74 ,2018-09-02 09:02 ,0.8 ,1 ,2.4 ,305 ,2018-09-02 13:17 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,676.2 ,... ,677.7 ,2018-09-03 09:21 ,675.2 ,2018-09-03 15:21 ,8.9 ,13.5 ,2018-09-03 09:54 ,6.9 ,2018-09-03 19:22 ,... ,94 ,75 ,2018-09-03 14:11 ,0.8 ,336 ,2.2 ,309 ,2018-09-03 16:10 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,676.3 ,... ,677.5 ,2018-09-04 20:46 ,675.0 ,2018-09-04 02:43 ,10.3 ,13.7 ,2018-09-04 07:31 ,7.8 ,2018-09-04 00:41 ,... ,96 ,80 ,2018-09-04 08:02 ,0.6 ,54 ,2.3 ,51 ,2018-09-04 10:13 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,676.9 ,... ,678.4 ,2018-09-05 09:22 ,675.9 ,2018-09-05 03:31 ,10.2 ,17.6 ,2018-09-05 10:11 ,7.6 ,2018-09-05 05:09 ,... ,99 ,72 ,2018-09-05 10:04 ,0.8 ,89 ,2.0 ,80 ,2018-09-05 21:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,676.8 ,... ,678.1 ,2018-09-06 09:02 ,675.9 ,2018-09-06 15:42 ,10.6 ,17.4 ,2018-09-06 09:36 ,8.1 ,2018-09-06 23:26 ,... ,98 ,75 ,2018-09-06 09:36 ,1.2 ,72 ,2.8 ,97 ,2018-09-06 21:00 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,676.9 ,... ,678.4 ,2018-09-07 10:21 ,675.9 ,2018-09-07 15:52 ,10.1 ,16.8 ,2018-09-07 11:14 ,5.9 ,2018-09-07 20:41 ,... ,85 ,35 ,2018-09-07 07:21 ,0.7 ,101 ,2.7 ,190 ,2018-09-07 23:41 ,14.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,677.1 ,... ,678.7 ,2018-09-08 09:11 ,676.0 ,2018-09-08 05:17 ,9.3 ,14.2 ,2018-09-08 09:51 ,6.3 ,2018-09-08 20:51 ,... ,87 ,59 ,2018-09-08 23:01 ,0.8 ,122 ,2.7 ,109 ,2018-09-08 21:00 ,17.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,677.6 ,... ,678.8 ,2018-09-09 09:11 ,676.8 ,2018-09-09 02:01 ,10.0 ,16.1 ,2018-09-09 09:52 ,8.0 ,2018-09-09 20:08 ,... ,97 ,68 ,2018-09-09 00:01 ,1.6 ,64 ,5.6 ,81 ,2018-09-09 22:40 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,677.7 ,... ,678.8 ,2018-09-10 09:21 ,676.8 ,2018-09-10 15:13 ,9.6 ,11.5 ,2018-09-10 10:01 ,8.4 ,2018-09-10 01:17 ,... ,100 ,100 ,2018-09-10 00:01 ,2.9 ,87 ,6.3 ,80 ,2018-09-10 08:05 ,2.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,678.2 ,... ,679.4 ,2018-09-11 09:25 ,676.5 ,2018-09-11 02:43 ,10.3 ,13.7 ,2018-09-11 10:52 ,8.6 ,2018-09-11 22:42 ,... ,96 ,77 ,2018-09-11 10:52 ,1.8 ,136 ,6.3 ,121 ,2018-09-11 00:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,679.0 ,... ,680.3 ,2018-09-12 09:34 ,677.7 ,2018-09-12 04:26 ,10.9 ,17.6 ,2018-09-12 13:03 ,8.3 ,2018-09-12 05:34 ,... ,89 ,61 ,2018-09-12 08:51 ,1.4 ,153 ,3.3 ,149 ,2018-09-12 08:30 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,679.3 ,... ,680.7 ,2018-09-13 10:51 ,678.5 ,2018-09-13 02:43 ,11.0 ,16.4 ,2018-09-13 11:54 ,6.0 ,2018-09-13 19:11 ,... ,71 ,41 ,2018-09-13 22:31 ,1.5 ,65 ,3.7 ,90 ,2018-09-13 23:58 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,677.6 ,... ,679.7 ,2018-09-14 09:56 ,673.4 ,2018-09-14 22:56 ,9.1 ,14.2 ,2018-09-14 11:01 ,4.7 ,2018-09-14 21:13 ,... ,73 ,30 ,2018-09-14 10:52 ,3.4 ,86 ,13.9 ,93 ,2018-09-14 22:56 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,673.3 ,... ,675.9 ,2018-09-15 11:02 ,669.4 ,2018-09-15 15:55 ,8.5 ,10.1 ,2018-09-15 10:43 ,6.3 ,2018-09-15 00:01 ,... ,100 ,100 ,2018-09-15 00:01 ,5.6 ,105 ,14.7 ,94 ,2018-09-15 02:54 ,64.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,678.2 ,... ,681.6 ,2018-09-16 20:31 ,671.9 ,2018-09-16 00:02 ,9.5 ,11.2 ,2018-09-16 23:47 ,8.1 ,2018-09-16 06:11 ,... ,100 ,96 ,2018-09-16 23:47 ,3.2 ,113 ,10.9 ,139 ,2018-09-16 01:43 ,57.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,681.9 ,... ,683.4 ,2018-09-17 21:51 ,680.1 ,2018-09-17 02:01 ,10.3 ,14.6 ,2018-09-17 10:17 ,7.6 ,2018-09-17 18:23 ,... ,87 ,42 ,2018-09-17 22:12 ,1.7 ,66 ,6.4 ,142 ,2018-09-17 00:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,682.0 ,... ,683.8 ,2018-09-18 08:52 ,681.0 ,2018-09-18 17:51 ,9.9 ,15.6 ,2018-09-18 12:11 ,7.0 ,2018-09-18 20:11 ,... ,48 ,30 ,2018-09-18 03:54 ,1.8 ,100 ,4.2 ,93 ,2018-09-18 22:42 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,680.7 ,... ,682.3 ,2018-09-19 10:42 ,679.9 ,2018-09-19 14:47 ,10.5 ,17.1 ,2018-09-19 12:16 ,7.6 ,2018-09-19 00:22 ,... ,47 ,28 ,2018-09-19 19:51 ,1.7 ,94 ,4.2 ,102 ,2018-09-19 07:46 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,679.8 ,... ,681.2 ,2018-09-20 10:25 ,678.8 ,2018-09-20 04:11 ,11.1 ,17.2 ,2018-09-20 11:43 ,7.9 ,2018-09-20 00:12 ,... ,62 ,41 ,2018-09-20 10:06 ,1.4 ,101 ,3.3 ,103 ,2018-09-20 00:02 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,680.5 ,... ,682.2 ,2018-09-21 20:51 ,679.0 ,2018-09-21 03:13 ,11.3 ,17.1 ,2018-09-21 11:43 ,8.1 ,2018-09-21 22:24 ,... ,71 ,43 ,2018-09-21 09:41 ,1.1 ,115 ,3.7 ,117 ,2018-09-21 05:21 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,681.6 ,... ,682.9 ,2018-09-22 09:22 ,680.7 ,2018-09-22 15:31 ,11.0 ,17.4 ,2018-09-22 09:12 ,7.6 ,2018-09-22 02:51 ,... ,87 ,51 ,2018-09-22 07:46 ,0.7 ,135 ,2.0 ,93 ,2018-09-22 09:19 ,9.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,680.6 ,... ,682.2 ,2018-09-23 08:57 ,679.0 ,2018-09-23 17:25 ,10.4 ,16.0 ,2018-09-23 09:53 ,8.2 ,2018-09-23 20:42 ,... ,96 ,63 ,2018-09-23 16:22 ,0.7 ,308 ,2.4 ,282 ,2018-09-23 21:17 ,9.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
23,24,677.5 ,... ,679.6 ,2018-09-24 00:01 ,676.0 ,2018-09-24 15:52 ,9.1 ,15.0 ,2018-09-24 10:14 ,6.3 ,2018-09-24 01:51 ,... ,92 ,62 ,2018-09-24 04:11 ,0.9 ,65 ,2.6 ,87 ,2018-09-24 18:52 ,15.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
24,25,675.7 ,... ,677.4 ,2018-09-25 10:14 ,674.9 ,2018-09-25 04:42 ,9.6 ,15.3 ,2018-09-25 12:41 ,6.6 ,2018-09-25 22:31 ,... ,92 ,38 ,2018-09-25 22:52 ,1.3 ,78 ,4.2 ,94 ,2018-09-25 02:18 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
25,26,675.3 ,... ,676.6 ,2018-09-26 09:37 ,674.3 ,2018-09-26 03:25 ,10.8 ,16.1 ,2018-09-26 13:21 ,6.6 ,2018-09-26 00:02 ,... ,57 ,11 ,2018-09-26 03:24 ,1.0 ,1 ,3.0 ,81 ,2018-09-26 07:53 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
26,27,675.4 ,... ,676.8 ,2018-09-27 09:31 ,674.3 ,2018-09-27 03:06 ,10.5 ,16.2 ,2018-09-27 10:21 ,6.6 ,2018-09-27 19:32 ,... ,80 ,23 ,2018-09-27 00:22 ,1.1 ,20 ,3.1 ,82 ,2018-09-27 19:04 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
27,28,674.8 ,... ,676.0 ,2018-09-28 08:42 ,673.7 ,2018-09-28 23:35 ,9.6 ,14.3 ,2018-09-28 12:15 ,7.0 ,2018-09-28 06:01 ,... ,95 ,56 ,2018-09-28 07:26 ,1.3 ,11 ,5.1 ,10 ,2018-09-28 20:05 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
28,29,674.3 ,... ,676.0 ,2018-09-29 20:51 ,671.8 ,2018-09-29 04:31 ,10.3 ,17.0 ,2018-09-29 12:34 ,6.1 ,2018-09-29 04:22 ,... ,90 ,40 ,2018-09-29 23:31 ,0.9 ,5 ,4.6 ,360 ,2018-09-29 05:12 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
29,30,676.4 ,... ,677.7 ,2018-09-30 09:12 ,674.6 ,2018-09-30 03:21 ,8.9 ,13.8 ,2018-09-30 12:23 ,5.6 ,2018-09-30 18:13 ,... ,80 ,33 ,2018-09-30 01:42 ,1.2 ,278 ,2.9 ,284 ,2018-09-30 19:55 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
