,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,997.5 ,... ,999.2 ,2018-06-01 22:58 ,995.5 ,2018-06-01 15:28 ,28.8 ,34.2 ,2018-06-01 12:54 ,24.6 ,2018-06-01 23:43 ,... ,79 ,53 ,2018-06-01 12:32 ,0.9 ,1 ,6.3 ,322 ,2018-06-01 13:13 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,997.5 ,... ,998.8 ,2018-06-02 07:59 ,995.6 ,2018-06-02 15:05 ,27.7 ,34.7 ,2018-06-02 14:32 ,23.5 ,2018-06-02 05:31 ,... ,77 ,49 ,2018-06-02 14:33 ,0.7 ,122 ,5.1 ,346 ,2018-06-02 16:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,996.2 ,... ,998.1 ,2018-06-03 00:01 ,993.8 ,2018-06-03 16:52 ,28.5 ,34.9 ,2018-06-03 12:50 ,23.3 ,2018-06-03 03:22 ,... ,75 ,48 ,2018-06-03 13:47 ,0.9 ,122 ,6.6 ,333 ,2018-06-03 14:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,996.4 ,... ,997.9 ,2018-06-04 22:25 ,994.3 ,2018-06-04 14:58 ,28.3 ,34.5 ,2018-06-04 11:57 ,-40.0 ,2018-06-04 11:36 ,... ,79 ,0 ,2018-06-04 11:36 ,0.9 ,88 ,5.7 ,319 ,2018-06-04 14:51 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,996.9 ,... ,998.7 ,2018-06-05 21:58 ,994.8 ,2018-06-05 14:50 ,28.1 ,35.4 ,2018-06-05 14:38 ,23.5 ,2018-06-05 17:22 ,... ,81 ,50 ,2018-06-05 11:32 ,1.1 ,83 ,6.6 ,239 ,2018-06-05 16:42 ,37.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,996.1 ,... ,997.5 ,2018-06-06 00:01 ,994.1 ,2018-06-06 16:15 ,28.5 ,35.0 ,2018-06-06 12:10 ,24.0 ,2018-06-06 03:40 ,... ,78 ,48 ,2018-06-06 12:14 ,0.9 ,100 ,5.8 ,335 ,2018-06-06 13:22 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,994.6 ,... ,995.8 ,2018-06-07 05:05 ,992.4 ,2018-06-07 15:05 ,27.9 ,34.0 ,2018-06-07 12:49 ,24.5 ,2018-06-07 05:02 ,... ,86 ,58 ,2018-06-07 12:00 ,0.7 ,95 ,5.2 ,297 ,2018-06-07 14:03 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,990.9 ,... ,994.0 ,2018-06-08 00:01 ,989.0 ,2018-06-08 17:36 ,28.3 ,35.0 ,2018-06-08 12:45 ,22.6 ,2018-06-08 04:48 ,... ,82 ,48 ,2018-06-08 12:48 ,0.7 ,58 ,4.9 ,91 ,2018-06-08 15:26 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,988.1 ,... ,989.5 ,2018-06-09 07:07 ,985.6 ,2018-06-09 16:17 ,29.3 ,35.0 ,2018-06-09 15:21 ,24.7 ,2018-06-09 05:48 ,... ,78 ,52 ,2018-06-09 15:18 ,0.8 ,68 ,5.3 ,124 ,2018-06-09 14:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,987.7 ,... ,988.9 ,2018-06-10 00:21 ,985.9 ,2018-06-10 15:05 ,27.2 ,33.7 ,2018-06-10 11:49 ,24.7 ,2018-06-10 13:20 ,... ,89 ,58 ,2018-06-10 11:51 ,0.8 ,112 ,10.4 ,148 ,2018-06-10 12:59 ,44.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,988.6 ,... ,991.5 ,2018-06-11 22:26 ,986.4 ,2018-06-11 03:03 ,26.9 ,32.1 ,2018-06-11 13:56 ,24.2 ,2018-06-11 08:03 ,... ,93 ,72 ,2018-06-11 14:01 ,0.6 ,335 ,4.1 ,337 ,2018-06-11 16:12 ,86.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,990.6 ,... ,992.3 ,2018-06-12 08:57 ,989.2 ,2018-06-12 16:14 ,27.7 ,32.4 ,2018-06-12 13:54 ,24.5 ,2018-06-12 02:28 ,... ,84 ,59 ,2018-06-12 12:53 ,0.8 ,256 ,5.1 ,274 ,2018-06-12 12:46 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,987.2 ,... ,990.2 ,2018-06-13 00:01 ,984.9 ,2018-06-13 16:26 ,28.3 ,34.1 ,2018-06-13 13:00 ,23.1 ,2018-06-13 04:12 ,... ,74 ,50 ,2018-06-13 12:31 ,0.9 ,113 ,6.1 ,329 ,2018-06-13 14:31 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,984.2 ,... ,985.9 ,2018-06-14 00:07 ,982.2 ,2018-06-14 17:24 ,27.3 ,32.1 ,2018-06-14 10:43 ,24.8 ,2018-06-15 00:00 ,... ,89 ,62 ,2018-06-14 10:44 ,0.6 ,3 ,5.3 ,217 ,2018-06-14 18:52 ,8.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,985.6 ,... ,990.3 ,2018-06-15 23:23 ,982.7 ,2018-06-15 05:11 ,26.8 ,30.0 ,2018-06-15 15:02 ,24.6 ,2018-06-15 03:28 ,... ,90 ,68 ,2018-06-15 15:43 ,0.6 ,345 ,4.1 ,329 ,2018-06-15 15:46 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,991.1 ,... ,993.1 ,2018-06-16 22:28 ,989.2 ,2018-06-16 03:34 ,26.5 ,31.2 ,2018-06-16 13:18 ,23.6 ,2018-06-16 05:35 ,... ,88 ,65 ,2018-06-16 13:12 ,0.6 ,19 ,4.3 ,194 ,2018-06-16 16:32 ,52.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,991.8 ,... ,992.7 ,2018-06-17 08:20 ,990.5 ,2018-06-17 15:24 ,27.1 ,32.2 ,2018-06-17 12:39 ,24.3 ,2018-06-17 03:37 ,... ,92 ,67 ,2018-06-17 12:40 ,0.6 ,289 ,6.3 ,237 ,2018-06-17 13:04 ,3.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,991.7 ,... ,993.0 ,2018-06-18 08:21 ,990.2 ,2018-06-18 14:24 ,25.8 ,28.0 ,2018-06-18 23:01 ,24.2 ,2018-06-18 21:29 ,... ,96 ,69 ,2018-06-18 23:00 ,0.5 ,65 ,5.8 ,234 ,2018-06-18 15:36 ,12.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
