,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1006.9 ,... ,1008.6 ,2018-03-01 22:37 ,1004.8 ,2018-03-01 15:42 ,22.9 ,31.5 ,2018-03-01 14:11 ,16.5 ,2018-03-01 06:31 ,... ,71 ,35 ,2018-03-01 13:22 ,0.5 ,333 ,5.1 ,335 ,2018-03-01 15:21 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1006.8 ,... ,1009.0 ,2018-03-02 09:41 ,1004.7 ,2018-03-02 15:12 ,23.9 ,31.2 ,2018-03-02 13:17 ,19.3 ,2018-03-02 06:35 ,... ,74 ,45 ,2018-03-02 13:21 ,0.7 ,336 ,6.0 ,340 ,2018-03-02 14:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1006.1 ,... ,1007.8 ,2018-03-03 09:07 ,1004.1 ,2018-03-03 14:52 ,25.5 ,32.7 ,2018-03-03 13:56 ,20.7 ,2018-03-03 05:20 ,... ,73 ,50 ,2018-03-03 13:57 ,0.7 ,101 ,5.4 ,297 ,2018-03-03 16:54 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1006.9 ,... ,1008.3 ,2018-03-04 08:38 ,1005.9 ,2018-03-04 23:40 ,25.5 ,30.7 ,2018-03-04 13:38 ,22.1 ,2018-03-04 06:34 ,... ,77 ,59 ,2018-03-04 12:20 ,0.7 ,111 ,5.5 ,274 ,2018-03-04 15:14 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1007.4 ,... ,1009.4 ,2018-03-05 23:59 ,1006.0 ,2018-03-05 00:23 ,26.7 ,32.7 ,2018-03-05 13:34 ,20.6 ,2018-03-05 23:58 ,... ,73 ,48 ,2018-03-05 13:48 ,0.9 ,343 ,8.1 ,351 ,2018-03-05 20:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1011.4 ,... ,1013.3 ,2018-03-06 10:40 ,1009.1 ,2018-03-06 00:11 ,20.7 ,24.5 ,2018-03-06 12:44 ,17.9 ,2018-03-06 06:44 ,... ,72 ,59 ,2018-03-06 12:44 ,1.2 ,336 ,5.7 ,343 ,2018-03-06 00:24 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1010.7 ,... ,1012.9 ,2018-03-07 10:38 ,1007.5 ,2018-03-07 15:34 ,21.3 ,28.0 ,2018-03-07 15:44 ,18.3 ,2018-03-07 06:04 ,... ,72 ,53 ,2018-03-07 15:44 ,1.1 ,341 ,8.3 ,340 ,2018-03-07 17:17 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1011.6 ,... ,1015.4 ,2018-03-08 22:07 ,1008.5 ,2018-03-08 04:39 ,15.4 ,19.2 ,2018-03-09 00:00 ,11.1 ,2018-03-08 23:59 ,... ,85 ,76 ,2018-03-08 12:15 ,1.9 ,342 ,8.9 ,351 ,2018-03-08 18:52 ,5.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1014.3 ,... ,1016.0 ,2018-03-09 22:18 ,1012.8 ,2018-03-09 01:35 ,14.6 ,19.9 ,2018-03-09 13:13 ,10.9 ,2018-03-09 00:43 ,... ,67 ,49 ,2018-03-09 13:03 ,1.2 ,338 ,6.2 ,357 ,2018-03-09 00:02 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1015.3 ,... ,1016.8 ,2018-03-10 08:59 ,1013.2 ,2018-03-10 15:24 ,17.4 ,25.1 ,2018-03-10 14:07 ,11.5 ,2018-03-10 05:54 ,... ,64 ,38 ,2018-03-10 14:07 ,0.8 ,330 ,6.0 ,347 ,2018-03-10 16:35 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
