,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1008.4 ,... ,1010.2 ,2018-06-01 22:21 ,1006.4 ,2018-06-01 15:01 ,29.8 ,35.7 ,2018-06-01 12:34 ,25.3 ,2018-06-01 23:53 ,... ,82 ,46 ,2018-06-01 12:12 ,2.0 ,7 ,8.2 ,286 ,2018-06-01 14:24 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1008.4 ,... ,1009.8 ,2018-06-02 00:12 ,1006.7 ,2018-06-02 16:32 ,29.1 ,35.5 ,2018-06-02 13:36 ,23.7 ,2018-06-02 05:14 ,... ,78 ,50 ,2018-06-02 13:36 ,1.6 ,19 ,6.9 ,306 ,2018-06-02 11:43 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1007.1 ,... ,1009.1 ,2018-06-03 00:01 ,1004.5 ,2018-06-03 15:42 ,29.5 ,36.1 ,2018-06-03 12:16 ,24.0 ,2018-06-03 05:01 ,... ,75 ,46 ,2018-06-03 12:02 ,1.5 ,59 ,7.9 ,309 ,2018-06-03 15:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1007.3 ,... ,1009.2 ,2018-06-04 22:11 ,1005.3 ,2018-06-04 15:16 ,29.6 ,36.2 ,2018-06-04 12:36 ,24.7 ,2018-06-04 05:07 ,... ,82 ,44 ,2018-06-04 10:58 ,1.2 ,311 ,7.5 ,265 ,2018-06-04 14:09 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1007.7 ,... ,1009.3 ,2018-06-05 21:47 ,1006.0 ,2018-06-05 14:11 ,30.2 ,37.5 ,2018-06-05 12:36 ,24.7 ,2018-06-05 03:31 ,... ,79 ,44 ,2018-06-05 12:33 ,1.1 ,61 ,7.6 ,253 ,2018-06-05 15:12 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1006.9 ,... ,1008.3 ,2018-06-06 00:01 ,1004.9 ,2018-06-06 16:09 ,29.5 ,36.2 ,2018-06-06 10:01 ,25.0 ,2018-06-06 19:32 ,... ,81 ,47 ,2018-06-06 10:01 ,1.0 ,276 ,7.2 ,249 ,2018-06-06 12:12 ,13.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1005.6 ,... ,1006.9 ,2018-06-07 00:01 ,1003.0 ,2018-06-07 15:17 ,28.5 ,35.0 ,2018-06-07 12:31 ,25.0 ,2018-06-07 23:43 ,... ,89 ,59 ,2018-06-07 10:53 ,1.1 ,45 ,8.1 ,31 ,2018-06-07 17:05 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1001.8 ,... ,1005.0 ,2018-06-08 00:01 ,999.5 ,2018-06-08 15:51 ,29.2 ,35.3 ,2018-06-08 13:56 ,23.5 ,2018-06-08 04:41 ,... ,86 ,52 ,2018-06-08 12:16 ,1.5 ,46 ,7.2 ,306 ,2018-06-08 16:10 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,999.1 ,... ,1000.3 ,2018-06-09 00:01 ,996.6 ,2018-06-09 15:01 ,30.2 ,36.0 ,2018-06-09 14:23 ,25.0 ,2018-06-09 04:35 ,... ,83 ,46 ,2018-06-09 14:23 ,1.3 ,133 ,6.6 ,264 ,2018-06-09 12:59 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,998.5 ,... ,999.8 ,2018-06-10 00:01 ,996.6 ,2018-06-10 15:28 ,30.4 ,35.7 ,2018-06-10 14:11 ,25.5 ,2018-06-10 05:04 ,... ,82 ,53 ,2018-06-10 09:43 ,1.2 ,213 ,6.7 ,257 ,2018-06-10 14:45 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,999.6 ,... ,1002.6 ,2018-06-11 23:01 ,997.2 ,2018-06-11 03:51 ,27.5 ,32.0 ,2018-06-11 14:12 ,26.0 ,2018-06-11 00:21 ,... ,97 ,19 ,2018-06-11 13:43 ,1.4 ,5 ,7.8 ,3 ,2018-06-11 10:09 ,24.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1001.5 ,... ,1003.5 ,2018-06-12 09:11 ,1000.1 ,2018-06-12 16:01 ,28.2 ,34.5 ,2018-06-12 11:54 ,24.8 ,2018-06-12 04:30 ,... ,85 ,56 ,2018-06-12 11:54 ,1.2 ,2 ,7.0 ,282 ,2018-06-12 14:14 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,998.0 ,... ,1000.8 ,2018-06-13 00:09 ,995.5 ,2018-06-13 15:32 ,29.2 ,34.7 ,2018-06-13 13:52 ,24.1 ,2018-06-13 05:12 ,... ,78 ,49 ,2018-06-13 14:31 ,1.5 ,7 ,7.0 ,9 ,2018-06-13 10:22 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,994.7 ,... ,996.9 ,2018-06-14 00:01 ,993.0 ,2018-06-14 16:01 ,27.4 ,32.5 ,2018-06-14 08:03 ,24.5 ,2018-06-14 21:49 ,... ,96 ,66 ,2018-06-14 08:42 ,1.8 ,143 ,9.3 ,60 ,2018-06-14 20:59 ,68.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,996.5 ,... ,1001.0 ,2018-06-15 21:51 ,992.1 ,2018-06-15 03:03 ,26.4 ,28.6 ,2018-06-15 13:21 ,24.8 ,2018-06-15 05:31 ,... ,99 ,93 ,2018-06-15 17:31 ,2.1 ,351 ,10.1 ,141 ,2018-06-15 00:19 ,21.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,1002.0 ,... ,1003.9 ,2018-06-16 22:12 ,999.8 ,2018-06-16 02:44 ,26.3 ,31.2 ,2018-06-16 10:33 ,24.5 ,2018-06-16 19:11 ,... ,96 ,72 ,2018-06-16 12:11 ,1.2 ,38 ,6.8 ,163 ,2018-06-16 14:32 ,22.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
