,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1007.8 ,... ,1010.0 ,2018-09-01 00:01 ,1005.2 ,2018-09-01 15:41 ,28.1 ,32.7 ,2018-09-01 13:32 ,25.0 ,2018-09-01 04:34 ,... ,81 ,55 ,2018-09-01 12:32 ,1.2 ,38 ,8.8 ,65 ,2018-09-01 15:58 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1005.2 ,... ,1007.6 ,2018-09-02 00:01 ,1003.5 ,2018-09-02 13:22 ,27.5 ,32.3 ,2018-09-02 11:21 ,24.7 ,2018-09-02 14:35 ,... ,84 ,53 ,2018-09-02 11:21 ,1.5 ,38 ,10.5 ,65 ,2018-09-02 14:21 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1003.7 ,... ,1005.3 ,2018-09-03 00:01 ,1001.5 ,2018-09-03 15:21 ,28.1 ,33.2 ,2018-09-03 11:14 ,23.6 ,2018-09-03 04:41 ,... ,77 ,53 ,2018-09-03 13:44 ,1.8 ,270 ,8.7 ,262 ,2018-09-03 13:16 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1002.8 ,... ,1004.1 ,2018-09-04 09:16 ,1000.3 ,2018-09-04 15:21 ,28.7 ,33.2 ,2018-09-04 13:02 ,24.7 ,2018-09-04 02:11 ,... ,80 ,55 ,2018-09-04 13:02 ,1.8 ,249 ,7.7 ,282 ,2018-09-04 14:56 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1003.2 ,... ,1004.8 ,2018-09-05 22:17 ,1000.8 ,2018-09-05 14:45 ,28.3 ,32.6 ,2018-09-05 13:02 ,25.8 ,2018-09-05 06:08 ,... ,88 ,64 ,2018-09-05 10:04 ,1.2 ,67 ,6.7 ,242 ,2018-09-05 13:29 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1003.5 ,... ,1005.3 ,2018-09-06 22:41 ,1001.6 ,2018-09-06 14:03 ,26.9 ,32.2 ,2018-09-06 09:54 ,24.2 ,2018-09-06 17:35 ,... ,92 ,64 ,2018-09-06 10:45 ,1.1 ,36 ,6.8 ,263 ,2018-09-06 15:35 ,57.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1004.2 ,... ,1006.2 ,2018-09-07 21:31 ,1002.0 ,2018-09-07 15:23 ,27.4 ,32.2 ,2018-09-07 10:42 ,24.0 ,2018-09-07 04:52 ,... ,86 ,57 ,2018-09-07 09:41 ,1.2 ,49 ,7.5 ,221 ,2018-09-07 12:54 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1005.4 ,... ,1007.0 ,2018-09-08 21:21 ,1003.5 ,2018-09-08 14:21 ,26.9 ,32.0 ,2018-09-08 13:33 ,23.8 ,2018-09-08 17:41 ,... ,88 ,58 ,2018-09-08 13:11 ,1.2 ,16 ,7.2 ,269 ,2018-09-08 16:04 ,68.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1005.8 ,... ,1007.6 ,2018-09-09 21:51 ,1004.3 ,2018-09-09 14:22 ,26.7 ,31.7 ,2018-09-09 11:31 ,23.5 ,2018-09-09 05:39 ,... ,89 ,59 ,2018-09-09 11:31 ,1.4 ,13 ,6.6 ,150 ,2018-09-09 13:49 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1005.1 ,... ,1006.7 ,2018-09-10 00:01 ,1003.5 ,2018-09-10 15:01 ,26.2 ,32.1 ,2018-09-10 11:23 ,24.7 ,2018-09-10 17:35 ,... ,95 ,60 ,2018-09-10 11:23 ,1.1 ,126 ,4.7 ,164 ,2018-09-10 23:42 ,14.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1005.3 ,... ,1007.3 ,2018-09-11 22:44 ,1003.5 ,2018-09-11 14:51 ,28.1 ,34.0 ,2018-09-11 15:03 ,24.5 ,2018-09-11 01:11 ,... ,86 ,56 ,2018-09-11 15:03 ,0.9 ,39 ,6.7 ,306 ,2018-09-11 16:06 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1006.5 ,... ,1008.0 ,2018-09-12 22:33 ,1004.6 ,2018-09-12 14:02 ,27.8 ,33.2 ,2018-09-12 11:43 ,25.6 ,2018-09-12 05:15 ,... ,90 ,55 ,2018-09-12 11:43 ,1.0 ,54 ,6.7 ,248 ,2018-09-12 13:28 ,33.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,1006.3 ,... ,1007.7 ,2018-09-13 08:14 ,1004.7 ,2018-09-13 16:11 ,28.4 ,32.5 ,2018-09-13 14:21 ,25.0 ,2018-09-13 04:51 ,... ,85 ,58 ,2018-09-13 11:14 ,1.0 ,57 ,6.3 ,151 ,2018-09-13 14:50 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,1003.9 ,... ,1006.5 ,2018-09-14 00:01 ,1001.1 ,2018-09-14 23:15 ,28.6 ,33.3 ,2018-09-14 12:35 ,25.3 ,2018-09-14 05:41 ,... ,84 ,54 ,2018-09-14 12:35 ,1.2 ,61 ,6.0 ,341 ,2018-09-14 11:10 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,997.7 ,... ,1001.5 ,2018-09-15 00:03 ,994.3 ,2018-09-15 14:41 ,26.2 ,30.2 ,2018-09-15 13:13 ,24.5 ,2018-09-15 07:33 ,... ,94 ,60 ,2018-09-15 13:13 ,1.9 ,77 ,12.1 ,267 ,2018-09-15 17:12 ,50.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,1003.8 ,... ,1009.0 ,2018-09-16 22:43 ,997.5 ,2018-09-16 00:58 ,28.9 ,31.7 ,2018-09-16 12:11 ,25.3 ,2018-09-16 01:28 ,... ,75 ,56 ,2018-09-16 13:04 ,2.8 ,146 ,16.6 ,140 ,2018-09-16 01:24 ,9.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,1009.8 ,... ,1013.1 ,2018-09-17 22:42 ,1008.0 ,2018-09-17 14:35 ,28.8 ,34.2 ,2018-09-17 13:41 ,25.0 ,2018-09-17 05:09 ,... ,82 ,54 ,2018-09-17 13:41 ,1.2 ,68 ,6.1 ,274 ,2018-09-17 14:50 ,5.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,1010.9 ,... ,1012.6 ,2018-09-18 00:01 ,1008.8 ,2018-09-18 15:12 ,28.5 ,32.0 ,2018-09-18 10:51 ,25.0 ,2018-09-18 05:32 ,... ,86 ,63 ,2018-09-18 13:46 ,1.3 ,47 ,7.2 ,227 ,2018-09-18 14:05 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
