,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1008.9 ,... ,1010.4 ,2018-04-01 10:06 ,1007.4 ,2018-04-01 15:54 ,22.7 ,29.4 ,2018-04-01 13:22 ,18.1 ,2018-04-01 05:14 ,... ,... ,/ , ,2.2 ,337 ,6.8 ,338 ,2018-04-01 04:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1008.7 ,... ,1010.1 ,2018-04-02 09:06 ,1007.4 ,2018-04-02 15:34 ,23.3 ,29.5 ,2018-04-02 10:52 ,18.2 ,2018-04-02 07:08 ,... ,... ,/ , ,1.9 ,141 ,7.8 ,326 ,2018-04-02 05:00 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1009.3 ,... ,1011.2 ,2018-04-03 09:59 ,1007.8 ,2018-04-03 03:11 ,23.7 ,29.5 ,2018-04-03 11:32 ,20.2 ,2018-04-03 02:33 ,... ,... ,/ , ,1.6 ,328 ,5.9 ,336 ,2018-04-03 05:33 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1008.3 ,... ,1009.9 ,2018-04-04 10:09 ,1006.9 ,2018-04-04 16:27 ,24.0 ,31.5 ,2018-04-04 09:52 ,20.3 ,2018-04-04 23:41 ,... ,... ,/ , ,1.4 ,341 ,5.4 ,340 ,2018-04-04 22:06 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1007.2 ,... ,1009.2 ,2018-04-05 09:11 ,1005.3 ,2018-04-05 15:52 ,24.3 ,30.7 ,2018-04-05 09:07 ,20.1 ,2018-04-05 00:34 ,... ,... ,/ , ,1.9 ,336 ,6.8 ,166 ,2018-04-05 13:49 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1008.9 ,... ,1014.8 ,2018-04-06 23:15 ,1004.8 ,2018-04-06 03:36 ,22.6 ,29.5 ,2018-04-06 14:26 ,16.1 ,2018-04-06 23:47 ,... ,... ,/ , ,2.1 ,3 ,15.3 ,49 ,2018-04-06 23:35 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1016.5 ,... ,1018.3 ,2018-04-07 09:04 ,1014.4 ,2018-04-07 00:11 ,18.0 ,21.4 ,2018-04-07 15:31 ,16.1 ,2018-04-07 00:11 ,... ,... ,/ , ,2.0 ,19 ,15.6 ,42 ,2018-04-07 01:24 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1015.7 ,... ,1017.4 ,2018-04-09 00:00 ,1013.9 ,2018-04-08 16:48 ,19.2 ,24.4 ,2018-04-08 11:43 ,15.2 ,2018-04-08 04:51 ,... ,... ,/ , ,1.8 ,14 ,9.0 ,27 ,2018-04-08 07:06 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1013.7 ,... ,1015.4 ,2018-04-09 08:56 ,1011.9 ,2018-04-09 16:20 ,21.1 ,29.4 ,2018-04-09 10:04 ,16.1 ,2018-04-09 04:18 ,... ,... ,/ , ,2.1 ,339 ,8.1 ,333 ,2018-04-09 05:38 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1010.3 ,... ,1012.7 ,2018-04-10 00:07 ,1008.1 ,2018-04-10 16:10 ,21.7 ,29.4 ,2018-04-10 09:15 ,16.1 ,2018-04-10 06:02 ,... ,... ,/ , ,1.1 ,137 ,7.1 ,335 ,2018-04-10 06:27 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
