,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,950.4 ,... ,952.3 ,2018-07-01 00:01 ,949.4 ,2018-07-01 16:43 ,24.4 ,29.6 ,2018-07-01 10:14 ,22.5 ,2018-07-01 03:51 ,... ,90 ,68 ,2018-07-01 10:15 ,2.1 ,150 ,7.1 ,145 ,2018-07-01 11:45 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,949.2 ,... ,950.2 ,2018-07-02 07:03 ,947.9 ,2018-07-02 16:25 ,23.9 ,28.1 ,2018-07-02 11:22 ,21.8 ,2018-07-02 22:01 ,... ,87 ,70 ,2018-07-02 23:36 ,1.9 ,164 ,8.5 ,241 ,2018-07-02 17:43 ,4.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,948.5 ,... ,949.4 ,2018-07-03 10:41 ,947.8 ,2018-07-03 17:24 ,26.0 ,29.6 ,2018-07-03 12:56 ,23.0 ,2018-07-03 01:41 ,... ,75 ,60 ,2018-07-03 08:23 ,1.5 ,174 ,4.2 ,209 ,2018-07-03 23:55 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,948.2 ,... ,949.6 ,2018-07-04 21:54 ,947.1 ,2018-07-04 01:47 ,26.1 ,30.2 ,2018-07-04 10:31 ,23.9 ,2018-07-04 05:11 ,... ,74 ,60 ,2018-07-04 08:33 ,1.2 ,168 ,4.5 ,219 ,2018-07-04 00:07 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,948.6 ,... ,950.4 ,2018-07-05 21:45 ,947.0 ,2018-07-05 03:35 ,26.0 ,29.1 ,2018-07-05 10:44 ,24.4 ,2018-07-05 18:51 ,... ,71 ,63 ,2018-07-05 18:05 ,1.4 ,211 ,4.1 ,231 ,2018-07-05 04:48 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,950.1 ,... ,951.8 ,2018-07-06 22:12 ,948.9 ,2018-07-06 17:03 ,26.0 ,32.2 ,2018-07-06 12:01 ,22.8 ,2018-07-06 05:01 ,... ,79 ,54 ,2018-07-06 11:57 ,1.4 ,146 ,5.9 ,129 ,2018-07-06 13:25 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,952.2 ,... ,954.5 ,2018-07-07 21:59 ,950.8 ,2018-07-07 00:39 ,24.5 ,29.3 ,2018-07-07 10:29 ,22.5 ,2018-07-07 23:22 ,... ,93 ,72 ,2018-07-07 10:27 ,2.0 ,145 ,9.0 ,136 ,2018-07-07 12:33 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,954.4 ,... ,956.4 ,2018-07-08 21:33 ,952.8 ,2018-07-08 03:21 ,24.2 ,27.3 ,2018-07-08 13:11 ,21.9 ,2018-07-08 02:31 ,... ,90 ,74 ,2018-07-08 14:09 ,2.8 ,157 ,7.3 ,172 ,2018-07-08 13:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,955.0 ,... ,957.0 ,2018-07-09 08:13 ,953.5 ,2018-07-09 16:34 ,24.5 ,28.8 ,2018-07-09 14:23 ,21.7 ,2018-07-09 23:41 ,... ,89 ,70 ,2018-07-09 12:39 ,1.7 ,159 ,6.7 ,162 ,2018-07-09 12:07 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,947.6 ,... ,955.0 ,2018-07-10 00:01 ,940.7 ,2018-07-10 23:47 ,25.4 ,31.8 ,2018-07-10 11:11 ,20.0 ,2018-07-10 05:42 ,... ,79 ,51 ,2018-07-10 10:02 ,2.0 ,146 ,8.7 ,126 ,2018-07-10 16:23 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
