,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,950.4 ,... ,952.4 ,2018-09-01 00:01 ,949.1 ,2018-09-01 15:39 ,24.0 ,27.6 ,2018-09-01 12:48 ,22.2 ,2018-09-01 04:50 ,... ,87 ,67 ,2018-09-01 10:01 ,0.7 ,121 ,3.4 ,133 ,2018-09-01 09:52 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,947.6 ,... ,949.5 ,2018-09-02 00:01 ,946.1 ,2018-09-02 16:00 ,24.1 ,27.7 ,2018-09-02 11:26 ,22.3 ,2018-09-02 02:56 ,... ,86 ,71 ,2018-09-02 09:55 ,0.7 ,136 ,4.1 ,138 ,2018-09-02 10:41 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,945.4 ,... ,947.2 ,2018-09-03 07:29 ,943.9 ,2018-09-03 17:28 ,24.5 ,28.6 ,2018-09-03 10:36 ,22.1 ,2018-09-03 03:09 ,... ,79 ,63 ,2018-09-03 10:37 ,1.1 ,290 ,4.2 ,127 ,2018-09-03 09:55 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,944.6 ,... ,946.6 ,2018-09-04 21:09 ,943.0 ,2018-09-04 02:51 ,26.1 ,29.5 ,2018-09-04 13:20 ,22.7 ,2018-09-04 01:21 ,... ,66 ,47 ,2018-09-04 19:00 ,1.2 ,285 ,3.8 ,141 ,2018-09-04 12:02 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,946.2 ,... ,948.2 ,2018-09-05 21:43 ,944.8 ,2018-09-05 01:51 ,25.0 ,29.2 ,2018-09-05 11:44 ,23.2 ,2018-09-05 05:35 ,... ,86 ,53 ,2018-09-05 00:17 ,0.9 ,136 ,4.8 ,102 ,2018-09-05 16:07 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,946.5 ,... ,947.8 ,2018-09-06 22:15 ,944.7 ,2018-09-06 17:05 ,24.4 ,28.6 ,2018-09-06 09:39 ,22.6 ,2018-09-06 19:48 ,... ,90 ,70 ,2018-09-06 09:39 ,1.1 ,284 ,3.8 ,101 ,2018-09-06 11:07 ,32.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,946.7 ,... ,948.2 ,2018-09-07 20:46 ,945.4 ,2018-09-07 03:07 ,24.3 ,27.7 ,2018-09-07 10:06 ,22.2 ,2018-09-07 02:15 ,... ,90 ,74 ,2018-09-07 06:46 ,1.0 ,277 ,4.4 ,130 ,2018-09-07 11:57 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,948.0 ,... ,949.5 ,2018-09-08 22:46 ,946.4 ,2018-09-08 03:42 ,23.9 ,28.4 ,2018-09-08 10:16 ,21.5 ,2018-09-08 20:03 ,... ,87 ,71 ,2018-09-08 10:18 ,0.9 ,109 ,5.3 ,118 ,2018-09-08 11:30 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,949.4 ,... ,951.8 ,2018-09-09 21:23 ,947.7 ,2018-09-09 02:45 ,22.5 ,28.4 ,2018-09-09 10:09 ,21.3 ,2018-09-09 03:47 ,... ,91 ,67 ,2018-09-09 10:10 ,0.8 ,27 ,7.0 ,16 ,2018-09-09 15:35 ,58.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,950.6 ,... ,952.0 ,2018-09-10 09:03 ,949.4 ,2018-09-10 15:16 ,22.2 ,24.4 ,2018-09-10 15:56 ,21.1 ,2018-09-10 02:47 ,... ,98 ,84 ,2018-09-10 03:49 ,0.7 ,272 ,4.6 ,286 ,2018-09-10 04:00 ,28.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,949.7 ,... ,951.3 ,2018-09-11 10:12 ,948.5 ,2018-09-11 14:50 ,23.7 ,26.7 ,2018-09-11 08:29 ,21.5 ,2018-09-11 00:31 ,... ,95 ,72 ,2018-09-11 07:10 ,0.7 ,282 ,4.1 ,127 ,2018-09-11 11:13 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,950.1 ,... ,951.1 ,2018-09-12 21:11 ,949.0 ,2018-09-12 04:06 ,24.0 ,28.0 ,2018-09-12 11:56 ,22.2 ,2018-09-12 22:49 ,... ,90 ,71 ,2018-09-12 07:03 ,0.7 ,11 ,4.5 ,104 ,2018-09-12 12:46 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,950.6 ,... ,951.8 ,2018-09-13 20:38 ,949.3 ,2018-09-13 03:17 ,24.2 ,27.2 ,2018-09-13 09:58 ,21.9 ,2018-09-13 00:21 ,... ,87 ,70 ,2018-09-13 07:29 ,1.0 ,137 ,4.4 ,104 ,2018-09-13 09:19 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,950.3 ,... ,951.7 ,2018-09-14 08:22 ,948.9 ,2018-09-14 13:46 ,24.6 ,29.6 ,2018-09-14 11:20 ,21.6 ,2018-09-14 02:38 ,... ,81 ,61 ,2018-09-14 11:30 ,1.1 ,123 ,6.5 ,122 ,2018-09-14 13:01 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,949.1 ,... ,951.4 ,2018-09-15 08:05 ,947.0 ,2018-09-15 15:54 ,23.9 ,25.9 ,2018-09-15 14:24 ,21.8 ,2018-09-15 07:33 ,... ,93 ,69 ,2018-09-15 00:17 ,1.5 ,9 ,11.6 ,162 ,2018-09-15 23:07 ,102.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,950.8 ,... ,953.4 ,2018-09-16 20:55 ,948.4 ,2018-09-16 02:18 ,23.7 ,25.4 ,2018-09-16 11:55 ,22.0 ,2018-09-16 10:51 ,... ,97 ,80 ,2018-09-16 17:51 ,1.8 ,164 ,13.8 ,216 ,2018-09-16 10:39 ,79.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,953.7 ,... ,956.3 ,2018-09-17 22:05 ,952.1 ,2018-09-17 01:19 ,24.8 ,29.4 ,2018-09-17 10:04 ,22.2 ,2018-09-17 03:36 ,... ,92 ,71 ,2018-09-17 08:11 ,0.7 ,7 ,5.7 ,223 ,2018-09-17 05:01 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,954.6 ,... ,956.1 ,2018-09-18 09:17 ,952.9 ,2018-09-18 15:27 ,24.1 ,27.7 ,2018-09-18 10:04 ,22.1 ,2018-09-18 22:39 ,... ,91 ,72 ,2018-09-18 09:28 ,0.9 ,272 ,4.6 ,138 ,2018-09-18 11:09 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,952.9 ,... ,954.7 ,2018-09-19 00:01 ,951.5 ,2018-09-19 17:30 ,23.9 ,28.2 ,2018-09-19 11:45 ,21.3 ,2018-09-19 03:28 ,... ,87 ,63 ,2018-09-19 10:22 ,0.9 ,275 ,4.3 ,118 ,2018-09-19 12:06 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,951.1 ,... ,952.7 ,2018-09-20 00:01 ,949.8 ,2018-09-20 14:48 ,24.0 ,28.1 ,2018-09-20 12:27 ,21.5 ,2018-09-20 03:10 ,... ,84 ,53 ,2018-09-20 06:58 ,1.0 ,152 ,4.7 ,128 ,2018-09-20 11:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,951.9 ,... ,954.5 ,2018-09-21 21:28 ,950.4 ,2018-09-21 03:36 ,24.2 ,28.2 ,2018-09-21 11:45 ,21.5 ,2018-09-21 04:54 ,... ,86 ,63 ,2018-09-21 09:10 ,0.8 ,142 ,4.1 ,106 ,2018-09-21 10:02 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,953.7 ,... ,955.1 ,2018-09-22 21:37 ,952.4 ,2018-09-22 06:29 ,24.3 ,28.1 ,2018-09-22 10:35 ,22.1 ,2018-09-22 04:19 ,... ,91 ,73 ,2018-09-22 09:49 ,0.6 ,24 ,4.0 ,156 ,2018-09-22 06:31 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,952.5 ,... ,954.5 ,2018-09-23 00:01 ,950.7 ,2018-09-23 14:40 ,23.8 ,28.0 ,2018-09-23 10:05 ,22.0 ,2018-09-23 05:11 ,... ,93 ,70 ,2018-09-23 10:06 ,0.7 ,138 ,4.6 ,126 ,2018-09-23 11:33 ,26.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
23,24,949.1 ,... ,952.0 ,2018-09-24 00:01 ,947.0 ,2018-09-24 15:42 ,22.9 ,26.6 ,2018-09-24 10:29 ,21.0 ,2018-09-24 19:54 ,... ,96 ,80 ,2018-09-24 11:43 ,0.7 ,125 ,5.4 ,17 ,2018-09-24 18:39 ,12.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
24,25,947.4 ,... ,949.4 ,2018-09-25 09:20 ,945.3 ,2018-09-25 15:23 ,22.5 ,26.4 ,2018-09-25 11:54 ,20.6 ,2018-09-25 06:38 ,... ,89 ,66 ,2018-09-25 11:55 ,0.8 ,1 ,5.0 ,22 ,2018-09-25 04:10 ,4.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
25,26,945.6 ,... ,947.3 ,2018-09-26 09:31 ,943.9 ,2018-09-26 14:59 ,23.1 ,28.2 ,2018-09-26 12:28 ,20.0 ,2018-09-26 04:57 ,... ,85 ,66 ,2018-09-26 12:19 ,0.7 ,119 ,5.0 ,176 ,2018-09-26 12:33 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
26,27,945.6 ,... ,947.8 ,2018-09-27 21:50 ,943.6 ,2018-09-27 17:06 ,24.1 ,28.8 ,2018-09-27 13:12 ,21.0 ,2018-09-27 03:45 ,... ,80 ,59 ,2018-09-27 08:23 ,1.1 ,128 ,5.8 ,121 ,2018-09-27 10:14 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
27,28,944.2 ,... ,946.7 ,2018-09-28 00:01 ,941.9 ,2018-09-28 14:10 ,24.3 ,28.6 ,2018-09-28 11:08 ,21.0 ,2018-09-28 05:02 ,... ,84 ,63 ,2018-09-28 09:55 ,0.9 ,3 ,5.9 ,115 ,2018-09-28 14:15 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
28,29,944.3 ,... ,947.2 ,2018-09-29 23:30 ,942.3 ,2018-09-29 02:47 ,22.9 ,26.3 ,2018-09-29 08:30 ,21.2 ,2018-09-29 21:46 ,... ,96 ,82 ,2018-09-29 08:18 ,0.6 ,134 ,5.5 ,255 ,2018-09-29 21:51 ,77.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
29,30,949.8 ,... ,953.3 ,2018-09-30 22:24 ,946.6 ,2018-09-30 03:03 ,19.7 ,21.9 ,2018-09-30 09:41 ,18.6 ,2018-09-30 01:59 ,... ,94 ,76 ,2018-09-30 23:57 ,0.7 ,185 ,3.9 ,179 ,2018-09-30 03:40 ,10.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
