,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1019.4 ,... ,1021.2 ,2018-11-01 09:42 ,1017.1 ,2018-11-01 04:09 ,19.6 ,21.0 ,2018-11-01 11:39 ,18.9 ,2018-11-01 03:44 ,... ,96 ,87 ,2018-11-01 00:13 ,1.1 ,28 ,7.1 ,50 ,2018-11-01 12:02 ,10.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1017.7 ,... ,1019.9 ,2018-11-02 00:01 ,1015.7 ,2018-11-03 00:00 ,21.0 ,22.2 ,2018-11-02 12:55 ,19.5 ,2018-11-02 00:01 ,... ,99 ,99 ,2018-11-02 00:01 ,0.3 ,10 ,3.3 ,25 ,2018-11-02 09:32 ,59.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1014.6 ,... ,1016.0 ,2018-11-03 21:50 ,1013.1 ,2018-11-03 16:09 ,23.3 ,27.7 ,2018-11-03 10:14 ,20.5 ,2018-11-03 05:57 ,... ,96 ,81 ,2018-11-03 13:31 ,0.4 ,19 ,4.7 ,28 ,2018-11-03 10:29 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1015.6 ,... ,1017.2 ,2018-11-04 09:10 ,1014.0 ,2018-11-04 13:44 ,23.9 ,27.2 ,2018-11-04 09:45 ,21.5 ,2018-11-04 05:42 ,... ,90 ,73 ,2018-11-04 13:49 ,0.8 ,35 ,7.7 ,45 ,2018-11-04 12:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1016.6 ,... ,1018.7 ,2018-11-05 09:16 ,1015.4 ,2018-11-05 02:58 ,22.8 ,26.6 ,2018-11-05 13:24 ,20.9 ,2018-11-05 03:28 ,... ,94 ,76 ,2018-11-05 13:00 ,0.5 ,19 ,6.6 ,49 ,2018-11-05 15:05 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1017.7 ,... ,1019.4 ,2018-11-06 08:40 ,1016.3 ,2018-11-06 14:24 ,23.8 ,27.4 ,2018-11-06 12:54 ,21.7 ,2018-11-06 05:53 ,... ,94 ,77 ,2018-11-06 12:58 ,0.2 ,21 ,3.2 ,27 ,2018-11-06 05:41 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1017.2 ,... ,1019.0 ,2018-11-07 08:54 ,1015.7 ,2018-11-07 15:16 ,24.3 ,29.0 ,2018-11-07 10:50 ,21.1 ,2018-11-07 06:22 ,... ,92 ,71 ,2018-11-07 10:53 ,0.4 ,82 ,3.8 ,137 ,2018-11-07 11:32 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1016.1 ,... ,1017.1 ,2018-11-08 08:35 ,1014.7 ,2018-11-08 14:00 ,23.9 ,28.1 ,2018-11-08 11:38 ,22.1 ,2018-11-08 04:18 ,... ,93 ,69 ,2018-11-08 11:52 ,0.5 ,21 ,5.9 ,43 ,2018-11-08 12:36 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1017.6 ,... ,1019.4 ,2018-11-09 22:30 ,1015.9 ,2018-11-09 01:20 ,23.9 ,28.0 ,2018-11-09 09:51 ,22.1 ,2018-11-09 23:05 ,... ,94 ,74 ,2018-11-09 12:46 ,1.0 ,27 ,7.6 ,30 ,2018-11-09 13:13 ,103.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1018.7 ,... ,1021.9 ,2018-11-10 08:47 ,1016.5 ,2018-11-10 15:43 ,22.1 ,25.1 ,2018-11-10 14:50 ,20.4 ,2018-11-10 21:13 ,... ,99 ,95 ,2018-11-10 14:57 ,0.4 ,247 ,5.1 ,344 ,2018-11-10 04:40 ,76.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1016.4 ,... ,1018.6 ,2018-11-11 09:06 ,1014.7 ,2018-11-11 15:02 ,22.5 ,27.3 ,2018-11-11 12:20 ,19.0 ,2018-11-11 05:35 ,... ,90 ,60 ,2018-11-11 12:08 ,0.7 ,9 ,6.5 ,136 ,2018-11-11 13:26 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1013.9 ,... ,1016.1 ,2018-11-12 08:34 ,1011.7 ,2018-11-12 13:57 ,22.6 ,27.0 ,2018-11-12 11:25 ,19.3 ,2018-11-12 23:35 ,... ,86 ,61 ,2018-11-12 11:38 ,0.4 ,21 ,5.7 ,294 ,2018-11-12 02:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,1014.6 ,... ,1016.2 ,2018-11-13 22:28 ,1013.3 ,2018-11-13 02:16 ,21.8 ,26.7 ,2018-11-13 11:29 ,18.3 ,2018-11-13 06:14 ,... ,84 ,67 ,2018-11-13 11:19 ,1.3 ,29 ,9.5 ,47 ,2018-11-13 12:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,1017.3 ,... ,1019.0 ,2018-11-14 09:19 ,1015.6 ,2018-11-14 00:11 ,20.5 ,22.6 ,2018-11-14 12:01 ,19.5 ,2018-11-14 06:38 ,... ,92 ,76 ,2018-11-14 11:56 ,0.8 ,259 ,5.9 ,47 ,2018-11-14 02:33 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,1017.0 ,... ,1018.6 ,2018-11-15 00:01 ,1014.9 ,2018-11-15 14:11 ,22.1 ,26.9 ,2018-11-15 10:10 ,18.9 ,2018-11-15 05:29 ,... ,88 ,64 ,2018-11-15 10:14 ,0.3 ,48 ,4.7 ,328 ,2018-11-15 23:17 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,1016.1 ,... ,1017.7 ,2018-11-16 08:52 ,1014.2 ,2018-11-16 14:18 ,22.8 ,27.3 ,2018-11-16 10:39 ,19.7 ,2018-11-16 05:31 ,... ,87 ,65 ,2018-11-16 09:58 ,0.6 ,224 ,4.8 ,50 ,2018-11-16 10:08 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,1016.4 ,... ,1018.0 ,2018-11-17 09:04 ,1015.1 ,2018-11-17 14:14 ,21.9 ,25.1 ,2018-11-17 11:54 ,20.5 ,2018-11-17 00:08 ,... ,94 ,77 ,2018-11-17 11:50 ,0.5 ,239 ,6.5 ,46 ,2018-11-17 14:15 ,9.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,1015.2 ,... ,1016.9 ,2018-11-18 08:43 ,1013.3 ,2018-11-18 15:29 ,23.0 ,28.0 ,2018-11-18 12:13 ,20.4 ,2018-11-18 06:07 ,... ,94 ,73 ,2018-11-18 12:19 ,0.3 ,119 ,3.3 ,153 ,2018-11-18 14:02 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,1017.2 ,... ,1020.0 ,2018-11-19 21:13 ,1014.0 ,2018-11-19 02:08 ,21.8 ,22.9 ,2018-11-19 11:11 ,20.6 ,2018-11-19 23:52 ,... ,87 ,75 ,2018-11-19 20:39 ,1.6 ,22 ,10.0 ,44 ,2018-11-19 12:49 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,1018.8 ,... ,1021.2 ,2018-11-20 08:30 ,1017.0 ,2018-11-20 15:31 ,20.2 ,21.1 ,2018-11-20 11:07 ,19.3 ,2018-11-20 22:55 ,... ,96 ,83 ,2018-11-20 00:01 ,0.4 ,247 ,4.5 ,39 ,2018-11-20 00:45 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,1015.9 ,... ,1018.0 ,2018-11-21 00:01 ,1013.4 ,2018-11-21 15:10 ,21.8 ,26.7 ,2018-11-21 12:04 ,18.1 ,2018-11-21 04:44 ,... ,88 ,63 ,2018-11-21 10:36 ,0.6 ,13 ,8.1 ,290 ,2018-11-21 11:37 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,1019.4 ,... ,1021.7 ,2018-11-22 20:55 ,1016.4 ,2018-11-22 01:46 ,21.0 ,22.4 ,2018-11-22 01:05 ,19.5 ,2018-11-22 18:43 ,... ,75 ,65 ,2018-11-22 12:40 ,2.4 ,30 ,12.0 ,14 ,2018-11-22 11:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,1020.0 ,... ,1021.7 ,2018-11-23 08:56 ,1018.2 ,2018-11-23 15:36 ,19.5 ,21.0 ,2018-11-23 13:41 ,18.1 ,2018-11-23 23:52 ,... ,89 ,75 ,2018-11-23 00:01 ,0.7 ,21 ,8.8 ,43 ,2018-11-23 01:02 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
23,24,1019.9 ,... ,1022.1 ,2018-11-24 23:06 ,1018.2 ,2018-11-24 14:24 ,19.7 ,26.4 ,2018-11-24 10:56 ,16.7 ,2018-11-24 05:02 ,... ,96 ,64 ,2018-11-24 11:01 ,0.5 ,244 ,4.5 ,46 ,2018-11-24 10:06 ,18.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
24,25,1018.2 ,... ,1021.8 ,2018-11-25 00:01 ,1016.0 ,2018-11-25 18:26 ,20.3 ,26.5 ,2018-11-25 10:57 ,16.8 ,2018-11-25 04:18 ,... ,87 ,50 ,2018-11-25 13:13 ,0.5 ,73 ,5.5 ,291 ,2018-11-25 00:21 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
25,26,1018.4 ,... ,1020.1 ,2018-11-26 08:52 ,1016.8 ,2018-11-26 02:12 ,19.3 ,20.8 ,2018-11-26 13:20 ,17.8 ,2018-11-26 06:39 ,... ,97 ,90 ,2018-11-26 07:07 ,0.4 ,237 ,6.6 ,291 ,2018-11-26 06:39 ,2.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
26,27,1018.8 ,... ,1020.2 ,2018-11-27 08:29 ,1017.2 ,2018-11-27 14:33 ,21.1 ,24.1 ,2018-11-27 11:15 ,18.6 ,2018-11-27 03:47 ,... ,85 ,69 ,2018-11-27 11:18 ,0.9 ,27 ,6.3 ,47 ,2018-11-27 21:36 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
