,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,959.0 ,... ,960.9 ,2018-07-01 00:01 ,957.9 ,2018-07-01 16:48 ,25.2 ,29.6 ,2018-07-01 09:48 ,22.3 ,2018-07-01 23:55 ,... ,88 ,66 ,2018-07-01 09:36 ,1.8 ,2 ,6.3 ,78 ,2018-07-01 11:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,957.7 ,... ,958.6 ,2018-07-02 10:06 ,956.2 ,2018-07-02 16:51 ,23.9 ,28.1 ,2018-07-02 09:11 ,21.6 ,2018-07-02 05:09 ,... ,89 ,74 ,2018-07-02 10:16 ,1.8 ,20 ,6.9 ,244 ,2018-07-02 16:09 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,957.1 ,... ,958.1 ,2018-07-03 10:38 ,956.3 ,2018-07-03 02:16 ,25.7 ,30.7 ,2018-07-03 08:30 ,22.0 ,2018-07-03 03:20 ,... ,78 ,57 ,2018-07-03 08:31 ,1.6 ,15 ,4.0 ,58 ,2018-07-03 12:02 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,956.7 ,... ,958.1 ,2018-07-04 21:53 ,955.6 ,2018-07-04 01:46 ,25.6 ,30.7 ,2018-07-04 09:22 ,22.8 ,2018-07-04 05:25 ,... ,78 ,57 ,2018-07-04 10:20 ,1.5 ,20 ,6.7 ,68 ,2018-07-04 13:53 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,957.1 ,... ,958.8 ,2018-07-05 20:14 ,955.4 ,2018-07-05 03:32 ,25.2 ,28.0 ,2018-07-05 10:15 ,23.1 ,2018-07-05 05:12 ,... ,77 ,70 ,2018-07-05 04:01 ,1.6 ,20 ,4.4 ,215 ,2018-07-05 01:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,958.7 ,... ,960.4 ,2018-07-06 22:25 ,957.5 ,2018-07-06 01:13 ,25.9 ,30.7 ,2018-07-06 11:58 ,22.4 ,2018-07-06 05:11 ,... ,81 ,61 ,2018-07-06 12:02 ,1.8 ,20 ,4.9 ,86 ,2018-07-06 13:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,960.8 ,... ,963.0 ,2018-07-07 21:58 ,959.2 ,2018-07-07 00:53 ,25.3 ,29.9 ,2018-07-07 11:40 ,23.2 ,2018-07-07 23:46 ,... ,89 ,69 ,2018-07-07 11:29 ,1.7 ,13 ,5.4 ,162 ,2018-07-07 13:41 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,962.9 ,... ,964.9 ,2018-07-08 21:34 ,961.3 ,2018-07-08 03:13 ,25.5 ,30.6 ,2018-07-08 12:05 ,22.5 ,2018-07-08 03:27 ,... ,83 ,64 ,2018-07-08 14:52 ,2.0 ,211 ,5.6 ,229 ,2018-07-08 12:44 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,963.7 ,... ,965.6 ,2018-07-09 08:13 ,962.3 ,2018-07-09 16:40 ,25.3 ,29.7 ,2018-07-09 12:35 ,22.4 ,2018-07-09 03:51 ,... ,88 ,66 ,2018-07-09 11:38 ,2.0 ,5 ,6.0 ,50 ,2018-07-09 13:36 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,956.1 ,... ,963.6 ,2018-07-10 00:01 ,949.2 ,2018-07-10 23:44 ,25.7 ,32.2 ,2018-07-10 14:32 ,20.7 ,2018-07-10 04:34 ,... ,80 ,54 ,2018-07-10 09:34 ,2.2 ,1 ,8.2 ,4 ,2018-07-10 11:51 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,956.2 ,... ,963.4 ,2018-07-11 21:35 ,948.1 ,2018-07-11 02:17 ,25.0 ,30.0 ,2018-07-11 10:47 ,23.0 ,2018-07-11 04:28 ,... ,93 ,73 ,2018-07-11 10:43 ,2.0 ,2 ,8.9 ,217 ,2018-07-11 13:41 ,4.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,963.6 ,... ,965.6 ,2018-07-12 21:36 ,961.9 ,2018-07-12 03:16 ,23.9 ,28.7 ,2018-07-12 15:13 ,22.2 ,2018-07-12 08:54 ,... ,93 ,74 ,2018-07-12 15:14 ,1.6 ,3 ,5.9 ,243 ,2018-07-12 23:28 ,32.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,964.5 ,... ,965.7 ,2018-07-13 22:19 ,963.5 ,2018-07-13 15:21 ,25.2 ,29.8 ,2018-07-13 11:59 ,22.6 ,2018-07-13 04:11 ,... ,87 ,66 ,2018-07-13 11:28 ,1.7 ,20 ,5.9 ,90 ,2018-07-13 13:28 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
