,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,987.6 ,... ,989.6 ,2018-04-01 08:15 ,986.0 ,2018-04-01 22:47 ,20.9 ,29.1 ,2018-04-01 11:38 ,17.4 ,2018-04-01 04:41 ,... ,70 ,45 ,2018-04-01 11:39 ,1.0 ,335 ,4.5 ,265 ,2018-04-01 06:35 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,987.2 ,... ,988.9 ,2018-04-02 23:54 ,985.1 ,2018-04-02 00:39 ,21.4 ,29.5 ,2018-04-02 10:54 ,17.0 ,2018-04-02 04:21 ,... ,72 ,49 ,2018-04-02 10:59 ,1.2 ,4 ,4.8 ,256 ,2018-04-02 05:04 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,987.8 ,... ,989.9 ,2018-04-03 08:09 ,985.8 ,2018-04-03 00:08 ,21.3 ,26.0 ,2018-04-03 12:00 ,18.3 ,2018-04-03 00:51 ,... ,80 ,64 ,2018-04-03 09:38 ,0.9 ,97 ,3.3 ,71 ,2018-04-03 14:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,986.8 ,... ,988.6 ,2018-04-04 07:52 ,985.4 ,2018-04-04 07:49 ,22.0 ,27.5 ,2018-04-04 13:56 ,18.7 ,2018-04-04 05:32 ,... ,78 ,61 ,2018-04-04 14:17 ,1.0 ,320 ,4.4 ,166 ,2018-04-04 13:07 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,985.6 ,... ,988.1 ,2018-04-05 07:37 ,984.1 ,2018-04-05 00:49 ,23.2 ,31.3 ,2018-04-05 12:31 ,19.3 ,2018-04-05 02:32 ,... ,77 ,46 ,2018-04-05 12:35 ,1.0 ,64 ,5.9 ,129 ,2018-04-05 12:42 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,988.1 ,... ,994.6 ,2018-04-06 23:10 ,983.5 ,2018-04-06 02:54 ,19.9 ,31.1 ,2018-04-06 11:49 ,12.5 ,2018-04-06 22:41 ,... ,83 ,52 ,2018-04-06 11:52 ,1.4 ,73 ,8.8 ,71 ,2018-04-06 14:28 ,10.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,995.4 ,... ,997.2 ,2018-04-07 09:09 ,993.8 ,2018-04-07 00:46 ,14.0 ,16.2 ,2018-04-07 12:56 ,12.7 ,2018-04-07 05:42 ,... ,79 ,69 ,2018-04-07 12:58 ,1.3 ,267 ,6.8 ,47 ,2018-04-07 00:40 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,994.1 ,... ,996.1 ,2018-04-08 00:02 ,990.5 ,2018-04-08 17:31 ,16.5 ,24.8 ,2018-04-08 12:11 ,13.1 ,2018-04-08 03:21 ,... ,71 ,45 ,2018-04-08 11:21 ,1.3 ,265 ,4.9 ,239 ,2018-04-08 23:25 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,991.9 ,... ,994.3 ,2018-04-09 08:30 ,990.0 ,2018-04-09 21:42 ,19.5 ,26.8 ,2018-04-09 13:34 ,14.6 ,2018-04-09 05:31 ,... ,67 ,46 ,2018-04-09 13:07 ,1.4 ,278 ,5.8 ,255 ,2018-04-09 02:26 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,988.7 ,... ,991.5 ,2018-04-10 07:57 ,986.9 ,2018-04-10 15:56 ,21.9 ,30.0 ,2018-04-10 10:44 ,16.8 ,2018-04-10 03:31 ,... ,70 ,42 ,2018-04-10 10:25 ,1.3 ,113 ,4.6 ,268 ,2018-04-10 02:17 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,985.8 ,... ,988.0 ,2018-04-11 00:40 ,983.5 ,2018-04-11 03:12 ,23.4 ,33.3 ,2018-04-11 10:48 ,18.9 ,2018-04-11 05:12 ,... ,76 ,44 ,2018-04-11 10:50 ,1.1 ,119 ,5.0 ,41 ,2018-04-11 13:07 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,985.4 ,... ,987.6 ,2018-04-12 22:17 ,982.9 ,2018-04-12 07:19 ,23.5 ,33.5 ,2018-04-12 10:56 ,19.9 ,2018-04-12 22:41 ,... ,83 ,46 ,2018-04-12 10:57 ,1.2 ,317 ,5.3 ,240 ,2018-04-12 14:38 ,3.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,986.4 ,... ,988.4 ,2018-04-13 21:24 ,984.6 ,2018-04-13 15:39 ,24.6 ,32.2 ,2018-04-13 11:36 ,20.3 ,2018-04-13 02:12 ,... ,80 ,50 ,2018-04-13 10:17 ,1.1 ,113 ,4.9 ,260 ,2018-04-13 22:04 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,984.0 ,... ,986.4 ,2018-04-14 00:01 ,981.7 ,2018-04-14 17:33 ,25.1 ,32.7 ,2018-04-14 11:04 ,20.8 ,2018-04-14 00:32 ,... ,88 ,59 ,2018-04-14 11:06 ,1.2 ,281 ,6.4 ,130 ,2018-04-14 13:15 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,986.8 ,... ,990.3 ,2018-04-15 21:21 ,982.5 ,2018-04-15 02:48 ,18.7 ,23.6 ,2018-04-15 00:01 ,15.8 ,2018-04-15 22:31 ,... ,94 ,81 ,2018-04-15 12:13 ,1.1 ,70 ,6.7 ,71 ,2018-04-15 08:40 ,6.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,989.0 ,... ,991.2 ,2018-04-16 10:07 ,985.6 ,2018-04-16 15:54 ,17.1 ,19.9 ,2018-04-16 11:31 ,15.6 ,2018-04-16 01:41 ,... ,92 ,77 ,2018-04-16 11:12 ,0.8 ,120 ,4.6 ,257 ,2018-04-16 18:59 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
