,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,949.6 ,... ,950.8 ,2018-04-01 09:36 ,948.0 ,2018-04-01 15:14 ,17.6 ,21.9 ,2018-04-01 12:15 ,15.1 ,2018-04-01 04:01 ,... ,83 ,61 ,2018-04-01 10:45 ,1.9 ,40 ,6.3 ,33 ,2018-04-01 15:00 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,949.2 ,... ,950.5 ,2018-04-02 21:45 ,947.9 ,2018-04-02 15:05 ,18.4 ,24.2 ,2018-04-02 10:25 ,14.6 ,2018-04-02 05:39 ,... ,83 ,54 ,2018-04-02 11:25 ,1.5 ,47 ,5.1 ,71 ,2018-04-02 12:49 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,949.9 ,... ,951.3 ,2018-04-03 08:50 ,948.6 ,2018-04-03 03:53 ,18.4 ,22.9 ,2018-04-03 09:10 ,16.6 ,2018-04-03 00:31 ,... ,91 ,66 ,2018-04-03 09:10 ,1.7 ,39 ,4.4 ,55 ,2018-04-03 13:46 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,948.8 ,... ,950.3 ,2018-04-04 08:56 ,947.5 ,2018-04-04 14:58 ,19.4 ,25.1 ,2018-04-04 10:10 ,16.7 ,2018-04-04 04:01 ,... ,88 ,62 ,2018-04-04 10:14 ,1.7 ,47 ,5.1 ,50 ,2018-04-04 13:07 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,947.8 ,... ,949.5 ,2018-04-05 06:52 ,946.2 ,2018-04-05 14:54 ,20.4 ,27.1 ,2018-04-05 10:55 ,17.8 ,2018-04-05 05:52 ,... ,87 ,64 ,2018-04-05 10:43 ,1.4 ,47 ,4.7 ,50 ,2018-04-05 16:49 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,949.9 ,... ,955.6 ,2018-04-06 23:09 ,945.7 ,2018-04-06 03:12 ,17.1 ,25.9 ,2018-04-06 12:07 ,10.1 ,2018-04-06 23:01 ,... ,92 ,66 ,2018-04-06 11:47 ,3.5 ,47 ,13.6 ,53 ,2018-04-06 17:06 ,11.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,956.3 ,... ,958.2 ,2018-04-07 09:00 ,952.7 ,2018-04-07 04:00 ,10.9 ,13.1 ,2018-04-07 13:52 ,9.3 ,2018-04-07 05:15 ,... ,95 ,77 ,2018-04-07 13:57 ,2.1 ,40 ,8.4 ,35 ,2018-04-07 00:04 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,955.3 ,... ,957.1 ,2018-04-08 00:01 ,953.8 ,2018-04-08 14:59 ,13.2 ,19.2 ,2018-04-08 11:08 ,10.5 ,2018-04-08 00:22 ,... ,79 ,53 ,2018-04-08 10:49 ,1.8 ,46 ,6.7 ,41 ,2018-04-08 12:30 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,953.3 ,... ,955.2 ,2018-04-09 08:45 ,950.7 ,2018-04-09 03:47 ,16.5 ,23.8 ,2018-04-09 11:36 ,12.3 ,2018-04-09 01:22 ,... ,77 ,53 ,2018-04-09 11:36 ,1.5 ,31 ,4.8 ,41 ,2018-04-09 14:00 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,950.6 ,... ,952.6 ,2018-04-10 08:24 ,948.9 ,2018-04-10 15:24 ,18.4 ,25.5 ,2018-04-10 12:27 ,13.6 ,2018-04-10 03:52 ,... ,81 ,43 ,2018-04-10 11:22 ,1.6 ,48 ,5.8 ,49 ,2018-04-10 14:44 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
