,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,934.1 ,... ,935.6 ,2018-05-01 08:48 ,932.6 ,2018-05-01 17:32 ,22.4 ,28.8 ,2018-05-01 09:39 ,19.7 ,2018-05-01 01:16 ,... ,91 ,65 ,2018-05-01 09:42 ,4.9 ,121 ,12.2 ,153 ,2018-05-01 15:06 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,933.4 ,... ,934.8 ,2018-05-02 20:08 ,932.0 ,2018-05-02 14:29 ,23.1 ,29.1 ,2018-05-02 09:31 ,19.9 ,2018-05-02 04:52 ,... ,90 ,64 ,2018-05-02 09:58 ,4.8 ,126 ,13.2 ,166 ,2018-05-02 13:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,936.6 ,... ,938.8 ,2018-05-03 22:35 ,933.7 ,2018-05-03 00:52 ,17.6 ,21.9 ,2018-05-03 01:36 ,15.7 ,2018-05-03 17:21 ,... ,98 ,88 ,2018-05-03 02:22 ,6.2 ,24 ,16.4 ,21 ,2018-05-03 06:56 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,938.4 ,... ,939.7 ,2018-05-04 22:19 ,936.8 ,2018-05-04 02:53 ,16.6 ,18.6 ,2018-05-04 13:42 ,15.8 ,2018-05-04 00:11 ,... ,99 ,99 ,2018-05-04 00:01 ,4.0 ,56 ,8.1 ,24 ,2018-05-04 05:19 ,2.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,937.5 ,... ,939.3 ,2018-05-05 08:39 ,936.2 ,2018-05-05 16:22 ,19.4 ,24.1 ,2018-05-05 11:33 ,16.4 ,2018-05-05 00:01 ,... ,97 ,78 ,2018-05-05 11:25 ,4.6 ,116 ,9.4 ,129 ,2018-05-05 11:38 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,933.4 ,... ,936.5 ,2018-05-06 00:01 ,931.4 ,2018-05-06 15:31 ,21.7 ,27.5 ,2018-05-06 10:28 ,19.1 ,2018-05-06 00:01 ,... ,96 ,72 ,2018-05-06 10:31 ,5.0 ,143 ,14.7 ,160 ,2018-05-06 14:55 ,4.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,929.6 ,... ,931.7 ,2018-05-07 00:05 ,927.8 ,2018-05-07 16:47 ,23.1 ,28.3 ,2018-05-07 11:36 ,20.9 ,2018-05-07 01:31 ,... ,94 ,75 ,2018-05-07 11:58 ,4.1 ,7 ,8.7 ,18 ,2018-05-07 17:12 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,930.0 ,... ,933.9 ,2018-05-08 22:50 ,927.0 ,2018-05-08 02:32 ,21.5 ,26.6 ,2018-05-08 14:05 ,16.6 ,2018-05-08 23:42 ,... ,96 ,76 ,2018-05-08 00:16 ,4.9 ,55 ,13.0 ,40 ,2018-05-08 22:06 ,21.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,935.9 ,... ,938.4 ,2018-05-09 21:34 ,933.0 ,2018-05-09 03:00 ,16.8 ,18.4 ,2018-05-09 11:04 ,15.8 ,2018-05-09 07:11 ,... ,99 ,99 ,2018-05-09 00:01 ,5.9 ,16 ,11.4 ,26 ,2018-05-09 00:04 ,9.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,937.2 ,... ,939.0 ,2018-05-10 09:34 ,935.9 ,2018-05-10 16:35 ,16.3 ,18.7 ,2018-05-10 13:30 ,15.4 ,2018-05-10 05:12 ,... ,96 ,81 ,2018-05-10 22:46 ,5.0 ,21 ,9.4 ,17 ,2018-05-10 08:33 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,935.0 ,... ,937.3 ,2018-05-11 08:34 ,933.1 ,2018-05-11 17:15 ,19.2 ,25.2 ,2018-05-11 11:55 ,16.3 ,2018-05-11 06:21 ,... ,90 ,66 ,2018-05-11 12:05 ,3.7 ,44 ,7.3 ,121 ,2018-05-11 12:30 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,933.0 ,... ,934.4 ,2018-05-12 09:01 ,931.8 ,2018-05-12 15:52 ,21.3 ,26.8 ,2018-05-12 11:33 ,17.3 ,2018-05-12 00:05 ,... ,88 ,63 ,2018-05-12 22:17 ,4.1 ,301 ,8.6 ,121 ,2018-05-12 11:37 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,932.4 ,... ,934.3 ,2018-05-13 22:03 ,931.3 ,2018-05-13 03:33 ,22.5 ,27.5 ,2018-05-13 11:33 ,19.6 ,2018-05-13 03:31 ,... ,90 ,67 ,2018-05-13 08:25 ,4.1 ,17 ,8.7 ,141 ,2018-05-13 12:17 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,932.5 ,... ,934.4 ,2018-05-14 09:20 ,930.8 ,2018-05-14 16:00 ,23.4 ,28.7 ,2018-05-14 10:29 ,20.7 ,2018-05-14 00:21 ,... ,90 ,69 ,2018-05-14 09:03 ,4.4 ,94 ,10.1 ,132 ,2018-05-14 11:31 ,4.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,932.1 ,... ,933.6 ,2018-05-15 09:14 ,930.7 ,2018-05-15 02:58 ,23.4 ,29.1 ,2018-05-15 09:04 ,20.9 ,2018-05-15 03:37 ,... ,93 ,71 ,2018-05-15 09:13 ,5.0 ,148 ,11.3 ,158 ,2018-05-15 13:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,931.3 ,... ,932.5 ,2018-05-16 09:17 ,930.1 ,2018-05-16 16:17 ,23.6 ,29.3 ,2018-05-16 08:37 ,21.3 ,2018-05-16 03:41 ,... ,94 ,66 ,2018-05-16 08:39 ,5.1 ,143 ,15.0 ,146 ,2018-05-16 14:20 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,930.4 ,... ,931.7 ,2018-05-17 09:40 ,929.3 ,2018-05-17 15:51 ,23.7 ,29.5 ,2018-05-17 09:55 ,21.5 ,2018-05-17 04:01 ,... ,97 ,74 ,2018-05-17 10:08 ,5.4 ,130 ,13.4 ,166 ,2018-05-17 23:13 ,32.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,929.9 ,... ,931.1 ,2018-05-18 22:04 ,928.8 ,2018-05-18 16:07 ,23.7 ,28.0 ,2018-05-18 10:54 ,21.2 ,2018-05-18 03:21 ,... ,97 ,83 ,2018-05-18 15:08 ,4.5 ,43 ,10.3 ,149 ,2018-05-18 11:42 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,930.6 ,... ,931.9 ,2018-05-19 22:16 ,929.4 ,2018-05-19 02:18 ,23.8 ,28.7 ,2018-05-19 11:29 ,21.2 ,2018-05-19 22:13 ,... ,91 ,64 ,2018-05-19 10:49 ,4.6 ,93 ,9.9 ,142 ,2018-05-19 12:36 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,931.0 ,... ,932.5 ,2018-05-20 22:29 ,929.5 ,2018-05-20 02:36 ,23.9 ,29.1 ,2018-05-20 08:25 ,21.1 ,2018-05-20 01:01 ,... ,86 ,65 ,2018-05-20 14:03 ,4.5 ,239 ,9.3 ,147 ,2018-05-20 12:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,932.0 ,... ,933.4 ,2018-05-21 22:05 ,930.4 ,2018-05-21 04:55 ,23.9 ,31.1 ,2018-05-21 09:38 ,20.4 ,2018-05-21 23:22 ,... ,86 ,62 ,2018-05-21 09:39 ,4.0 ,77 ,8.1 ,130 ,2018-05-21 11:56 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,932.1 ,... ,933.5 ,2018-05-22 08:48 ,930.6 ,2018-05-22 16:25 ,23.8 ,29.8 ,2018-05-22 10:17 ,20.3 ,2018-05-22 04:52 ,... ,90 ,67 ,2018-05-22 09:59 ,4.3 ,108 ,8.5 ,116 ,2018-05-22 10:43 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,932.1 ,... ,933.4 ,2018-05-23 21:27 ,930.4 ,2018-05-23 03:26 ,23.9 ,32.0 ,2018-05-23 10:27 ,20.2 ,2018-05-23 23:59 ,... ,90 ,63 ,2018-05-23 09:24 ,4.9 ,74 ,10.7 ,66 ,2018-05-23 15:01 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
23,24,932.0 ,... ,933.9 ,2018-05-24 09:12 ,930.8 ,2018-05-24 17:14 ,21.9 ,24.8 ,2018-05-24 10:46 ,20.1 ,2018-05-24 00:01 ,... ,99 ,99 ,2018-05-24 00:01 ,4.0 ,80 ,7.7 ,119 ,2018-05-24 14:23 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
