,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,999.1 ,... ,1000.4 ,2018-04-01 09:18 ,997.4 ,2018-04-01 15:07 ,20.4 ,25.2 ,2018-04-01 13:10 ,16.7 ,2018-04-01 03:41 ,... ,75 ,54 ,2018-04-01 09:36 ,1.9 ,217 ,7.4 ,34 ,2018-04-01 13:20 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,998.6 ,... ,1000.0 ,2018-04-02 21:53 ,997.1 ,2018-04-02 14:54 ,20.7 ,26.4 ,2018-04-02 13:09 ,17.0 ,2018-04-02 04:21 ,... ,76 ,56 ,2018-04-02 09:54 ,1.9 ,216 ,7.1 ,226 ,2018-04-02 12:26 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,999.2 ,... ,1000.9 ,2018-04-03 08:43 ,997.9 ,2018-04-03 15:30 ,21.7 ,26.7 ,2018-04-03 13:53 ,17.8 ,2018-04-03 05:31 ,... ,80 ,59 ,2018-04-03 13:56 ,1.5 ,213 ,7.0 ,254 ,2018-04-03 12:52 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,998.1 ,... ,999.6 ,2018-04-04 09:07 ,996.4 ,2018-04-04 15:15 ,22.0 ,26.7 ,2018-04-04 14:00 ,18.9 ,2018-04-04 05:51 ,... ,80 ,61 ,2018-04-04 14:02 ,1.6 ,205 ,9.9 ,197 ,2018-04-04 12:55 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,996.9 ,... ,998.9 ,2018-04-05 07:05 ,994.8 ,2018-04-05 14:46 ,22.8 ,27.0 ,2018-04-05 13:26 ,19.2 ,2018-04-05 00:03 ,... ,78 ,58 ,2018-04-05 12:24 ,2.3 ,205 ,12.1 ,228 ,2018-04-05 14:46 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,999.5 ,... ,1006.6 ,2018-04-06 23:16 ,994.6 ,2018-04-06 03:16 ,19.9 ,28.3 ,2018-04-06 12:47 ,14.0 ,2018-04-06 22:31 ,... ,86 ,63 ,2018-04-06 12:47 ,3.8 ,29 ,17.8 ,35 ,2018-04-06 13:39 ,10.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1007.1 ,... ,1009.1 ,2018-04-07 09:16 ,1005.4 ,2018-04-07 02:55 ,15.3 ,18.1 ,2018-04-07 12:37 ,13.7 ,2018-04-07 07:22 ,... ,74 ,60 ,2018-04-07 05:37 ,2.2 ,33 ,14.9 ,42 ,2018-04-07 05:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1005.8 ,... ,1008.0 ,2018-04-08 00:03 ,1003.7 ,2018-04-08 17:03 ,16.4 ,22.1 ,2018-04-08 12:53 ,13.6 ,2018-04-08 02:31 ,... ,73 ,53 ,2018-04-08 12:53 ,1.9 ,215 ,8.0 ,34 ,2018-04-08 12:57 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1003.4 ,... ,1005.5 ,2018-04-09 09:18 ,1001.6 ,2018-04-09 16:52 ,18.9 ,24.8 ,2018-04-09 11:56 ,14.5 ,2018-04-09 03:02 ,... ,70 ,51 ,2018-04-09 11:32 ,1.9 ,199 ,9.9 ,204 ,2018-04-09 12:04 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1000.1 ,... ,1002.7 ,2018-04-10 08:23 ,998.0 ,2018-04-10 15:50 ,20.4 ,25.5 ,2018-04-10 12:26 ,15.6 ,2018-04-10 05:42 ,... ,75 ,54 ,2018-04-10 11:24 ,1.9 ,199 ,8.8 ,246 ,2018-04-10 13:36 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
