,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,993.7 ,... ,995.4 ,2018-07-01 00:03 ,992.6 ,2018-07-01 17:22 ,27.4 ,31.6 ,2018-07-01 12:10 ,24.6 ,2018-07-01 23:17 ,... ,... ,/ , ,0.6 ,126 ,4.6 ,273 ,2018-07-01 02:29 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,992.2 ,... ,993.1 ,2018-07-02 06:47 ,990.8 ,2018-07-02 17:52 ,26.1 ,29.0 ,2018-07-02 10:56 ,24.2 ,2018-07-02 01:50 ,... ,... ,/ , ,0.4 ,299 ,5.7 ,267 ,2018-07-02 17:42 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,991.5 ,... ,992.3 ,2018-07-03 10:15 ,990.6 ,2018-07-03 05:06 ,27.1 ,29.4 ,2018-07-03 11:57 ,23.6 ,2018-07-03 04:55 ,... ,... ,/ , ,0.4 ,144 ,4.8 ,257 ,2018-07-03 05:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,991.0 ,... ,992.5 ,2018-07-04 22:34 ,989.8 ,2018-07-04 03:19 ,27.7 ,30.7 ,2018-07-04 13:19 ,25.2 ,2018-07-04 05:30 ,... ,... ,/ , ,0.3 ,63 ,4.5 ,134 ,2018-07-04 09:56 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,991.5 ,... ,993.5 ,2018-07-05 22:02 ,989.9 ,2018-07-05 04:01 ,27.0 ,29.4 ,2018-07-05 11:00 ,25.4 ,2018-07-05 01:06 ,... ,... ,/ , ,0.2 ,151 ,3.9 ,288 ,2018-07-05 04:47 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,993.1 ,... ,995.0 ,2018-07-06 23:37 ,991.9 ,2018-07-06 16:48 ,27.2 ,31.0 ,2018-07-06 10:36 ,24.6 ,2018-07-06 05:48 ,... ,... ,/ , ,0.2 ,72 ,3.1 ,58 ,2018-07-06 10:20 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,995.5 ,... ,997.9 ,2018-07-07 22:36 ,994.0 ,2018-07-07 14:20 ,26.8 ,29.9 ,2018-07-07 13:37 ,24.7 ,2018-07-07 05:32 ,... ,... ,/ , ,1.2 ,138 ,10.7 ,156 ,2018-07-07 13:54 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,997.7 ,... ,999.7 ,2018-07-08 21:36 ,996.0 ,2018-07-08 03:50 ,27.1 ,31.0 ,2018-07-08 12:56 ,24.0 ,2018-07-08 04:31 ,... ,... ,/ , ,1.1 ,120 ,7.8 ,153 ,2018-07-08 09:56 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,998.4 ,... ,1000.6 ,2018-07-09 09:28 ,996.8 ,2018-07-09 17:19 ,27.0 ,31.5 ,2018-07-09 11:37 ,24.2 ,2018-07-09 04:49 ,... ,... ,/ , ,0.3 ,59 ,3.0 ,73 ,2018-07-09 14:59 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,990.7 ,... ,998.3 ,2018-07-11 00:00 ,983.3 ,2018-07-10 23:59 ,28.0 ,32.9 ,2018-07-10 11:40 ,24.1 ,2018-07-10 04:49 ,... ,... ,/ , ,1.4 ,157 ,11.3 ,167 ,2018-07-10 17:57 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,990.6 ,... ,998.1 ,2018-07-11 22:27 ,982.0 ,2018-07-11 03:08 ,27.4 ,31.3 ,2018-07-11 10:23 ,24.2 ,2018-07-11 05:14 ,... ,... ,/ , ,1.5 ,159 ,11.9 ,165 ,2018-07-11 15:21 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,998.4 ,... ,1000.7 ,2018-07-12 22:29 ,996.5 ,2018-07-12 04:18 ,25.5 ,28.0 ,2018-07-12 15:22 ,23.7 ,2018-07-12 08:41 ,... ,... ,/ , ,0.5 ,282 ,5.6 ,241 ,2018-07-12 13:18 ,27.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,999.4 ,... ,1001.0 ,2018-07-13 22:12 ,998.2 ,2018-07-13 15:27 ,26.2 ,30.8 ,2018-07-13 11:24 ,23.5 ,2018-07-13 23:37 ,... ,... ,/ , ,0.5 ,96 ,4.2 ,146 ,2018-07-13 22:00 ,21.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,998.7 ,... ,999.9 ,2018-07-14 23:24 ,997.3 ,2018-07-14 16:29 ,26.7 ,30.5 ,2018-07-14 12:06 ,23.6 ,2018-07-14 00:19 ,... ,... ,/ , ,0.4 ,295 ,4.7 ,278 ,2018-07-14 05:20 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,998.4 ,... ,999.5 ,2018-07-15 00:14 ,997.6 ,2018-07-15 19:35 ,26.6 ,30.7 ,2018-07-15 11:28 ,23.3 ,2018-07-15 02:34 ,... ,... ,/ , ,0.3 ,297 ,4.1 ,259 ,2018-07-15 06:08 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,996.9 ,... ,998.7 ,2018-07-16 00:04 ,996.0 ,2018-07-16 16:57 ,26.5 ,28.7 ,2018-07-16 15:14 ,24.1 ,2018-07-16 06:34 ,... ,... ,/ , ,0.4 ,297 ,4.9 ,258 ,2018-07-16 14:42 ,3.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,996.9 ,... ,997.8 ,2018-07-17 10:02 ,995.6 ,2018-07-17 16:52 ,26.9 ,30.4 ,2018-07-17 11:36 ,24.6 ,2018-07-17 02:10 ,... ,... ,/ , ,0.2 ,302 ,3.4 ,292 ,2018-07-17 07:02 ,11.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,996.7 ,... ,998.6 ,2018-07-18 22:04 ,995.6 ,2018-07-18 15:54 ,27.3 ,30.6 ,2018-07-18 09:10 ,24.9 ,2018-07-18 00:53 ,... ,... ,/ , ,0.2 ,304 ,3.8 ,273 ,2018-07-18 04:14 ,2.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,996.9 ,... ,997.9 ,2018-07-19 21:21 ,995.9 ,2018-07-19 16:08 ,27.0 ,31.0 ,2018-07-19 11:03 ,24.5 ,2018-07-19 18:20 ,... ,... ,/ , ,0.4 ,301 ,3.6 ,306 ,2018-07-19 22:47 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,994.3 ,... ,996.4 ,2018-07-21 00:00 ,993.0 ,2018-07-20 16:12 ,26.7 ,30.5 ,2018-07-20 09:56 ,24.2 ,2018-07-20 05:31 ,... ,... ,/ , ,0.2 ,297 ,4.4 ,270 ,2018-07-20 06:00 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,990.8 ,... ,993.4 ,2018-07-21 00:05 ,989.3 ,2018-07-21 15:53 ,27.3 ,30.7 ,2018-07-21 10:18 ,24.3 ,2018-07-21 03:28 ,... ,... ,/ , ,1.6 ,284 ,10.7 ,163 ,2018-07-21 14:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,991.5 ,... ,992.9 ,2018-07-22 10:45 ,990.3 ,2018-07-22 05:12 ,25.9 ,28.2 ,2018-07-22 09:41 ,24.7 ,2018-07-22 03:55 ,... ,... ,/ , ,0.4 ,288 ,4.1 ,265 ,2018-07-22 01:05 ,1.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,993.7 ,... ,996.6 ,2018-07-23 22:23 ,991.1 ,2018-07-23 02:36 ,27.3 ,31.1 ,2018-07-23 11:27 ,24.1 ,2018-07-23 05:30 ,... ,... ,/ , ,0.2 ,267 ,3.5 ,268 ,2018-07-23 00:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
23,24,996.6 ,... ,998.0 ,2018-07-24 23:59 ,995.0 ,2018-07-24 04:22 ,27.9 ,31.7 ,2018-07-24 10:43 ,24.9 ,2018-07-24 05:04 ,... ,... ,/ , ,0.2 ,88 ,4.2 ,292 ,2018-07-24 22:50 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
24,25,997.8 ,... ,999.1 ,2018-07-25 21:49 ,996.4 ,2018-07-25 03:49 ,28.0 ,31.4 ,2018-07-25 10:39 ,25.5 ,2018-07-25 23:47 ,... ,... ,/ , ,0.5 ,303 ,4.7 ,294 ,2018-07-25 05:24 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
25,26,997.5 ,... ,999.0 ,2018-07-26 09:23 ,995.8 ,2018-07-26 17:33 ,28.0 ,31.7 ,2018-07-26 10:35 ,25.4 ,2018-07-26 05:10 ,... ,... ,/ , ,1.2 ,126 ,5.5 ,136 ,2018-07-26 16:01 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
26,27,997.4 ,... ,998.7 ,2018-07-27 22:51 ,996.0 ,2018-07-27 03:42 ,27.9 ,31.9 ,2018-07-27 10:49 ,25.4 ,2018-07-27 02:27 ,... ,... ,/ , ,1.0 ,274 ,4.6 ,144 ,2018-07-27 12:39 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
27,28,996.9 ,... ,998.4 ,2018-07-28 09:56 ,995.5 ,2018-07-28 18:39 ,27.7 ,31.7 ,2018-07-28 11:47 ,25.0 ,2018-07-28 05:06 ,... ,... ,/ , ,0.6 ,83 ,3.5 ,267 ,2018-07-28 03:16 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
28,29,995.6 ,... ,997.0 ,2018-07-29 00:02 ,994.1 ,2018-07-29 18:17 ,28.1 ,32.2 ,2018-07-29 10:53 ,25.3 ,2018-07-29 04:59 ,... ,... ,/ , ,0.9 ,284 ,5.8 ,157 ,2018-07-29 16:42 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
29,30,995.0 ,... ,996.1 ,2018-07-30 00:09 ,993.5 ,2018-07-30 17:47 ,28.2 ,32.6 ,2018-07-30 10:52 ,25.0 ,2018-07-30 05:14 ,... ,... ,/ , ,0.7 ,118 ,4.7 ,129 ,2018-07-30 13:36 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
30,31,994.7 ,... ,995.8 ,2018-07-31 10:05 ,992.9 ,2018-07-31 16:45 ,28.8 ,32.3 ,2018-07-31 10:27 ,25.8 ,2018-07-31 01:34 ,... ,... ,/ , ,1.2 ,138 ,6.7 ,156 ,2018-07-31 11:10 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
