,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1014.2 ,... ,1016.5 ,2018-03-01 10:07 ,1012.0 ,2018-03-01 03:32 ,11.6 ,13.6 ,2018-03-02 00:00 ,9.2 ,2018-03-01 05:25 ,... ,91 ,84 ,2018-03-01 12:18 ,5.5 ,12 ,10.5 ,26 ,2018-03-01 16:25 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1012.9 ,... ,1014.9 ,2018-03-02 09:27 ,1010.7 ,2018-03-02 15:34 ,11.7 ,12.9 ,2018-03-02 12:13 ,10.0 ,2018-03-02 21:25 ,... ,90 ,85 ,2018-03-02 04:54 ,5.4 ,3 ,11.8 ,12 ,2018-03-02 01:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1009.9 ,... ,1012.1 ,2018-03-03 09:21 ,1006.8 ,2018-03-03 15:26 ,13.1 ,17.0 ,2018-03-03 19:47 ,9.7 ,2018-03-03 01:25 ,... ,92 ,80 ,2018-03-03 13:42 ,3.5 ,196 ,11.0 ,216 ,2018-03-03 20:08 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1010.7 ,... ,1013.2 ,2018-03-04 09:03 ,1008.0 ,2018-03-04 17:13 ,13.0 ,17.2 ,2018-03-04 23:59 ,10.1 ,2018-03-04 05:25 ,... ,98 ,95 ,2018-03-04 23:38 ,3.8 ,195 ,11.2 ,190 ,2018-03-04 19:57 ,4.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1013.6 ,... ,1021.6 ,2018-03-05 22:35 ,1007.7 ,2018-03-05 03:42 ,15.7 ,24.0 ,2018-03-05 13:57 ,10.4 ,2018-03-05 17:24 ,... ,87 ,63 ,2018-03-05 14:06 ,6.0 ,36 ,18.4 ,25 ,2018-03-05 17:21 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1022.2 ,... ,1024.7 ,2018-03-06 10:32 ,1019.9 ,2018-03-06 03:10 ,10.3 ,11.7 ,2018-03-06 01:04 ,8.6 ,2018-03-06 09:24 ,... ,74 ,56 ,2018-03-06 02:24 ,9.0 ,37 ,16.6 ,20 ,2018-03-06 06:53 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1018.5 ,... ,1022.6 ,2018-03-07 00:02 ,1015.2 ,2018-03-07 16:42 ,10.4 ,11.3 ,2018-03-07 14:09 ,8.7 ,2018-03-07 21:25 ,... ,85 ,79 ,2018-03-07 12:01 ,7.3 ,26 ,15.0 ,29 ,2018-03-07 00:40 ,5.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1021.1 ,... ,1025.2 ,2018-03-08 22:29 ,1016.7 ,2018-03-08 03:28 ,10.4 ,11.4 ,2018-03-08 12:06 ,9.0 ,2018-03-08 17:25 ,... ,79 ,62 ,2018-03-08 23:51 ,5.4 ,36 ,13.6 ,33 ,2018-03-08 21:16 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1024.8 ,... ,1026.5 ,2018-03-09 09:26 ,1023.5 ,2018-03-09 04:25 ,9.1 ,10.9 ,2018-03-09 14:26 ,7.4 ,2018-03-09 05:25 ,... ,56 ,46 ,2018-03-09 15:41 ,6.4 ,30 ,13.6 ,41 ,2018-03-09 02:33 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1024.2 ,... ,1025.8 ,2018-03-10 07:55 ,1022.5 ,2018-03-10 17:08 ,9.1 ,10.6 ,2018-03-10 15:00 ,7.0 ,2018-03-10 05:24 ,... ,73 ,64 ,2018-03-10 00:10 ,6.1 ,25 ,10.8 ,22 ,2018-03-10 02:58 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
