,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,01,1011.0 ,... ,1013.4 ,2018-02-01 21:43 ,1008.3 ,2018-02-01 15:26 ,12.8 ,15.7 ,2018-02-01 15:29 ,10.6 ,2018-02-01 06:32 ,... ,90 ,77 ,2018-02-01 15:10 ,0.9 ,18 ,4.7 ,46 ,2018-02-01 05:49 ,3.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
1,02,1013.0 ,... ,1015.3 ,2018-02-02 22:14 ,1011.6 ,2018-02-02 15:28 ,14.0 ,18.4 ,2018-02-02 10:43 ,11.8 ,2018-02-02 23:43 ,... ,86 ,70 ,2018-02-02 10:46 ,1.0 ,19 ,5.4 ,18 ,2018-02-02 13:34 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
2,03,1014.2 ,... ,1015.9 ,2018-02-03 22:16 ,1012.2 ,2018-02-03 15:35 ,11.2 ,12.9 ,2018-02-03 14:20 ,8.7 ,2018-02-03 23:23 ,... ,86 ,76 ,2018-02-03 11:27 ,1.2 ,8 ,4.7 ,22 ,2018-02-03 04:11 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
3,04,1014.7 ,... ,1016.3 ,2018-02-04 23:36 ,1013.0 ,2018-02-04 14:41 ,10.0 ,12.4 ,2018-02-04 13:06 ,8.4 ,2018-02-04 03:28 ,... ,86 ,74 ,2018-02-04 13:49 ,1.1 ,10 ,4.9 ,25 ,2018-02-04 19:33 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1015.3 ,... ,1017.4 ,2018-02-05 09:42 ,1013.0 ,2018-02-05 15:35 ,8.5 ,9.4 ,2018-02-05 01:59 ,7.3 ,2018-02-05 20:16 ,... ,85 ,77 ,2018-02-05 09:24 ,1.3 ,9 ,5.3 ,16 ,2018-02-05 11:33 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
5,06,1012.5 ,... ,1015.6 ,2018-02-06 00:44 ,1009.8 ,2018-02-06 15:38 ,10.8 ,16.1 ,2018-02-06 13:55 ,5.5 ,2018-02-06 06:36 ,... ,78 ,55 ,2018-02-06 13:57 ,0.6 ,16 ,5.2 ,19 ,2018-02-06 14:00 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,1010.7 ,... ,1012.6 ,2018-02-07 10:06 ,1008.7 ,2018-02-07 15:36 ,11.4 ,13.9 ,2018-02-07 12:41 ,8.5 ,2018-02-07 03:53 ,... ,92 ,77 ,2018-02-08 00:00 ,0.4 ,48 ,5.5 ,254 ,2018-02-07 01:45 ,3.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,1008.8 ,... ,1011.3 ,2018-02-08 01:01 ,1006.6 ,2018-02-08 14:59 ,13.4 ,16.2 ,2018-02-08 14:41 ,11.5 ,2018-02-08 06:32 ,... ,96 ,84 ,2018-02-08 14:49 ,0.5 ,9 ,3.7 ,261 ,2018-02-08 07:57 ,8.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,1007.4 ,... ,1009.4 ,2018-02-09 09:26 ,1004.8 ,2018-02-09 14:59 ,16.2 ,20.7 ,2018-02-09 12:53 ,13.7 ,2018-02-09 06:43 ,... ,92 ,72 ,2018-02-09 13:11 ,0.8 ,28 ,5.3 ,21 ,2018-02-09 14:46 ,0.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,1008.1 ,... ,1010.4 ,2018-02-10 09:36 ,1005.4 ,2018-02-10 13:53 ,17.0 ,23.8 ,2018-02-10 13:18 ,14.6 ,2018-02-10 05:01 ,... ,93 ,64 ,2018-02-10 13:22 ,0.9 ,3 ,6.7 ,3 ,2018-02-10 14:36 ,1.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,1012.4 ,... ,1015.7 ,2018-02-12 00:00 ,1009.8 ,2018-02-11 03:31 ,13.7 ,16.9 ,2018-02-11 15:01 ,11.6 ,2018-02-11 07:41 ,... ,89 ,75 ,2018-02-11 17:42 ,0.9 ,5 ,5.8 ,15 ,2018-02-11 06:24 ,2.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
11,12,1015.7 ,... ,1017.8 ,2018-02-12 09:16 ,1013.4 ,2018-02-12 16:17 ,14.2 ,19.0 ,2018-02-12 14:47 ,11.8 ,2018-02-12 20:54 ,... ,80 ,63 ,2018-02-12 16:59 ,0.7 ,11 ,4.5 ,25 ,2018-02-12 17:23 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
12,13,1014.5 ,... ,1016.7 ,2018-02-13 00:54 ,1011.5 ,2018-02-13 15:45 ,15.0 ,23.1 ,2018-02-13 15:29 ,9.5 ,2018-02-13 06:52 ,... ,78 ,48 ,2018-02-13 15:23 ,0.7 ,273 ,4.5 ,246 ,2018-02-13 15:57 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
13,14,1010.8 ,... ,1013.8 ,2018-02-14 00:02 ,1007.7 ,2018-02-14 15:09 ,16.9 ,26.5 ,2018-02-14 15:09 ,10.7 ,2018-02-14 07:16 ,... ,80 ,34 ,2018-02-14 14:36 ,1.0 ,33 ,5.3 ,292 ,2018-02-14 13:11 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
14,15,1007.8 ,... ,1010.2 ,2018-02-15 00:04 ,1004.5 ,2018-02-15 15:25 ,21.1 ,31.9 ,2018-02-15 14:31 ,13.1 ,2018-02-15 00:24 ,... ,77 ,32 ,2018-02-15 12:41 ,0.9 ,40 ,7.2 ,275 ,2018-02-15 15:57 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
15,16,1006.1 ,... ,1007.5 ,2018-02-16 00:25 ,1004.3 ,2018-02-16 13:58 ,21.1 ,28.6 ,2018-02-16 13:07 ,16.3 ,2018-02-16 04:43 ,... ,86 ,57 ,2018-02-16 12:04 ,0.7 ,39 ,4.9 ,290 ,2018-02-16 15:18 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
16,17,1007.8 ,... ,1010.2 ,2018-02-17 22:21 ,1006.0 ,2018-02-17 03:37 ,19.4 ,25.8 ,2018-02-17 14:25 ,16.5 ,2018-02-17 23:21 ,... ,86 ,62 ,2018-02-17 14:25 ,0.5 ,30 ,4.5 ,290 ,2018-02-17 16:04 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
17,18,1009.3 ,... ,1011.8 ,2018-02-18 08:25 ,1006.6 ,2018-02-18 15:43 ,20.0 ,27.5 ,2018-02-18 13:47 ,15.7 ,2018-02-18 06:43 ,... ,81 ,47 ,2018-02-18 13:03 ,0.9 ,2 ,5.5 ,346 ,2018-02-18 14:03 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
18,19,1007.7 ,... ,1010.7 ,2018-02-19 09:30 ,1005.0 ,2018-02-19 16:00 ,21.0 ,30.2 ,2018-02-19 15:49 ,15.4 ,2018-02-19 04:19 ,... ,80 ,40 ,2018-02-19 15:51 ,0.7 ,287 ,5.5 ,255 ,2018-02-19 14:14 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
19,20,1006.3 ,... ,1008.7 ,2018-02-20 09:43 ,1004.1 ,2018-02-20 15:02 ,19.9 ,26.5 ,2018-02-20 14:06 ,14.7 ,2018-02-20 06:47 ,... ,85 ,56 ,2018-02-20 13:06 ,0.6 ,274 ,5.3 ,253 ,2018-02-20 14:23 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
20,21,1005.8 ,... ,1007.6 ,2018-02-21 09:39 ,1003.3 ,2018-02-21 14:41 ,19.4 ,25.5 ,2018-02-21 14:36 ,16.7 ,2018-02-21 06:29 ,... ,84 ,60 ,2018-02-21 14:33 ,0.8 ,3 ,5.1 ,281 ,2018-02-21 16:56 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
21,22,1008.5 ,... ,1011.5 ,2018-02-22 21:17 ,1006.7 ,2018-02-22 03:11 ,15.8 ,18.6 ,2018-02-22 11:06 ,13.7 ,2018-02-22 23:45 ,... ,93 ,80 ,2018-02-22 12:18 ,0.8 ,13 ,5.2 ,77 ,2018-02-22 16:05 ,11.5 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
22,23,1010.1 ,... ,1012.3 ,2018-02-23 22:23 ,1008.2 ,2018-02-23 16:18 ,17.1 ,23.5 ,2018-02-23 14:12 ,13.3 ,2018-02-23 00:45 ,... ,89 ,65 ,2018-02-23 14:12 ,0.6 ,9 ,4.7 ,261 ,2018-02-23 14:21 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
23,24,1010.5 ,... ,1013.6 ,2018-02-24 09:19 ,1008.3 ,2018-02-24 16:26 ,19.3 ,26.6 ,2018-02-24 15:15 ,15.9 ,2018-02-24 00:04 ,... ,87 ,53 ,2018-02-24 15:48 ,0.6 ,7 ,3.7 ,16 ,2018-02-24 14:45 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
24,25,1009.0 ,... ,1010.6 ,2018-02-25 22:43 ,1007.0 ,2018-02-25 14:24 ,19.5 ,25.9 ,2018-02-25 12:28 ,15.5 ,2018-02-26 00:00 ,... ,84 ,60 ,2018-02-25 12:29 ,0.9 ,4 ,6.3 ,267 ,2018-02-25 14:23 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
25,26,1009.6 ,... ,1011.5 ,2018-02-26 09:04 ,1007.6 ,2018-02-26 14:46 ,18.0 ,24.7 ,2018-02-26 13:50 ,14.7 ,2018-02-26 06:52 ,... ,85 ,58 ,2018-02-26 13:55 ,0.9 ,3 ,5.5 ,267 ,2018-02-26 14:24 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
26,27,1008.9 ,... ,1011.8 ,2018-02-27 09:31 ,1006.4 ,2018-02-27 15:58 ,18.2 ,23.4 ,2018-02-27 15:25 ,14.5 ,2018-02-27 04:03 ,... ,87 ,65 ,2018-02-27 16:14 ,0.8 ,27 ,5.0 ,30 ,2018-02-27 11:31 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
27,28,1005.4 ,... ,1007.6 ,2018-02-28 00:03 ,1004.1 ,2018-02-28 14:33 ,20.0 ,27.0 ,2018-02-28 14:11 ,15.7 ,2018-02-28 03:14 ,... ,87 ,63 ,2018-02-28 14:10 ,0.7 ,3 ,4.5 ,17 ,2018-02-28 16:36 ,0.0 ,... ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
