,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1019.0 ,1023.3 ,1027.6 ,2017-01-24 09:26 ,1008.9 ,2017-01-08 15:40 ,15.6 ,25.0 ,2017-01-05 14:21 ,9.3 ,2017-01-15 06:25 ,9.8 ,3.7 ,60 ,19.3 ,70 ,2017-01-30 12:42 ,4.6 ,11.0 ,5 ,0.6 ,2017-01-12 23:15 ,2.0 ,2017-01-30 04:05 ,2.0 ,2017-01-30 00:00 ,69 ,69.9 ,119.7 ,291.21 ,5 ,6 ,2017-01-27 13:00 ,6.4 
1,02,1019.4 ,1023.8 ,1029.9 ,2017-02-14 09:18 ,1010.3 ,2017-02-22 16:07 ,14.1 ,24.6 ,2017-02-17 14:18 ,7.9 ,2017-02-10 07:05 ,7.8 ,3.8 ,60 ,21.3 ,50 ,2017-02-21 00:24 ,90.1 ,44.8 ,5 ,6.5 ,2017-02-22 10:35 ,23.0 ,2017-02-22 09:15 ,65.5 ,2017-02-22 00:00 ,68 ,80.5 ,156.5 ,338.86 ,6 ,7 ,2017-02-17 13:00 ,4.9 
2,03,1015.5 ,1019.8 ,1023.7 ,2017-03-27 08:31 ,1006.5 ,2017-03-13 14:50 ,15.6 ,24.9 ,2017-03-29 15:02 ,10.2 ,2017-03-07 20:43 ,10.9 ,3.2 ,60 ,18.8 ,60 ,2017-03-31 18:40 ,39.7 ,79.6 ,13 ,1.5 ,2017-03-10 06:35 ,4.1 ,2017-03-10 06:00 ,13.4 ,2017-03-10 00:00 ,75 ,63.8 ,93.1 ,306.96 ,5 ,8 ,2017-03-24 13:00 ,7.5 
3,04,1011.1 ,1015.3 ,1022.3 ,2017-04-02 09:37 ,1000.6 ,2017-04-10 16:29 ,20.1 ,28.3 ,2017-04-17 12:36 ,10.9 ,2017-04-01 03:04 ,15.2 ,3.0 ,50 ,19.3 ,70 ,2017-04-22 02:26 ,44.6 ,51.2 ,13 ,2.0 ,2017-04-20 08:02 ,5.0 ,2017-04-20 07:12 ,11.5 ,2017-04-26 00:00 ,75 ,84.9 ,151.1 ,429.65 ,7 ,10 ,2017-04-20 13:00 ,6.5 
4,05,1007.8 ,1012.0 ,1014.7 ,2017-05-06 09:08 ,999.6 ,2017-05-31 16:18 ,24.1 ,30.5 ,2017-05-29 12:30 ,19.1 ,2017-05-16 04:10 ,20.0 ,2.9 ,50 ,14.9 ,50 ,2017-05-24 22:50 ,100.9 ,57.3 ,10 ,3.7 ,2017-05-13 17:42 ,9.5 ,2017-05-16 03:44 ,37.5 ,2017-05-16 00:00 ,79 ,95.8 ,142.6 ,479.04 ,8 ,10 ,2017-05-31 13:00 ,7.2 
5,06,1004.1 ,1008.3 ,1009.5 ,2017-06-08 10:03 ,995.9 ,2017-06-01 16:06 ,26.3 ,32.5 ,2017-06-27 12:16 ,21.2 ,2017-06-15 22:04 ,23.9 ,3.1 ,220 ,15.2 ,270 ,2017-06-13 14:10 ,170.9 ,114.7 ,15 ,7.5 ,2017-06-13 14:06 ,14.5 ,2017-06-03 15:47 ,37.5 ,2017-06-17 00:00 ,87 ,72.0 ,144.8 ,414.42 ,9 ,13 ,2017-06-10 13:00 ,7.3 
6,07,1004.5 ,1008.5 ,1010.9 ,2017-07-17 21:26 ,988.5 ,2017-07-30 04:50 ,29.0 ,35.9 ,2017-07-29 13:18 ,24.6 ,2017-07-07 21:34 ,24.6 ,2.4 ,220 ,23.7 ,240 ,2017-07-31 13:51 ,92.6 ,44.9 ,8 ,12.0 ,2017-07-07 20:54 ,19.5 ,2017-07-07 20:52 ,25.1 ,2017-07-31 00:00 ,78 ,135.1 ,278.7 ,613.57 ,11 ,14 ,2017-07-04 13:00 ,5.3 
7,08,1003.5 ,1007.6 ,1010.9 ,2017-08-27 23:09 ,994.6 ,2017-08-22 04:05 ,29.0 ,35.9 ,2017-08-21 13:03 ,23.8 ,2017-08-27 05:50 ,25.2 ,3.0 ,230 ,17.7 ,160 ,2017-08-27 05:31 ,46.5 ,12.7 ,4 ,14.0 ,2017-08-27 05:30 ,21.5 ,2017-08-27 05:12 ,23.5 ,2017-08-27 00:00 ,80 ,150.1 ,281.2 ,611.19 ,11 ,13 ,2017-08-05 13:00 ,4.7 
8,09,1006.7 ,1010.8 ,1013.6 ,2017-09-30 09:13 ,1000.2 ,2017-09-01 15:57 ,28.9 ,35.8 ,2017-09-27 13:56 ,23.2 ,2017-09-19 06:04 ,23.7 ,2.9 ,230 ,15.6 ,70 ,2017-09-13 18:39 ,29.4 ,7.7 ,4 ,7.0 ,2017-09-03 19:39 ,20.0 ,2017-09-03 19:18 ,28.5 ,2017-09-03 00:00 ,75 ,147.4 ,247.6 ,527.51 ,10 ,12 ,2017-09-09 12:00 ,4.1 
9,10,1010.8 ,1015.0 ,1021.9 ,2017-10-30 08:55 ,1000.5 ,2017-10-14 15:14 ,25.8 ,36.1 ,2017-10-10 13:01 ,16.7 ,2017-10-31 04:17 ,17.5 ,4.5 ,50 ,23.0 ,70 ,2017-10-14 08:41 ,1.3 ,11.2 ,1 ,0.2 ,2017-10-15 09:40 ,0.5 ,2017-10-15 13:40 ,1.3 ,2017-10-15 00:00 ,61 ,162.1 ,196.4 ,424.41 ,7 ,9 ,2017-10-05 12:00 ,5.0 
