,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1017.3 ,1020.6 ,1025.8 ,2010-01-14 08:58 ,1011.1 ,2010-01-04 14:17 ,16.2 ,25.5 ,2010-01-21 12:16 ,7.6 ,2010-01-14 06:13 ,12.3 ,4.9 ,10 ,22.2 ,20 ,2010-01-25 21:47 ,24.7 ,36.3 ,9 ,2.0 ,2010-01-25 10:54 ,5.0 ,2010-01-25 10:27 ,6.5 ,2010-01-25 00:00 ,78 ,67.6 ,132.7 ,251.39 ,... ,... , ,6.2 
1,02,1014.0 ,1017.2 ,1020.8 ,2010-02-18 22:22 ,1006.2 ,2010-02-26 15:06 ,17.5 ,28.9 ,2010-02-11 14:04 ,9.2 ,2010-02-19 00:01 ,14.4 ,4.6 ,10 ,22.2 ,30 ,2010-02-18 08:31 ,93.7 ,76.4 ,12 ,6.5 ,2010-02-12 06:16 ,9.0 ,2010-02-12 05:35 ,17.0 ,2010-02-19 00:00 ,82 ,67.3 ,105.1 ,216.06 ,... ,... , ,6.9 
2,03,1014.2 ,1017.4 ,1024.7 ,2010-03-10 09:03 ,1005.3 ,2010-03-23 15:46 ,19.8 ,28.8 ,2010-03-23 11:06 ,8.0 ,2010-03-11 01:12 ,15.2 ,4.4 ,360 ,28.1 ,20 ,2010-03-25 22:50 ,33.5 ,13.6 ,3 ,10.5 ,2010-03-13 02:58 ,17.0 ,2010-03-13 02:15 ,24.0 ,2010-03-13 00:00 ,75 ,124.9 ,169.3 ,374.62 ,... ,... , ,6.0 
3,04,1012.1 ,1015.3 ,1018.5 ,2010-04-17 10:26 ,1004.4 ,2010-04-11 15:44 ,21.0 ,30.9 ,2010-04-12 11:58 ,13.5 ,2010-04-16 00:18 ,16.9 ,4.4 ,10 ,22.8 ,10 ,2010-04-13 16:13 ,111.9 ,56.0 ,13 ,7.5 ,2010-04-23 04:43 ,14.0 ,2010-04-23 04:13 ,41.0 ,2010-04-08 00:00 ,78 ,108.1 ,120.9 ,349.99 ,... ,... , ,7.4 
4,05,1006.5 ,1009.5 ,1014.4 ,2010-05-01 09:38 ,997.8 ,2010-05-23 03:46 ,25.2 ,32.4 ,2010-05-22 11:36 ,19.9 ,2010-05-10 19:49 ,21.2 ,3.8 ,350 ,22.3 ,220 ,2010-05-23 11:55 ,172.1 ,38.2 ,11 ,16.0 ,2010-05-23 10:25 ,43.0 ,2010-05-23 09:48 ,106.5 ,2010-05-23 00:00 ,79 ,128.8 ,153.7 ,435.19 ,... ,... , ,6.7 
5,06,1005.7 ,1008.7 ,1009.2 ,2010-06-22 22:39 ,999.2 ,2010-06-25 04:12 ,26.6 ,32.5 ,2010-06-17 12:01 ,19.3 ,2010-06-03 00:08 ,22.6 ,4.1 ,150 ,20.4 ,360 ,2010-06-05 14:14 ,312.3 ,67.7 ,17 ,9.5 ,2010-06-14 08:35 ,29.0 ,2010-06-14 08:35 ,85.0 ,2010-06-14 00:00 ,79 ,102.0 ,131.7 ,382.37 ,... ,... , ,7.4 
6,07,1006.2 ,1009.2 ,1010.3 ,2010-07-17 23:32 ,1001.4 ,2010-07-05 16:16 ,29.2 ,33.9 ,2010-07-06 16:01 ,23.4 ,2010-07-28 05:40 ,24.0 ,3.9 ,170 ,16.2 ,230 ,2010-07-07 09:50 ,187.5 ,34.8 ,6 ,12.0 ,2010-07-28 04:16 ,31.0 ,2010-07-27 09:09 ,114.5 ,2010-07-27 00:00 ,74 ,178.1 ,242.2 ,538.30 ,... ,... , ,6.8 
7,08,1005.3 ,1008.4 ,1012.1 ,2010-08-19 08:49 ,996.3 ,2010-08-08 16:49 ,29.3 ,33.6 ,2010-08-22 10:26 ,24.1 ,2010-08-31 10:51 ,24.3 ,3.0 ,150 ,18.8 ,360 ,2010-08-08 16:24 ,108.8 ,26.3 ,9 ,8.0 ,2010-08-29 20:18 ,23.0 ,2010-08-31 10:10 ,65.0 ,2010-08-31 00:00 ,75 ,183.7 ,228.8 ,508.19 ,... ,... , ,5.1 
8,09,1005.9 ,1009.0 ,1012.3 ,2010-09-21 20:38 ,981.8 ,2010-09-19 15:25 ,28.1 ,34.2 ,2010-09-08 12:22 ,23.3 ,2010-09-25 04:16 ,23.6 ,3.7 ,360 ,37.5 ,360 ,2010-09-19 09:55 ,97.2 ,29.9 ,13 ,9.0 ,2010-09-08 18:18 ,21.0 ,2010-09-02 14:29 ,37.0 ,2010-09-02 00:00 ,77 ,129.0 ,208.0 ,426.03 ,... ,... , ,5.2 
9,10,1008.4 ,1011.5 ,1018.1 ,2010-10-30 09:03 ,995.9 ,2010-10-22 12:21 ,24.7 ,31.1 ,2010-10-24 12:23 ,17.0 ,2010-10-29 05:25 ,19.9 ,6.2 ,10 ,30.6 ,10 ,2010-10-26 15:04 ,0.7 ,3.6 ,4 ,0.3 ,2010-10-03 07:50 ,0.3 ,2010-10-03 07:50 ,0.3 ,2010-10-03 00:00 ,75 ,144.3 ,183.5 ,374.08 ,... ,... , ,5.5 
10,11,1013.0 ,1016.2 ,1017.9 ,2010-11-10 09:01 ,1006.1 ,2010-11-22 13:27 ,20.9 ,25.9 ,2010-11-12 13:06 ,14.7 ,2010-11-10 04:55 ,16.3 ,5.5 ,10 ,24.6 ,20 ,2010-11-08 13:15 ,16.0 ,39.7 ,6 ,1.5 ,2010-11-19 01:57 ,2.0 ,2010-11-19 01:50 ,7.7 ,2010-11-13 00:00 ,76 ,97.3 ,164.8 ,277.15 ,... ,... , ,4.9 
11,12,1012.9 ,1016.1 ,1018.5 ,2010-12-26 09:35 ,1006.9 ,2010-12-12 05:44 ,17.3 ,25.6 ,2010-12-13 11:20 ,8.3 ,2010-12-18 06:45 ,11.9 ,5.0 ,10 ,35.7 ,40 ,2010-12-16 04:19 ,24.0 ,11.7 ,2 ,1.5 ,2010-12-16 05:35 ,5.0 ,2010-12-16 09:54 ,21.5 ,2010-12-16 00:00 ,71 ,94.1 ,214.9 ,280.56 ,... ,... , ,3.3 
