,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1019.9 ,... ,1028.0 ,2015-01-01 09:01 ,1011.5 ,2015-01-05 14:01 ,16.0 ,25.3 ,2015-01-05 11:55 ,7.2 ,2015-01-23 05:33 ,... ,2.1 ,1 ,14.8 ,166 ,2015-01-24 13:14 ,114.0 ,... ,12 ,... , ,... , ,23.5 ,2015-01-12 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
1,02,1017.8 ,... ,1027.0 ,2015-02-01 09:01 ,1009.6 ,2015-02-25 15:26 ,16.4 ,28.0 ,2015-02-25 12:01 ,7.6 ,2015-02-13 06:07 ,... ,1.8 ,3 ,17.1 ,182 ,2015-02-14 22:58 ,202.5 ,... ,19 ,... , ,... , ,51.5 ,2015-02-03 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
2,03,1016.8 ,... ,1027.3 ,2015-03-25 20:11 ,1006.8 ,2015-03-18 17:03 ,18.0 ,29.6 ,2015-03-19 11:01 ,11.5 ,2015-03-10 23:33 ,... ,1.8 ,2 ,13.7 ,183 ,2015-03-18 01:12 ,409.5 ,... ,18 ,... , ,... , ,123.0 ,2015-03-25 00:00 ,90 ,... ,... ,... ,... ,... , ,... 
3,04,1012.6 ,... ,1021.3 ,2015-04-07 22:11 ,1000.8 ,2015-04-20 03:53 ,21.1 ,30.9 ,2015-04-20 11:14 ,12.1 ,2015-04-14 05:51 ,... ,1.7 ,3 ,16.5 ,182 ,2015-04-02 21:57 ,137.5 ,... ,13 ,... , ,... , ,31.5 ,2015-04-11 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
4,05,1007.4 ,... ,1013.4 ,2015-05-12 09:31 ,999.7 ,2015-05-28 16:03 ,24.3 ,35.0 ,2015-05-28 12:11 ,17.1 ,2015-05-13 01:21 ,... ,0.9 ,2 ,14.8 ,182 ,2015-05-11 09:01 ,363.0 ,... ,18 ,... , ,... , ,64.0 ,2015-05-31 00:00 ,90 ,... ,... ,... ,... ,... , ,... 
5,06,1005.5 ,... ,1009.5 ,2015-06-01 22:21 ,999.4 ,2015-06-30 17:51 ,28.1 ,36.2 ,2015-06-29 10:57 ,23.1 ,2015-06-10 04:11 ,... ,1.0 ,194 ,12.6 ,164 ,2015-06-16 01:37 ,24.5 ,... ,4 ,... , ,... , ,6.5 ,2015-06-06 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
6,07,1002.4 ,... ,1010.9 ,2015-07-30 09:47 ,985.8 ,2015-07-11 02:31 ,28.1 ,35.3 ,2015-07-01 12:11 ,22.0 ,2015-07-15 04:01 ,... ,1.3 ,37 ,16.0 ,326 ,2015-07-10 09:22 ,189.0 ,... ,9 ,... , ,... , ,79.5 ,2015-07-10 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
7,08,1003.9 ,... ,1011.3 ,2015-08-02 10:51 ,976.4 ,2015-08-08 04:31 ,27.2 ,34.7 ,2015-08-17 12:01 ,21.5 ,2015-08-26 06:31 ,... ,1.7 ,34 ,37.5 ,112 ,2015-08-08 05:57 ,475.5 ,... ,20 ,... , ,... , ,187.5 ,2015-08-08 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
8,09,1008.3 ,... ,1015.3 ,2015-09-17 22:01 ,983.9 ,2015-09-28 16:41 ,25.7 ,34.6 ,2015-09-06 12:24 ,18.5 ,2015-09-11 05:51 ,... ,1.7 ,1 ,32.5 ,55 ,2015-09-28 16:32 ,389.5 ,... ,12 ,... , ,... , ,180.5 ,2015-09-28 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
9,10,1013.3 ,... ,1022.3 ,2015-10-31 09:21 ,1004.7 ,2015-10-20 13:58 ,24.2 ,32.7 ,2015-10-01 10:41 ,17.2 ,2015-10-13 04:48 ,... ,1.6 ,31 ,16.0 ,316 ,2015-10-16 06:55 ,256.0 ,... ,19 ,... , ,... , ,93.0 ,2015-10-09 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
10,11,1016.3 ,... ,1025.5 ,2015-11-27 08:12 ,1010.3 ,2015-11-16 13:41 ,22.3 ,32.1 ,2015-11-18 11:42 ,12.5 ,2015-11-28 04:11 ,... ,1.6 ,1 ,13.7 ,1 ,2015-11-25 20:54 ,588.5 ,... ,19 ,... , ,... , ,247.0 ,2015-11-20 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
11,12,1019.4 ,... ,1027.9 ,2015-12-31 20:33 ,1007.9 ,2015-12-10 03:21 ,18.4 ,27.9 ,2015-12-24 12:01 ,11.1 ,2015-12-17 16:41 ,... ,2.2 ,1 ,15.4 ,334 ,2015-12-11 11:34 ,232.0 ,... ,23 ,... , ,... , ,45.0 ,2015-12-09 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
