,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1018.6 ,... ,1027.1 ,2015-01-01 09:03 ,1010.0 ,2015-01-06 13:21 ,16.6 ,24.6 ,2015-01-05 12:41 ,9.9 ,2015-01-23 05:21 ,... ,2.6 ,46 ,33.6 ,176 ,2015-01-05 11:35 ,15.5 ,... ,6 ,... , ,... , ,6.0 ,2015-01-27 00:00 ,69 ,... ,... ,... ,... ,... , ,... 
1,02,1016.6 ,... ,1025.7 ,2015-02-09 08:47 ,1008.5 ,2015-02-25 15:41 ,17.2 ,27.3 ,2015-02-21 12:51 ,9.8 ,2015-02-09 05:31 ,... ,2.2 ,79 ,18.7 ,206 ,2015-02-20 11:23 ,61.0 ,... ,9 ,... , ,... , ,43.0 ,2015-02-24 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
2,03,1015.4 ,... ,1025.8 ,2015-03-25 20:05 ,1005.4 ,2015-03-18 14:22 ,18.9 ,30.6 ,2015-03-31 11:41 ,11.3 ,2015-03-10 23:48 ,... ,2.3 ,100 ,24.8 ,209 ,2015-03-17 12:59 ,146.5 ,... ,11 ,... , ,... , ,38.0 ,2015-03-23 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
3,04,1011.1 ,... ,1019.7 ,2015-04-08 09:03 ,1000.2 ,2015-04-20 04:03 ,22.6 ,33.0 ,2015-04-06 14:31 ,13.2 ,2015-04-15 05:49 ,... ,2.1 ,11 ,21.5 ,283 ,2015-04-15 21:26 ,76.0 ,... ,9 ,... , ,... , ,18.0 ,2015-04-11 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
4,05,1006.0 ,... ,1011.9 ,2015-05-21 09:51 ,998.2 ,2015-05-28 16:01 ,26.2 ,35.4 ,2015-05-30 13:31 ,18.4 ,2015-05-05 04:11 ,... ,1.9 ,106 ,19.3 ,130 ,2015-05-13 10:51 ,255.5 ,... ,13 ,... , ,... , ,53.5 ,2015-05-20 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
5,06,1004.2 ,... ,1008.3 ,2015-06-01 22:25 ,998.4 ,2015-06-30 16:47 ,30.1 ,35.9 ,2015-06-26 12:11 ,24.5 ,2015-06-06 05:02 ,... ,1.8 ,18 ,18.7 ,118 ,2015-06-10 10:07 ,136.0 ,... ,9 ,... , ,... , ,47.0 ,2015-06-14 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
6,07,1001.0 ,... ,1010.1 ,2015-07-28 19:11 ,986.6 ,2015-07-11 02:01 ,30.1 ,36.9 ,2015-07-21 14:01 ,24.2 ,2015-07-28 19:47 ,... ,2.2 ,108 ,27.5 ,290 ,2015-07-28 19:39 ,306.5 ,... ,10 ,... , ,... , ,127.5 ,2015-07-10 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
7,08,1002.2 ,... ,1010.0 ,2015-08-02 07:54 ,970.5 ,2015-08-08 08:06 ,28.7 ,35.4 ,2015-08-11 12:31 ,23.8 ,2015-08-27 07:41 ,... ,2.4 ,2 ,42.4 ,44 ,2015-08-08 03:24 ,442.0 ,... ,20 ,... , ,... , ,159.5 ,2015-08-08 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
8,09,1006.8 ,... ,1014.0 ,2015-09-17 21:31 ,981.8 ,2015-09-28 17:56 ,27.4 ,35.5 ,2015-09-06 12:26 ,22.8 ,2015-09-11 05:41 ,... ,2.3 ,103 ,37.5 ,71 ,2015-09-28 17:17 ,217.0 ,... ,9 ,... , ,... , ,125.0 ,2015-09-28 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
9,10,1011.7 ,... ,1020.8 ,2015-10-31 08:41 ,1002.4 ,2015-10-20 03:11 ,25.3 ,33.0 ,2015-10-04 12:31 ,20.4 ,2015-10-11 05:04 ,... ,2.8 ,49 ,19.8 ,225 ,2015-10-16 09:17 ,73.0 ,... ,8 ,... , ,... , ,29.5 ,2015-10-09 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
10,11,1015.8 ,... ,1025.4 ,2015-11-27 08:34 ,1009.9 ,2015-11-16 14:31 ,23.7 ,32.4 ,2015-11-05 12:37 ,13.9 ,2015-11-27 07:11 ,... ,2.6 ,48 ,18.2 ,133 ,2015-11-05 11:01 ,11.0 ,... ,5 ,... , ,... , ,4.0 ,2015-11-11 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
11,12,1019.0 ,... ,1027.8 ,2015-12-17 10:01 ,1008.5 ,2015-12-10 03:24 ,19.0 ,29.3 ,2015-12-22 13:41 ,10.5 ,2015-12-17 15:44 ,... ,2.6 ,103 ,16.5 ,186 ,2015-12-22 10:03 ,52.5 ,... ,9 ,... , ,... , ,21.0 ,2015-12-10 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
