,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1021.6 ,... ,1029.5 ,2011-01-30 09:01 ,1013.0 ,2011-01-14 13:36 ,13.7 ,22.4 ,2011-01-05 14:33 ,7.0 ,2011-01-16 07:49 ,... ,0.4 ,4 ,8.2 ,4 ,2011-01-09 16:53 ,43.5 ,... ,8 ,... , ,... , ,19.0 ,2011-01-12 00:00 ,75 ,... ,/ ,... ,... ,... , ,... 
1,02,1016.7 ,... ,1025.4 ,2011-02-14 22:16 ,1005.8 ,2011-02-08 15:02 ,16.3 ,28.8 ,2011-02-26 15:21 ,9.3 ,2011-02-14 13:10 ,... ,0.3 ,108 ,8.2 ,88 ,2011-02-12 18:57 ,51.5 ,... ,8 ,... , ,... , ,30.5 ,2011-02-19 00:00 ,77 ,... ,/ ,... ,... ,... , ,... 
2,03,1019.6 ,... ,1026.6 ,2011-03-16 08:01 ,1007.5 ,2011-03-20 15:06 ,15.7 ,31.0 ,2011-03-20 13:49 ,9.0 ,2011-03-28 03:46 ,... ,0.4 ,10 ,10.2 ,133 ,2011-03-10 03:30 ,73.0 ,... ,9 ,... , ,... , ,30.5 ,2011-03-27 00:00 ,72 ,... ,/ ,... ,... ,... , ,... 
3,04,1013.3 ,... ,1022.0 ,2011-04-05 10:01 ,1002.8 ,2011-04-27 14:16 ,21.8 ,34.5 ,2011-04-27 12:34 ,12.9 ,2011-04-04 21:35 ,... ,0.3 ,4 ,12.4 ,222 ,2011-04-28 20:50 ,39.0 ,... ,6 ,... , ,... , ,30.5 ,2011-04-17 00:00 ,65 ,... ,/ ,... ,... ,... , ,... 
4,05,1008.6 ,... ,1015.2 ,2011-05-14 21:19 ,1000.8 ,2011-05-11 15:37 ,25.3 ,34.5 ,2011-05-10 15:02 ,17.7 ,2011-05-29 05:01 ,... ,0.3 ,229 ,13.5 ,193 ,2011-05-27 20:03 ,216.5 ,... ,16 ,... , ,... , ,60.0 ,2011-05-16 00:00 ,75 ,... ,/ ,... ,... ,... , ,... 
5,06,1005.2 ,... ,1011.0 ,2011-06-29 21:46 ,990.4 ,2011-06-25 02:54 ,29.6 ,37.1 ,2011-06-23 16:04 ,24.0 ,2011-06-03 03:46 ,... ,0.4 ,5 ,10.7 ,344 ,2011-06-25 03:26 ,305.0 ,... ,12 ,... , ,... , ,127.0 ,2011-06-25 00:00 ,70 ,... ,/ ,... ,... ,... , ,... 
6,07,1004.0 ,... ,1011.0 ,2011-07-01 07:31 ,995.9 ,2011-07-18 17:34 ,30.3 ,37.8 ,2011-07-24 13:35 ,24.3 ,2011-07-10 07:46 ,... ,0.4 ,5 ,24.5 ,265 ,2011-07-14 11:09 ,74.0 ,... ,10 ,... , ,... , ,22.5 ,2011-07-13 00:00 ,69 ,... ,/ ,... ,... ,... , ,... 
7,08,1004.5 ,... ,1011.7 ,2011-08-15 09:23 ,992.5 ,2011-08-29 17:47 ,30.4 ,39.7 ,2011-08-19 14:17 ,25.4 ,2011-08-24 13:01 ,... ,0.4 ,1 ,13.7 ,37 ,2011-08-29 08:09 ,147.5 ,... ,13 ,... , ,... , ,51.0 ,2011-08-24 00:00 ,68 ,... ,/ ,... ,... ,... , ,... 
8,09,1007.9 ,... ,1013.5 ,2011-09-22 08:20 ,999.9 ,2011-09-01 02:46 ,28.4 ,36.9 ,2011-09-15 14:03 ,23.2 ,2011-09-20 22:16 ,... ,0.4 ,14 ,12.9 ,115 ,2011-09-23 20:08 ,11.5 ,... ,4 ,... , ,... , ,6.5 ,2011-09-30 00:00 ,68 ,... ,/ ,... ,... ,... , ,... 
9,10,1014.0 ,... ,1020.3 ,2011-10-25 21:04 ,1008.5 ,2011-10-14 14:03 ,24.5 ,31.9 ,2011-10-13 11:32 ,19.4 ,2011-10-26 04:17 ,... ,0.4 ,32 ,14.0 ,63 ,2011-10-02 01:01 ,94.0 ,... ,12 ,... , ,... , ,26.5 ,2011-10-03 00:00 ,74 ,... ,/ ,... ,... ,... , ,... 
10,11,1015.1 ,... ,1026.2 ,2011-11-24 08:31 ,1007.5 ,2011-11-09 13:34 ,23.3 ,33.8 ,2011-11-05 12:37 ,17.5 ,2011-11-24 05:46 ,... ,0.4 ,97 ,12.1 ,294 ,2011-11-15 22:52 ,170.0 ,... ,17 ,... , ,... , ,37.5 ,2011-11-11 00:00 ,76 ,... ,/ ,... ,... ,... , ,... 
11,12,1020.7 ,... ,1028.0 ,2011-12-17 08:48 ,1012.4 ,2011-12-07 12:32 ,17.4 ,31.0 ,2011-12-07 12:07 ,11.4 ,2011-12-24 07:11 ,... ,0.4 ,98 ,15.1 ,252 ,2011-12-02 19:35 ,88.5 ,... ,11 ,... , ,... , ,32.5 ,2011-12-05 00:00 ,74 ,... ,/ ,... ,... ,... , ,... 
