,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1019.8 ,... ,1029.0 ,2014-01-18 20:53 ,1010.7 ,2014-01-03 14:31 ,16.7 ,26.4 ,2014-01-31 12:31 ,10.0 ,2014-01-22 04:17 ,... ,1.3 ,4 ,8.3 ,73 ,2014-01-31 10:11 ,13.0 ,... ,4 ,... , ,... , ,8.0 ,2014-01-14 00:00 ,62 ,... ,... ,... ,... ,... , ,... 
1,02,1016.4 ,... ,1027.2 ,2014-02-20 20:12 ,1006.3 ,2014-02-02 15:42 ,16.3 ,27.4 ,2014-02-17 12:25 ,7.3 ,2014-02-11 09:21 ,... ,1.1 ,3 ,8.2 ,46 ,2014-02-04 01:21 ,169.0 ,... ,14 ,... , ,... , ,75.5 ,2014-02-09 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
2,03,1016.6 ,... ,1026.9 ,2014-03-03 13:45 ,1004.8 ,2014-03-29 14:23 ,18.7 ,30.4 ,2014-03-29 11:21 ,12.1 ,2014-03-21 05:45 ,... ,1.1 ,69 ,9.2 ,65 ,2014-03-30 15:43 ,135.5 ,... ,13 ,... , ,... , ,29.0 ,2014-03-31 00:00 ,72 ,... ,... ,... ,... ,... , ,... 
3,04,1012.5 ,... ,1019.9 ,2014-04-06 09:22 ,1007.1 ,2014-04-12 15:01 ,22.4 ,30.7 ,2014-04-18 11:44 ,16.7 ,2014-04-05 03:13 ,... ,1.1 ,68 ,9.4 ,71 ,2014-04-06 11:35 ,74.5 ,... ,11 ,... , ,... , ,31.0 ,2014-04-24 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
4,05,1009.0 ,... ,1018.7 ,2014-05-05 22:01 ,998.9 ,2014-05-14 16:07 ,25.2 ,34.9 ,2014-05-14 12:52 ,14.3 ,2014-05-06 02:51 ,... ,0.8 ,5 ,15.7 ,250 ,2014-05-14 14:47 ,536.5 ,... ,21 ,... , ,... , ,133.5 ,2014-05-20 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
5,06,1003.4 ,... ,1009.5 ,2014-06-29 23:35 ,997.9 ,2014-06-10 03:21 ,28.1 ,34.6 ,2014-06-17 14:11 ,21.9 ,2014-06-06 02:53 ,... ,0.8 ,3 ,11.2 ,255 ,2014-06-17 10:38 ,290.0 ,... ,18 ,... , ,... , ,53.0 ,2014-06-06 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
6,07,1003.8 ,... ,1010.8 ,2014-07-26 09:01 ,985.3 ,2014-07-23 04:38 ,30.7 ,37.1 ,2014-07-09 13:33 ,24.7 ,2014-07-23 04:05 ,... ,1.3 ,3 ,16.2 ,84 ,2014-07-23 02:02 ,150.5 ,... ,7 ,... , ,... , ,40.5 ,2014-07-31 00:00 ,69 ,... ,... ,... ,... ,... , ,... 
7,08,1005.5 ,... ,1012.9 ,2014-08-28 00:32 ,991.8 ,2014-08-01 15:31 ,30.2 ,37.7 ,2014-08-29 13:04 ,22.6 ,2014-08-19 16:25 ,... ,1.3 ,1 ,10.6 ,242 ,2014-08-14 14:14 ,116.0 ,... ,4 ,... , ,... , ,95.0 ,2014-08-19 00:00 ,69 ,... ,... ,... ,... ,... , ,... 
8,09,1007.2 ,... ,1013.7 ,2014-09-27 07:53 ,994.2 ,2014-09-21 23:18 ,29.8 ,36.6 ,2014-09-16 10:11 ,23.3 ,2014-09-29 05:11 ,... ,1.4 ,76 ,12.9 ,60 ,2014-09-15 12:31 ,109.5 ,... ,5 ,... , ,... , ,70.0 ,2014-09-21 00:00 ,67 ,... ,... ,... ,... ,... , ,... 
9,10,1013.9 ,... ,1020.5 ,2014-10-16 09:01 ,1005.8 ,2014-10-10 11:52 ,24.9 ,32.9 ,2014-10-20 11:13 ,17.9 ,2014-10-16 06:54 ,... ,1.3 ,70 ,11.2 ,349 ,2014-10-09 23:01 ,31.5 ,... ,6 ,... , ,... , ,15.5 ,2014-10-11 00:00 ,65 ,... ,... ,... ,... ,... , ,... 
10,11,1016.4 ,... ,1023.3 ,2014-11-18 09:01 ,1007.3 ,2014-11-29 14:21 ,22.4 ,32.1 ,2014-11-29 13:54 ,15.3 ,2014-11-13 09:16 ,... ,1.1 ,74 ,8.1 ,66 ,2014-11-26 15:40 ,26.0 ,... ,7 ,... , ,... , ,9.5 ,2014-11-13 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
11,12,1021.7 ,... ,1031.0 ,2014-12-17 08:42 ,1011.0 ,2014-12-01 00:14 ,16.5 ,25.5 ,2014-12-03 12:11 ,10.5 ,2014-12-17 07:41 ,... ,1.2 ,69 ,9.3 ,54 ,2014-12-09 12:31 ,69.0 ,... ,14 ,... , ,... , ,22.0 ,2014-12-04 00:00 ,66 ,... ,... ,... ,... ,... , ,... 
