,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1017.6 ,... ,1027.1 ,2010-01-13 21:31 ,1009.9 ,2010-01-04 14:06 ,17.0 ,28.8 ,2010-01-20 13:22 ,6.4 ,2010-01-13 06:32 ,... ,1.6 ,91 ,15.1 ,121 ,2010-01-19 10:32 ,86.5 ,... ,14 ,... , ,... , ,20.5 ,2010-01-08 00:00 ,80 ,... ,/ ,... ,... ,... , ,... 
1,02,1013.8 ,... ,1022.4 ,2010-02-12 20:31 ,1004.6 ,2010-02-26 13:09 ,17.8 ,32.0 ,2010-02-26 12:47 ,9.6 ,2010-02-19 06:05 ,... ,1.1 ,91 ,14.3 ,288 ,2010-02-10 13:01 ,193.0 ,... ,11 ,... , ,... , ,42.5 ,2010-02-19 00:00 ,85 ,... ,/ ,... ,... ,... , ,... 
2,03,1014.3 ,... ,1027.4 ,2010-03-10 09:31 ,1004.1 ,2010-03-23 14:31 ,20.0 ,31.7 ,2010-03-23 13:01 ,7.9 ,2010-03-10 13:20 ,... ,1.5 ,95 ,14.6 ,303 ,2010-03-18 11:07 ,39.5 ,... ,4 ,... , ,... , ,24.0 ,2010-03-13 00:00 ,75 ,... ,/ ,... ,... ,... , ,... 
3,04,1012.0 ,... ,1019.4 ,2010-04-15 23:39 ,1002.9 ,2010-04-11 15:33 ,20.8 ,33.8 ,2010-04-21 12:20 ,13.6 ,2010-04-15 18:31 ,... ,1.5 ,93 ,13.2 ,185 ,2010-04-02 01:13 ,100.0 ,... ,17 ,... , ,... , ,31.0 ,2010-04-08 00:00 ,80 ,... ,/ ,... ,... ,... , ,... 
4,05,1005.7 ,... ,1013.4 ,2010-05-01 09:49 ,995.7 ,2010-05-23 04:12 ,25.6 ,35.0 ,2010-05-19 14:16 ,18.5 ,2010-05-10 22:57 ,... ,1.3 ,92 ,9.3 ,72 ,2010-05-03 13:25 ,158.5 ,... ,12 ,... , ,... , ,39.5 ,2010-05-29 00:00 ,78 ,... ,/ ,... ,... ,... , ,... 
5,06,1004.7 ,... ,1009.5 ,2010-06-02 20:49 ,997.8 ,2010-06-25 04:31 ,26.5 ,36.1 ,2010-06-27 12:33 ,19.2 ,2010-06-03 00:01 ,... ,0.8 ,93 ,10.2 ,81 ,2010-06-01 12:48 ,384.5 ,... ,20 ,... , ,... , ,84.0 ,2010-06-21 00:00 ,84 ,... ,/ ,... ,... ,... , ,... 
6,07,1004.5 ,... ,1009.5 ,2010-07-17 21:16 ,998.3 ,2010-07-05 14:49 ,30.7 ,39.6 ,2010-07-03 15:16 ,25.2 ,2010-07-24 12:51 ,... ,1.1 ,91 ,24.5 ,104 ,2010-07-08 09:19 ,88.5 ,... ,6 ,... , ,... , ,53.5 ,2010-07-24 00:00 ,70 ,... ,/ ,... ,... ,... , ,... 
7,08,1004.6 ,... ,1011.3 ,2010-08-19 08:36 ,995.1 ,2010-08-31 02:46 ,30.2 ,38.3 ,2010-08-03 13:01 ,24.1 ,2010-08-30 22:31 ,... ,1.4 ,94 ,15.7 ,308 ,2010-08-02 12:51 ,369.0 ,... ,12 ,... , ,... , ,207.5 ,2010-08-30 00:00 ,74 ,... ,/ ,... ,... ,... , ,... 
8,09,1005.8 ,... ,1012.2 ,2010-09-21 20:47 ,989.7 ,2010-09-19 14:02 ,29.0 ,36.4 ,2010-09-21 13:08 ,23.6 ,2010-09-25 04:31 ,... ,1.6 ,92 ,22.3 ,59 ,2010-09-19 05:35 ,330.5 ,... ,14 ,... , ,... , ,83.0 ,2010-09-23 00:00 ,74 ,... ,/ ,... ,... ,... , ,... 
9,10,1009.9 ,... ,1020.0 ,2010-10-31 08:16 ,998.1 ,2010-10-23 00:47 ,24.5 ,34.3 ,2010-10-02 13:47 ,16.5 ,2010-10-27 05:46 ,... ,1.9 ,90 ,15.1 ,77 ,2010-10-21 21:13 ,358.0 ,... ,18 ,... , ,... , ,111.5 ,2010-10-21 00:00 ,81 ,... ,/ ,... ,... ,... , ,... 
10,11,1014.2 ,... ,1020.4 ,2010-11-09 08:54 ,1005.8 ,2010-11-21 13:54 ,21.0 ,27.8 ,2010-11-29 12:47 ,16.8 ,2010-11-09 06:16 ,... ,1.8 ,90 ,12.1 ,86 ,2010-11-15 15:11 ,60.5 ,... ,11 ,... , ,... , ,14.5 ,2010-11-25 00:00 ,78 ,... ,/ ,... ,... ,... , ,... 
11,12,1013.2 ,... ,1019.8 ,2010-12-31 10:03 ,1005.7 ,2010-12-13 14:01 ,17.4 ,29.8 ,2010-12-12 12:49 ,6.5 ,2010-12-27 04:46 ,... ,1.1 ,89 ,15.7 ,244 ,2010-12-12 12:10 ,57.0 ,... ,6 ,... , ,... , ,24.5 ,2010-12-16 00:00 ,71 ,... ,/ ,... ,... ,... , ,... 
