,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1017.5 ,... ,1026.7 ,2014-01-18 21:11 ,1008.0 ,2014-01-03 14:41 ,17.1 ,28.0 ,2014-01-30 14:43 ,10.6 ,2014-01-22 03:43 ,... ,1.2 ,85 ,11.0 ,76 ,2014-01-19 09:32 ,8.5 ,... ,4 ,... , ,... , ,4.0 ,2014-01-08 00:00 ,69 ,... ,... ,... ,... ,... , ,... 
1,02,1014.1 ,... ,1024.8 ,2014-02-20 20:17 ,1003.6 ,2014-02-02 15:25 ,16.9 ,28.5 ,2014-02-01 14:54 ,8.1 ,2014-02-12 01:49 ,... ,1.0 ,90 ,15.4 ,47 ,2014-02-04 00:05 ,192.0 ,... ,15 ,... , ,... , ,67.0 ,2014-02-09 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
2,03,1014.0 ,... ,1022.1 ,2014-03-14 21:01 ,1002.4 ,2014-03-29 14:32 ,19.1 ,32.7 ,2014-03-28 14:11 ,11.2 ,2014-03-09 03:31 ,... ,1.1 ,75 ,11.0 ,69 ,2014-03-20 10:09 ,140.0 ,... ,15 ,... , ,... , ,31.0 ,2014-03-29 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
3,04,1009.5 ,... ,1017.0 ,2014-04-06 08:24 ,1003.5 ,2014-04-12 14:53 ,22.5 ,33.4 ,2014-04-18 12:09 ,15.6 ,2014-04-05 00:02 ,... ,1.2 ,86 ,13.2 ,72 ,2014-04-06 16:35 ,85.5 ,... ,9 ,... , ,... , ,39.0 ,2014-04-24 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
4,05,1005.7 ,... ,1015.7 ,2014-05-05 21:12 ,995.9 ,2014-05-14 16:11 ,25.4 ,34.5 ,2014-05-14 10:51 ,15.0 ,2014-05-06 08:00 ,... ,0.8 ,87 ,14.3 ,286 ,2014-05-14 11:41 ,509.5 ,... ,21 ,... , ,... , ,144.0 ,2014-05-20 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
5,06,1000.1 ,... ,1006.3 ,2014-06-29 23:48 ,994.7 ,2014-06-03 01:14 ,28.2 ,35.3 ,2014-06-17 15:01 ,20.6 ,2014-06-06 02:04 ,... ,0.9 ,86 ,11.5 ,310 ,2014-06-17 14:43 ,364.0 ,... ,19 ,... , ,... , ,66.0 ,2014-06-06 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
6,07,1000.5 ,... ,1007.3 ,2014-07-26 07:41 ,982.0 ,2014-07-23 03:44 ,30.9 ,37.8 ,2014-07-09 13:12 ,22.4 ,2014-07-01 16:19 ,... ,1.2 ,84 ,20.9 ,102 ,2014-07-23 04:20 ,251.0 ,... ,10 ,... , ,... , ,64.0 ,2014-07-23 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
7,08,1002.0 ,... ,1009.3 ,2014-08-28 00:21 ,989.9 ,2014-08-01 15:01 ,30.5 ,37.8 ,2014-08-02 12:43 ,22.2 ,2014-08-19 17:08 ,... ,0.8 ,85 ,13.7 ,340 ,2014-08-27 16:52 ,132.5 ,... ,11 ,... , ,... , ,37.0 ,2014-08-13 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
8,09,1003.7 ,... ,1010.4 ,2014-09-27 08:12 ,988.6 ,2014-09-21 23:29 ,29.7 ,37.3 ,2014-09-16 11:49 ,21.9 ,2014-09-22 05:19 ,... ,1.3 ,88 ,16.0 ,61 ,2014-09-21 20:21 ,214.0 ,... ,9 ,... , ,... , ,88.0 ,2014-09-21 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
9,10,1010.4 ,... ,1016.9 ,2014-10-16 08:29 ,999.7 ,2014-10-10 12:52 ,24.7 ,34.1 ,2014-10-21 13:21 ,17.6 ,2014-10-16 04:42 ,... ,1.5 ,86 ,13.7 ,73 ,2014-10-10 17:31 ,43.5 ,... ,6 ,... , ,... , ,17.0 ,2014-10-09 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
10,11,1012.8 ,... ,1019.8 ,2014-11-18 08:31 ,1001.6 ,2014-11-01 14:21 ,22.2 ,32.9 ,2014-11-29 13:44 ,14.0 ,2014-11-18 05:58 ,... ,1.3 ,87 ,14.8 ,293 ,2014-11-06 10:48 ,52.5 ,... ,10 ,... , ,... , ,15.5 ,2014-11-09 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
11,12,1018.1 ,... ,1027.4 ,2014-12-17 08:53 ,1005.7 ,2014-12-01 01:01 ,16.3 ,25.1 ,2014-12-10 12:31 ,10.4 ,2014-12-17 07:21 ,... ,1.5 ,89 ,16.0 ,88 ,2014-12-16 05:43 ,70.5 ,... ,13 ,... , ,... , ,17.0 ,2014-12-04 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
