,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1015.6 ,... ,1024.6 ,2015-01-01 09:31 ,1007.4 ,2015-01-13 14:33 ,16.4 ,27.0 ,2015-01-13 15:21 ,8.4 ,2015-01-24 07:31 ,... ,2.0 ,96 ,15.4 ,57 ,2015-01-19 12:34 ,26.0 ,... ,6 ,... , ,... , ,11.5 ,2015-01-27 00:00 ,69 ,... ,... ,... ,... ,... , ,... 
1,02,1013.2 ,... ,1022.3 ,2015-02-09 09:24 ,1005.7 ,2015-02-25 14:41 ,16.7 ,26.9 ,2015-02-21 13:31 ,8.2 ,2015-02-13 05:31 ,... ,1.5 ,79 ,14.8 ,95 ,2015-02-18 12:42 ,74.0 ,... ,10 ,... , ,... , ,28.0 ,2015-02-24 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
2,03,1012.2 ,... ,1022.4 ,2015-03-25 17:02 ,1001.6 ,2015-03-18 14:31 ,18.7 ,30.8 ,2015-03-19 10:52 ,11.2 ,2015-03-10 23:42 ,... ,1.5 ,79 ,14.3 ,87 ,2015-03-04 20:32 ,202.0 ,... ,13 ,... , ,... , ,50.0 ,2015-03-23 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
3,04,1008.0 ,... ,1016.5 ,2015-04-07 23:04 ,997.2 ,2015-04-20 04:05 ,22.6 ,34.8 ,2015-04-06 13:12 ,10.7 ,2015-04-15 06:01 ,... ,1.5 ,81 ,14.3 ,85 ,2015-04-25 15:59 ,83.5 ,... ,10 ,... , ,... , ,24.5 ,2015-04-11 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
4,05,1003.1 ,... ,1008.7 ,2015-05-12 09:01 ,995.4 ,2015-05-28 15:51 ,25.9 ,35.4 ,2015-05-29 15:38 ,18.0 ,2015-05-05 03:23 ,... ,1.1 ,91 ,13.2 ,73 ,2015-05-21 13:56 ,268.5 ,... ,14 ,... , ,... , ,61.0 ,2015-05-12 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
5,06,1001.4 ,... ,1005.7 ,2015-06-01 22:21 ,995.4 ,2015-06-30 16:50 ,29.6 ,36.6 ,2015-06-28 15:11 ,23.9 ,2015-06-09 05:21 ,... ,1.1 ,204 ,11.0 ,239 ,2015-06-28 12:08 ,185.0 ,... ,7 ,... , ,... , ,62.0 ,2015-06-24 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
6,07,998.2 ,... ,1007.6 ,2015-07-28 18:42 ,984.9 ,2015-07-11 02:13 ,29.5 ,38.2 ,2015-07-21 13:57 ,22.8 ,2015-07-29 05:18 ,... ,1.2 ,202 ,17.6 ,115 ,2015-07-21 14:04 ,205.0 ,... ,10 ,... , ,... , ,80.5 ,2015-07-10 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
7,08,999.2 ,... ,1007.4 ,2015-08-02 07:52 ,964.8 ,2015-08-08 08:29 ,28.3 ,36.5 ,2015-08-11 13:41 ,22.4 ,2015-08-06 05:31 ,... ,1.3 ,83 ,29.2 ,74 ,2015-08-08 02:43 ,563.5 ,... ,17 ,... , ,... , ,270.5 ,2015-08-08 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
8,09,1004.0 ,... ,1011.1 ,2015-09-17 21:02 ,978.1 ,2015-09-28 18:14 ,27.4 ,35.3 ,2015-09-06 15:34 ,21.0 ,2015-09-19 05:12 ,... ,1.4 ,93 ,25.3 ,62 ,2015-09-28 18:04 ,254.0 ,... ,10 ,... , ,... , ,188.5 ,2015-09-28 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
9,10,1008.7 ,... ,1018.3 ,2015-10-31 08:42 ,998.5 ,2015-10-20 03:21 ,25.4 ,35.8 ,2015-10-04 13:11 ,19.2 ,2015-10-11 18:21 ,... ,2.0 ,83 ,14.3 ,63 ,2015-10-17 13:06 ,146.5 ,... ,9 ,... , ,... , ,75.5 ,2015-10-09 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
10,11,1012.1 ,... ,1020.6 ,2015-11-27 07:42 ,1006.7 ,2015-11-16 14:54 ,23.3 ,34.4 ,2015-11-17 13:41 ,12.3 ,2015-11-28 01:41 ,... ,1.8 ,79 ,17.1 ,76 ,2015-11-27 10:18 ,27.0 ,... ,8 ,... , ,... , ,14.5 ,2015-11-11 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
11,12,1015.2 ,... ,1024.0 ,2015-12-28 09:11 ,1005.1 ,2015-12-10 03:21 ,18.7 ,30.6 ,2015-12-22 13:12 ,10.9 ,2015-12-17 17:13 ,... ,1.7 ,80 ,14.3 ,68 ,2015-12-05 04:08 ,84.0 ,... ,9 ,... , ,... , ,27.0 ,2015-12-10 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
