,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1010.6 ,... ,1020.3 ,2012-01-04 09:31 ,999.5 ,2012-01-15 16:02 ,14.9 ,22.5 ,2012-01-14 12:01 ,8.9 ,2012-01-05 00:24 ,... ,1.5 ,16 ,11.5 ,88 ,2012-01-12 13:05 ,518.0 ,... ,21 ,... , ,... , ,78.5 ,2012-01-07 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
1,02,1008.9 ,... ,1017.4 ,2012-02-18 09:20 ,998.8 ,2012-02-06 16:02 ,14.8 ,25.6 ,2012-02-12 16:33 ,8.7 ,2012-02-08 17:12 ,... ,1.4 ,38 ,11.8 ,63 ,2012-02-07 06:51 ,529.0 ,... ,23 ,... , ,... , ,72.5 ,2012-02-28 00:00 ,93 ,... ,... ,... ,... ,... , ,... 
2,03,1007.8 ,... ,1015.4 ,2012-03-31 08:25 ,999.4 ,2012-03-06 16:34 ,16.9 ,28.4 ,2012-03-23 09:18 ,9.1 ,2012-03-24 08:22 ,... ,1.4 ,5 ,16.5 ,154 ,2012-03-28 22:19 ,242.5 ,... ,21 ,... , ,... , ,43.5 ,2012-03-13 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
3,04,1002.8 ,... ,1012.2 ,2012-04-01 00:01 ,994.3 ,2012-04-25 05:32 ,22.7 ,31.2 ,2012-04-25 08:46 ,16.6 ,2012-04-03 23:46 ,... ,1.4 ,95 ,15.6 ,228 ,2012-04-25 22:47 ,307.5 ,... ,17 ,... , ,... , ,67.5 ,2012-04-26 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
4,05,999.1 ,... ,1003.3 ,2012-05-06 09:22 ,994.0 ,2012-05-08 17:34 ,24.9 ,31.4 ,2012-05-14 15:01 ,17.4 ,2012-05-06 04:01 ,... ,1.6 ,79 ,14.0 ,274 ,2012-05-02 06:30 ,448.5 ,... ,14 ,... , ,... , ,120.5 ,2012-05-02 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
5,06,995.0 ,... ,1002.3 ,2012-06-30 23:23 ,986.4 ,2012-06-11 15:07 ,27.0 ,33.2 ,2012-06-29 10:16 ,21.7 ,2012-06-12 19:32 ,... ,1.5 ,191 ,17.4 ,243 ,2012-06-11 10:18 ,385.5 ,... ,16 ,... , ,... , ,104.0 ,2012-06-11 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
6,07,996.2 ,... ,1002.6 ,2012-07-01 22:01 ,984.9 ,2012-07-31 16:02 ,29.9 ,36.5 ,2012-07-28 13:01 ,25.2 ,2012-07-04 04:31 ,... ,1.8 ,187 ,16.3 ,30 ,2012-07-31 20:25 ,41.0 ,... ,6 ,... , ,... , ,20.5 ,2012-07-16 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
7,08,993.3 ,... ,1001.7 ,2012-08-17 23:46 ,974.6 ,2012-08-02 06:16 ,29.0 ,35.5 ,2012-08-16 09:06 ,24.9 ,2012-08-02 04:26 ,... ,1.8 ,189 ,21.1 ,23 ,2012-08-01 22:03 ,283.0 ,... ,13 ,... , ,... , ,176.0 ,2012-08-02 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
8,09,1000.9 ,... ,1007.1 ,2012-09-30 08:05 ,994.0 ,2012-09-28 15:10 ,27.3 ,34.3 ,2012-09-06 14:32 ,21.3 ,2012-09-19 21:03 ,... ,1.7 ,82 ,17.5 ,351 ,2012-09-28 15:58 ,60.5 ,... ,8 ,... , ,... , ,25.0 ,2012-09-13 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
9,10,1005.4 ,... ,1010.8 ,2012-10-19 08:46 ,999.4 ,2012-10-03 15:32 ,24.0 ,30.5 ,2012-10-21 12:03 ,18.8 ,2012-10-31 05:22 ,... ,1.7 ,32 ,13.6 ,55 ,2012-10-11 16:57 ,65.5 ,... ,7 ,... , ,... , ,40.0 ,2012-10-31 00:00 ,72 ,... ,... ,... ,... ,... , ,... 
10,11,1006.6 ,... ,1100.0 ,2012-11-26 17:12 ,999.4 ,2012-11-22 14:17 ,21.2 ,30.7 ,2012-11-10 11:47 ,13.9 ,2012-11-26 22:16 ,... ,1.6 ,86 ,15.9 ,64 ,2012-11-15 16:16 ,292.0 ,... ,14 ,... , ,... , ,62.0 ,2012-11-26 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
11,12,1010.0 ,... ,1100.0 ,2012-12-09 01:39 ,1002.2 ,2012-12-29 14:35 ,17.6 ,27.1 ,2012-12-14 10:33 ,7.5 ,2012-12-31 00:21 ,... ,1.8 ,38 ,16.0 ,79 ,2012-12-24 16:34 ,382.5 ,... ,21 ,... , ,... , ,51.0 ,2012-12-01 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
