,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1017.7 ,... ,1026.2 ,2015-01-01 08:54 ,976.4 ,2015-01-13 12:21 ,17.0 ,25.0 ,2015-01-24 13:57 ,11.0 ,2015-01-23 05:04 ,... ,1.7 ,74 ,13.7 ,118 ,2015-01-13 09:46 ,22.0 ,... ,5 ,... , ,... , ,9.0 ,2015-01-27 00:00 ,68 ,... ,... ,... ,... ,... , ,... 
1,02,1016.4 ,... ,1025.2 ,2015-02-09 09:11 ,1008.8 ,2015-02-25 15:51 ,17.5 ,26.8 ,2015-02-21 12:51 ,10.7 ,2015-02-09 05:15 ,... ,1.5 ,12 ,13.7 ,85 ,2015-02-18 09:05 ,57.5 ,... ,7 ,... , ,... , ,40.0 ,2015-02-24 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
2,03,1015.4 ,... ,1025.5 ,2015-03-25 20:02 ,1005.8 ,2015-03-18 14:42 ,19.2 ,29.7 ,2015-03-19 10:21 ,11.8 ,2015-03-11 02:01 ,... ,1.4 ,1 ,13.7 ,79 ,2015-03-24 15:13 ,174.5 ,... ,11 ,... , ,... , ,46.0 ,2015-03-23 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
3,04,1011.2 ,... ,1019.4 ,2015-04-07 23:02 ,1000.6 ,2015-04-20 04:05 ,23.1 ,34.2 ,2015-04-06 14:01 ,14.6 ,2015-04-15 05:01 ,... ,1.4 ,3 ,14.8 ,255 ,2015-04-20 13:14 ,77.0 ,... ,9 ,... , ,... , ,19.5 ,2015-04-11 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
4,05,1006.4 ,... ,1012.1 ,2015-05-21 10:12 ,998.9 ,2015-05-28 16:01 ,26.7 ,35.3 ,2015-05-29 15:21 ,19.0 ,2015-05-05 04:02 ,... ,1.5 ,2 ,16.0 ,261 ,2015-05-28 12:49 ,227.5 ,... ,13 ,... , ,... , ,58.0 ,2015-05-20 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
5,06,1004.7 ,... ,1008.8 ,2015-06-01 22:14 ,999.0 ,2015-06-30 16:41 ,30.7 ,36.4 ,2015-06-26 12:33 ,25.2 ,2015-06-06 03:11 ,... ,1.7 ,118 ,15.4 ,249 ,2015-06-24 14:25 ,56.5 ,... ,6 ,... , ,... , ,19.0 ,2015-06-14 00:00 ,72 ,... ,... ,... ,... ,... , ,... 
6,07,1001.5 ,... ,1010.2 ,2015-07-31 07:51 ,987.3 ,2015-07-11 01:55 ,30.8 ,36.7 ,2015-07-28 12:22 ,25.6 ,2015-07-28 20:11 ,... ,1.9 ,1 ,20.9 ,230 ,2015-07-11 01:32 ,165.0 ,... ,9 ,... , ,... , ,80.0 ,2015-07-10 00:00 ,69 ,... ,... ,... ,... ,... , ,... 
7,08,1002.6 ,... ,1010.5 ,2015-08-02 08:01 ,972.1 ,2015-08-08 08:46 ,29.4 ,36.2 ,2015-08-19 13:04 ,24.2 ,2015-08-25 08:22 ,... ,1.8 ,115 ,32.0 ,87 ,2015-08-08 05:36 ,433.5 ,... ,18 ,... , ,... , ,192.5 ,2015-08-08 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
8,09,1007.2 ,... ,1014.0 ,2015-09-17 21:31 ,984.6 ,2015-09-28 17:42 ,28.0 ,35.6 ,2015-09-06 13:42 ,23.5 ,2015-09-27 17:41 ,... ,1.7 ,5 ,29.2 ,21 ,2015-09-28 17:04 ,194.5 ,... ,10 ,... , ,... , ,127.5 ,2015-09-28 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
9,10,1011.9 ,... ,1021.0 ,2015-10-31 09:31 ,1002.7 ,2015-10-20 14:11 ,25.9 ,34.0 ,2015-10-04 13:01 ,21.4 ,2015-10-11 05:13 ,... ,2.0 ,9 ,14.3 ,106 ,2015-10-20 07:57 ,52.0 ,... ,7 ,... , ,... , ,24.5 ,2015-10-09 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
10,11,1015.1 ,... ,1023.7 ,2015-11-27 08:31 ,1009.7 ,2015-11-16 14:41 ,24.1 ,32.8 ,2015-11-06 13:03 ,13.8 ,2015-11-27 07:46 ,... ,1.8 ,6 ,12.1 ,75 ,2015-11-27 11:57 ,9.0 ,... ,5 ,... , ,... , ,4.0 ,2015-11-11 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
11,12,1018.0 ,... ,1026.6 ,2015-12-28 10:21 ,1007.8 ,2015-12-10 03:46 ,18.8 ,29.8 ,2015-12-22 13:44 ,10.5 ,2015-12-17 16:02 ,... ,1.8 ,66 ,12.6 ,105 ,2015-12-04 20:54 ,57.0 ,... ,9 ,... , ,... , ,17.5 ,2015-12-10 00:00 ,72 ,... ,... ,... ,... ,... , ,... 
