,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1019.7 ,... ,1028.1 ,2015-01-01 09:01 ,1011.3 ,2015-01-06 13:32 ,16.2 ,24.6 ,2015-01-24 14:21 ,9.3 ,2015-01-23 06:22 ,... ,1.2 ,95 ,16.0 ,105 ,2015-01-13 07:55 ,23.5 ,... ,7 ,... , ,... , ,10.0 ,2015-01-27 00:00 ,68 ,... ,... ,... ,... ,... , ,... 
1,02,1017.5 ,... ,1026.8 ,2015-02-09 09:41 ,1009.8 ,2015-02-25 14:33 ,16.8 ,26.6 ,2015-02-21 14:01 ,9.1 ,2015-02-09 05:51 ,... ,1.2 ,16 ,11.5 ,116 ,2015-02-14 07:40 ,83.0 ,... ,10 ,... , ,... , ,39.0 ,2015-02-24 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
2,03,1016.5 ,... ,1027.2 ,2015-03-25 20:05 ,1006.4 ,2015-03-18 14:46 ,18.5 ,30.1 ,2015-03-20 12:30 ,11.1 ,2015-03-10 23:12 ,... ,1.1 ,29 ,11.0 ,84 ,2015-03-24 10:20 ,197.5 ,... ,13 ,... , ,... , ,54.5 ,2015-03-23 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
3,04,1012.1 ,... ,1020.8 ,2015-04-07 23:12 ,1001.0 ,2015-04-20 04:12 ,22.3 ,34.3 ,2015-04-06 13:41 ,10.6 ,2015-04-15 05:21 ,... ,1.2 ,1 ,12.6 ,91 ,2015-04-25 16:09 ,96.5 ,... ,10 ,... , ,... , ,23.0 ,2015-04-11 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
4,05,1007.1 ,... ,1012.8 ,2015-05-21 09:52 ,999.3 ,2015-05-28 15:52 ,25.8 ,35.0 ,2015-05-28 16:32 ,17.7 ,2015-05-05 03:51 ,... ,1.0 ,21 ,13.2 ,286 ,2015-05-28 11:34 ,275.0 ,... ,17 ,... , ,... , ,62.5 ,2015-05-12 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
5,06,1005.3 ,... ,1009.3 ,2015-06-01 22:22 ,999.3 ,2015-06-30 16:51 ,29.6 ,36.3 ,2015-06-28 14:52 ,23.9 ,2015-06-08 03:31 ,... ,1.0 ,106 ,12.1 ,269 ,2015-06-27 16:16 ,303.0 ,... ,7 ,... , ,... , ,110.5 ,2015-06-14 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
6,07,1002.1 ,... ,1011.2 ,2015-07-28 18:55 ,988.1 ,2015-07-11 02:02 ,29.6 ,37.6 ,2015-07-28 13:41 ,23.0 ,2015-07-29 05:35 ,... ,1.2 ,110 ,17.1 ,313 ,2015-07-11 09:43 ,250.0 ,... ,13 ,... , ,... , ,89.0 ,2015-07-10 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
7,08,1003.3 ,... ,1011.1 ,2015-08-02 07:51 ,970.7 ,2015-08-08 08:27 ,28.3 ,35.7 ,2015-08-12 12:26 ,23.8 ,2015-08-27 02:42 ,... ,1.2 ,111 ,33.1 ,32 ,2015-08-08 02:28 ,763.5 ,... ,22 ,... , ,... , ,292.5 ,2015-08-08 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
8,09,1007.9 ,... ,1015.0 ,2015-09-17 21:45 ,982.9 ,2015-09-28 17:51 ,27.0 ,35.4 ,2015-09-06 13:01 ,21.7 ,2015-09-19 05:11 ,... ,1.2 ,30 ,30.9 ,26 ,2015-09-28 17:33 ,316.5 ,... ,10 ,... , ,... , ,204.5 ,2015-09-28 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
9,10,1012.7 ,... ,1020.8 ,2015-10-31 21:23 ,1003.3 ,2015-10-20 14:13 ,25.0 ,34.4 ,2015-10-03 12:41 ,19.4 ,2015-10-11 18:11 ,... ,1.3 ,23 ,13.2 ,10 ,2015-10-17 11:55 ,154.5 ,... ,8 ,... , ,... , ,65.5 ,2015-10-02 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
10,11,1015.6 ,... ,1024.3 ,2015-11-27 08:11 ,1009.8 ,2015-11-16 14:51 ,23.2 ,33.7 ,2015-11-17 13:21 ,12.3 ,2015-11-26 22:55 ,... ,1.2 ,4 ,12.1 ,115 ,2015-11-27 14:42 ,34.0 ,... ,8 ,... , ,... , ,10.5 ,2015-11-25 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
11,12,1018.8 ,... ,1027.5 ,2015-12-28 09:54 ,1008.5 ,2015-12-10 03:21 ,18.5 ,30.0 ,2015-12-22 13:21 ,10.6 ,2015-12-17 16:22 ,... ,1.1 ,25 ,12.1 ,12 ,2015-12-19 12:19 ,85.0 ,... ,9 ,... , ,... , ,31.5 ,2015-12-10 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
