,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1018.6 ,... ,1028.0 ,2017-01-24 21:52 ,1007.8 ,2017-01-07 14:55 ,18.2 ,27.4 ,2017-01-01 14:12 ,12.1 ,2017-01-20 15:16 ,... ,1.2 ,74 ,11.0 ,99 ,2017-01-30 22:44 ,29.0 ,... ,7 ,... , ,... , ,11.0 ,2017-01-14 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
1,02,1019.2 ,... ,1029.4 ,2017-02-14 08:06 ,1010.4 ,2017-02-04 14:51 ,16.9 ,27.5 ,2017-02-19 13:13 ,10.2 ,2017-02-09 21:53 ,... ,1.3 ,98 ,14.3 ,180 ,2017-02-10 14:01 ,151.5 ,... ,8 ,... , ,... , ,51.0 ,2017-02-24 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
2,03,1015.5 ,... ,1023.7 ,2017-03-26 23:24 ,1007.9 ,2017-03-06 01:36 ,18.2 ,28.5 ,2017-03-30 12:12 ,12.5 ,2017-03-07 19:23 ,... ,1.0 ,11 ,12.1 ,78 ,2017-03-28 02:30 ,212.0 ,... ,17 ,... , ,... , ,33.0 ,2017-03-06 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
3,04,1011.5 ,... ,1022.7 ,2017-04-02 09:25 ,1000.0 ,2017-04-10 15:11 ,22.4 ,35.0 ,2017-04-10 13:52 ,10.4 ,2017-04-02 05:52 ,... ,1.0 ,28 ,11.5 ,199 ,2017-04-15 09:13 ,139.5 ,... ,12 ,... , ,... , ,33.0 ,2017-04-21 00:00 ,72 ,... ,... ,... ,... ,... , ,... 
4,05,1008.8 ,... ,1015.5 ,2017-05-06 22:01 ,1000.7 ,2017-05-31 15:24 ,25.7 ,34.5 ,2017-05-11 11:52 ,18.7 ,2017-05-01 05:11 ,... ,1.1 ,96 ,11.0 ,18 ,2017-05-07 11:49 ,200.0 ,... ,15 ,... , ,... , ,70.0 ,2017-05-15 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
5,06,1005.8 ,... ,1010.5 ,2017-06-28 21:52 ,997.3 ,2017-06-01 15:48 ,28.0 ,36.1 ,2017-06-26 12:52 ,22.6 ,2017-06-16 00:53 ,... ,0.8 ,104 ,13.2 ,281 ,2017-06-01 14:57 ,684.5 ,... ,18 ,... , ,... , ,150.0 ,2017-06-03 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
6,07,1005.9 ,... ,1012.2 ,2017-07-07 22:41 ,975.5 ,2017-07-29 21:08 ,30.1 ,37.5 ,2017-07-25 14:15 ,24.1 ,2017-07-03 14:29 ,... ,1.0 ,3 ,24.2 ,119 ,2017-07-29 21:29 ,242.0 ,... ,13 ,... , ,... , ,56.0 ,2017-07-01 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
7,08,1004.8 ,... ,1012.0 ,2017-08-27 21:21 ,996.1 ,2017-08-22 03:40 ,30.9 ,38.6 ,2017-08-07 14:34 ,24.9 ,2017-08-27 18:31 ,... ,1.2 ,20 ,13.7 ,225 ,2017-08-10 13:23 ,118.5 ,... ,8 ,... , ,... , ,46.0 ,2017-08-27 00:00 ,68 ,... ,... ,... ,... ,... , ,... 
8,09,1007.7 ,... ,1014.2 ,2017-09-29 20:53 ,1001.8 ,2017-09-06 14:03 ,29.5 ,38.0 ,2017-09-27 14:15 ,22.6 ,2017-09-18 05:51 ,... ,1.1 ,10 ,12.1 ,95 ,2017-09-12 15:31 ,132.5 ,... ,10 ,... , ,... , ,34.0 ,2017-09-03 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
9,10,1012.0 ,... ,1024.0 ,2017-10-30 08:02 ,1001.6 ,2017-10-14 14:09 ,25.5 ,35.7 ,2017-10-01 14:52 ,18.1 ,2017-10-23 02:41 ,... ,1.3 ,106 ,20.9 ,109 ,2017-10-20 11:32 ,368.5 ,... ,14 ,... , ,... , ,97.5 ,2017-10-13 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
10,11,1015.5 ,... ,1024.5 ,2017-11-24 08:53 ,1006.7 ,2017-11-17 15:41 ,22.5 ,33.1 ,2017-11-10 12:33 ,15.9 ,2017-11-23 06:31 ,... ,1.1 ,92 ,13.7 ,141 ,2017-11-21 12:41 ,149.0 ,... ,17 ,... , ,... , ,26.0 ,2017-11-19 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
11,12,1019.4 ,... ,1028.8 ,2017-12-20 08:53 ,1011.5 ,2017-12-23 14:03 ,17.8 ,27.2 ,2017-12-23 12:21 ,11.7 ,2017-12-10 05:21 ,... ,1.2 ,88 ,14.3 ,233 ,2017-12-11 02:41 ,71.5 ,... ,15 ,... , ,... , ,20.5 ,2017-12-07 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
