,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1017.5 ,... ,1026.3 ,2014-01-18 21:03 ,1008.0 ,2014-01-03 14:01 ,16.2 ,27.4 ,2014-01-30 14:35 ,9.5 ,2014-01-23 06:31 ,... ,1.7 ,48 ,11.3 ,155 ,2014-01-19 13:29 ,47.5 ,... ,7 ,... , ,... , ,15.0 ,2014-01-09 00:00 ,70 ,... ,... ,... ,... ,... , ,... 
1,02,1014.1 ,... ,1024.6 ,2014-02-20 21:47 ,1003.9 ,2014-02-02 15:31 ,16.1 ,26.9 ,2014-02-17 13:09 ,7.9 ,2014-02-11 07:56 ,... ,1.7 ,12 ,12.1 ,26 ,2014-02-03 23:55 ,301.5 ,... ,16 ,... , ,... , ,99.0 ,2014-02-09 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
2,03,1014.1 ,... ,1021.9 ,2014-03-14 20:47 ,1002.9 ,2014-03-29 14:22 ,18.4 ,31.6 ,2014-03-28 11:31 ,11.2 ,2014-03-21 06:16 ,... ,1.6 ,53 ,10.7 ,58 ,2014-03-23 13:34 ,201.0 ,... ,15 ,... , ,... , ,34.0 ,2014-03-13 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
3,04,1010.2 ,... ,1018.0 ,2014-04-06 09:46 ,1004.3 ,2014-04-12 15:18 ,21.3 ,31.7 ,2014-04-12 14:49 ,14.7 ,2014-04-05 05:34 ,... ,1.7 ,2 ,11.5 ,75 ,2014-04-15 16:20 ,102.5 ,... ,11 ,... , ,... , ,42.5 ,2014-04-24 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
4,05,1006.5 ,... ,1016.5 ,2014-05-05 22:01 ,996.4 ,2014-05-14 16:32 ,24.4 ,35.0 ,2014-05-14 14:16 ,14.7 ,2014-05-06 02:19 ,... ,1.2 ,18 ,13.7 ,248 ,2014-05-14 11:33 ,517.5 ,... ,21 ,... , ,... , ,128.5 ,2014-05-21 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
5,06,1000.9 ,... ,1006.9 ,2014-06-30 21:31 ,995.8 ,2014-06-10 03:16 ,26.9 ,34.5 ,2014-06-18 11:34 ,22.3 ,2014-06-06 06:41 ,... ,1.3 ,7 ,10.7 ,60 ,2014-06-13 11:05 ,549.0 ,... ,20 ,... , ,... , ,124.5 ,2014-06-23 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
6,07,1001.3 ,... ,1008.1 ,2014-07-26 07:51 ,985.7 ,2014-07-23 03:03 ,29.7 ,36.9 ,2014-07-09 12:24 ,24.7 ,2014-07-26 04:31 ,... ,1.6 ,2 ,24.8 ,62 ,2014-07-23 03:03 ,230.5 ,... ,9 ,... , ,... , ,81.0 ,2014-07-23 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
7,08,1002.8 ,... ,1010.2 ,2014-08-28 00:17 ,990.5 ,2014-08-01 14:46 ,29.1 ,36.8 ,2014-08-01 14:51 ,24.1 ,2014-08-24 02:53 ,... ,1.1 ,11 ,12.6 ,227 ,2014-08-01 10:56 ,201.5 ,... ,11 ,... , ,... , ,52.5 ,2014-08-13 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
8,09,1004.7 ,... ,1011.1 ,2014-09-27 08:03 ,992.3 ,2014-09-21 23:16 ,28.5 ,36.0 ,2014-09-16 11:03 ,22.5 ,2014-09-30 05:33 ,... ,1.8 ,2 ,21.2 ,144 ,2014-09-15 16:23 ,150.5 ,... ,11 ,... , ,... , ,67.5 ,2014-09-22 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
9,10,1011.3 ,... ,1017.2 ,2014-10-28 08:21 ,1003.4 ,2014-10-10 14:02 ,23.9 ,33.0 ,2014-10-21 13:34 ,16.3 ,2014-10-15 02:41 ,... ,2.1 ,13 ,12.1 ,45 ,2014-10-09 14:48 ,90.5 ,... ,8 ,... , ,... , ,38.5 ,2014-10-09 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
10,11,1013.7 ,... ,1020.4 ,2014-11-18 09:01 ,1006.5 ,2014-11-29 14:31 ,21.4 ,31.1 ,2014-11-29 13:21 ,15.7 ,2014-11-05 06:41 ,... ,2.0 ,35 ,14.3 ,71 ,2014-11-17 20:07 ,176.0 ,... ,14 ,... , ,... , ,71.0 ,2014-11-17 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
11,12,1018.9 ,... ,1027.6 ,2014-12-17 08:51 ,1010.0 ,2014-12-01 00:03 ,15.8 ,24.4 ,2014-12-10 13:13 ,9.5 ,2014-12-30 03:01 ,... ,2.3 ,6 ,12.6 ,96 ,2014-12-04 03:10 ,184.5 ,... ,15 ,... , ,... , ,52.0 ,2014-12-08 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
