,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
1,02,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
2,03,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
3,04,... ,... ,... ,2017-04-27 00:00 ,... ,2017-04-26 00:00 ,... ,... ,2017-04-26 00:00 ,... ,2017-04-27 00:00 ,... ,... ,... ,... ,... ,2017-04-29 00:00 ,... ,... ,... ,... , ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
4,05,1007.5 ,... ,1014.4 ,2017-05-06 00:00 ,999.2 ,2017-05-31 00:00 ,25.5 ,34.2 ,2017-05-11 00:00 ,19.7 ,2017-05-27 00:00 ,... ,1.8 ,59 ,18.4 ,29 ,2017-05-27 00:00 ,X ,... ,X ,... , ,... , ,X , ,73 ,... ,/ ,... ,... ,... , ,... 
5,06,1004.5 ,... ,1008.8 ,2017-06-07 00:00 ,995.7 ,2017-06-01 00:00 ,27.9 ,35.4 ,2017-06-26 00:00 ,21.7 ,2017-06-15 00:00 ,... ,1.3 ,46 ,15.5 ,238 ,2017-06-01 00:00 ,X ,... ,X ,... , ,... , ,X , ,75 ,... ,/ ,... ,... ,... , ,... 
6,07,1004.5 ,... ,1010.8 ,2017-07-18 00:00 ,973.4 ,2017-07-29 00:00 ,30.3 ,36.7 ,2017-07-19 00:00 ,24.0 ,2017-07-03 00:00 ,... ,1.1 ,55 ,30.1 ,51 ,2017-07-29 00:00 ,X ,... ,X ,... , ,... , ,X , ,65 ,... ,/ ,... ,... ,... , ,... 
7,08,1004.8 ,... ,1010.4 ,2017-08-27 21:23 ,995.0 ,2017-08-22 03:44 ,30.3 ,36.3 ,2017-08-25 13:24 ,25.8 ,2017-08-27 18:56 ,... ,1.8 ,59 ,12.8 ,61 ,2017-08-22 09:17 ,77.5 ,... ,5 ,... , ,... , ,36.5 ,2017-08-27 00:00 ,66 ,... ,... ,... ,... ,... , ,... 
8,09,1006.2 ,... ,1013.0 ,2017-09-29 22:05 ,1000.3 ,2017-09-06 13:51 ,29.2 ,37.1 ,2017-09-27 12:58 ,23.3 ,2017-09-18 05:54 ,... ,1.5 ,58 ,10.7 ,249 ,2017-09-15 11:47 ,231.5 ,... ,9 ,... , ,... , ,65.5 ,2017-09-01 00:00 ,69 ,... ,... ,... ,... ,... , ,... 
9,10,1010.4 ,... ,1022.5 ,2017-10-30 07:54 ,1000.0 ,2017-10-14 14:12 ,25.3 ,35.9 ,2017-10-01 12:14 ,18.5 ,2017-10-30 21:38 ,... ,1.9 ,60 ,19.6 ,332 ,2017-10-31 22:49 ,457.5 ,... ,20 ,... , ,... , ,174.0 ,2017-10-12 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
10,11,1013.9 ,... ,1022.7 ,2017-11-24 08:56 ,1005.2 ,2017-11-17 13:46 ,22.2 ,31.9 ,2017-11-10 14:07 ,16.3 ,2017-11-23 05:36 ,... ,2.0 ,60 ,30.6 ,129 ,2017-11-13 17:18 ,115.5 ,... ,17 ,... , ,... , ,30.5 ,2017-11-13 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
11,12,1018.1 ,... ,1039.8 ,2017-12-24 22:55 ,1010.2 ,2017-12-23 14:07 ,17.6 ,25.7 ,2017-12-23 12:22 ,0.0 ,2017-12-19 12:23 ,... ,2.2 ,61 ,37.8 ,90 ,2017-12-17 06:11 ,67.0 ,... ,16 ,... , ,... , ,18.0 ,2017-12-07 00:00 ,72 ,... ,... ,... ,... ,... , ,... 
