,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,996.9 ,... ,1012.0 ,2016-01-24 09:01 ,984.6 ,2016-01-17 14:37 ,14.2 ,21.4 ,2016-01-05 11:47 ,1.4 ,2016-01-24 07:58 ,... ,2.7 ,38 ,16.1 ,51 ,2016-01-31 09:22 ,334.0 ,... ,23 ,... , ,... , ,59.0 ,2016-01-17 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
1,02,998.3 ,... ,1005.5 ,2016-02-24 10:47 ,986.0 ,2016-02-13 14:05 ,13.4 ,29.5 ,2016-02-13 11:19 ,6.0 ,2016-02-07 07:10 ,... ,2.9 ,25 ,17.6 ,46 ,2016-02-25 02:12 ,97.5 ,... ,16 ,... , ,... , ,27.5 ,2016-02-01 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
2,03,994.5 ,... ,1003.1 ,2016-03-02 00:00 ,986.0 ,2016-03-08 17:56 ,15.5 ,25.8 ,2016-03-05 14:33 ,7.3 ,2016-03-28 04:20 ,... ,2.2 ,40 ,15.2 ,36 ,2016-03-09 18:20 ,319.0 ,... ,18 ,... , ,... , ,56.0 ,2016-03-10 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
3,04,988.9 ,... ,996.3 ,2016-04-19 09:26 ,979.2 ,2016-04-13 15:11 ,22.0 ,32.0 ,2016-04-21 13:10 ,14.9 ,2016-04-18 17:04 ,... ,1.8 ,41 ,22.6 ,244 ,2016-04-13 11:10 ,190.5 ,... ,13 ,... , ,... , ,55.5 ,2016-04-13 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
4,05,987.2 ,... ,992.4 ,2016-05-13 22:15 ,981.5 ,2016-05-29 15:31 ,24.9 ,32.7 ,2016-05-28 12:05 ,16.7 ,2016-05-16 23:04 ,... ,1.9 ,53 ,18.8 ,233 ,2016-05-03 06:52 ,203.0 ,... ,16 ,... , ,... , ,80.5 ,2016-05-16 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
5,06,985.2 ,... ,992.8 ,2016-06-29 22:59 ,978.3 ,2016-06-01 16:56 ,27.3 ,34.3 ,2016-06-27 11:51 ,22.7 ,2016-06-07 06:52 ,... ,2.3 ,187 ,17.7 ,243 ,2016-06-01 12:29 ,357.0 ,... ,17 ,... , ,... , ,69.5 ,2016-06-29 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
6,07,984.1 ,... ,989.7 ,2016-07-21 08:02 ,968.1 ,2016-07-08 10:54 ,28.2 ,36.7 ,2016-07-28 12:35 ,22.3 ,2016-07-03 17:21 ,... ,2.3 ,185 ,19.7 ,89 ,2016-07-08 11:24 ,110.5 ,... ,11 ,... , ,... , ,37.5 ,2016-07-10 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
7,08,981.3 ,... ,987.8 ,2016-08-03 21:53 ,976.0 ,2016-08-01 07:08 ,27.7 ,35.2 ,2016-08-01 13:04 ,22.9 ,2016-08-28 19:55 ,... ,1.7 ,8 ,13.4 ,114 ,2016-08-01 10:27 ,143.0 ,... ,14 ,... , ,... , ,46.0 ,2016-08-11 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
8,09,983.6 ,... ,991.4 ,2016-09-22 09:00 ,949.7 ,2016-09-27 14:03 ,26.1 ,33.4 ,2016-09-04 13:34 ,22.5 ,2016-09-18 04:49 ,... ,2.6 ,41 ,37.4 ,44 ,2016-09-27 13:51 ,308.0 ,... ,14 ,... , ,... , ,78.5 ,2016-09-17 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
9,10,988.2 ,... ,999.5 ,2016-10-30 09:17 ,977.9 ,2016-10-20 13:51 ,25.2 ,33.4 ,2016-10-01 13:10 ,19.6 ,2016-10-30 04:32 ,... ,2.8 ,3 ,22.9 ,96 ,2016-10-20 10:35 ,80.5 ,... ,11 ,... , ,... , ,23.0 ,2016-10-08 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
10,11,993.7 ,... ,999.9 ,2016-11-28 10:05 ,987.9 ,2016-11-05 14:52 ,20.6 ,30.0 ,2016-11-13 14:31 ,15.7 ,2016-11-09 06:05 ,... ,2.8 ,35 ,17.0 ,33 ,2016-11-15 15:29 ,110.0 ,... ,12 ,... , ,... , ,32.5 ,2016-11-23 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
11,12,995.7 ,... ,1004.2 ,2016-12-16 08:58 ,989.1 ,2016-12-08 14:07 ,17.9 ,28.2 ,2016-12-21 12:26 ,10.1 ,2016-12-28 00:36 ,... ,3.4 ,41 ,18.6 ,81 ,2016-12-29 23:19 ,22.0 ,... ,7 ,... , ,... , ,12.0 ,2016-12-22 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
