,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1008.4 ,... ,1017.6 ,2012-01-04 09:31 ,997.5 ,2012-01-15 15:53 ,14.7 ,23.9 ,2012-01-18 14:10 ,8.3 ,2012-01-04 16:37 ,... ,0.4 ,25 ,9.4 ,122 ,2012-01-11 19:28 ,215.5 ,... ,16 ,... , ,... , ,49.5 ,2012-01-22 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
1,02,1006.7 ,... ,1013.9 ,2012-02-18 09:57 ,997.3 ,2012-02-06 15:56 ,14.6 ,26.6 ,2012-02-06 12:18 ,8.3 ,2012-02-08 21:49 ,... ,0.4 ,11 ,9.9 ,46 ,2012-02-08 11:40 ,314.0 ,... ,15 ,... , ,... , ,149.5 ,2012-02-24 00:00 ,90 ,... ,... ,... ,... ,... , ,... 
2,03,1005.6 ,... ,1012.5 ,2012-03-13 07:56 ,997.3 ,2012-03-06 15:49 ,16.8 ,29.9 ,2012-03-23 11:09 ,6.3 ,2012-03-26 05:54 ,... ,0.3 ,21 ,9.5 ,338 ,2012-03-31 12:34 ,110.0 ,... ,15 ,... , ,... , ,21.0 ,2012-03-10 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
3,04,1001.4 ,... ,1009.0 ,2012-04-01 09:01 ,994.0 ,2012-04-25 14:23 ,21.8 ,32.6 ,2012-04-24 12:49 ,12.7 ,2012-04-01 00:34 ,... ,0.3 ,52 ,11.6 ,213 ,2012-04-29 15:47 ,280.5 ,... ,23 ,... , ,... , ,78.0 ,2012-04-26 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
4,05,997.8 ,... ,1002.0 ,2012-05-18 22:07 ,993.5 ,2012-05-01 17:03 ,24.5 ,33.4 ,2012-05-01 13:16 ,16.0 ,2012-05-07 04:46 ,... ,0.3 ,51 ,11.6 ,246 ,2012-05-01 11:41 ,244.0 ,... ,15 ,... , ,... , ,49.5 ,2012-05-28 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
5,06,993.5 ,... ,1001.2 ,2012-06-30 23:18 ,985.5 ,2012-06-20 18:27 ,26.4 ,33.4 ,2012-06-27 10:59 ,21.8 ,2012-06-06 03:38 ,... ,0.3 ,216 ,9.6 ,249 ,2012-06-24 14:59 ,325.5 ,... ,14 ,... , ,... , ,161.5 ,2012-06-12 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
6,07,995.0 ,... ,1001.4 ,2012-07-01 22:15 ,981.8 ,2012-07-31 15:56 ,27.5 ,36.2 ,2012-07-20 14:44 ,21.9 ,2012-07-03 05:27 ,... ,0.3 ,235 ,10.7 ,70 ,2012-07-31 16:18 ,175.0 ,... ,12 ,... , ,... , ,43.5 ,2012-07-31 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
7,08,992.3 ,... ,1001.0 ,2012-08-17 23:51 ,973.6 ,2012-08-02 07:19 ,26.8 ,34.4 ,2012-08-08 14:02 ,22.5 ,2012-08-04 05:34 ,... ,0.3 ,33 ,15.6 ,129 ,2012-08-24 11:46 ,679.5 ,... ,20 ,... , ,... , ,333.0 ,2012-08-02 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
8,09,999.7 ,... ,1005.2 ,2012-09-30 08:29 ,994.1 ,2012-09-28 15:27 ,25.2 ,33.6 ,2012-09-06 12:14 ,17.3 ,2012-09-17 05:36 ,... ,0.3 ,57 ,12.6 ,45 ,2012-09-27 12:34 ,69.5 ,... ,12 ,... , ,... , ,31.5 ,2012-09-28 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
9,10,1003.7 ,... ,1009.0 ,2012-10-18 09:33 ,997.5 ,2012-10-03 15:40 ,22.2 ,30.7 ,2012-10-25 13:03 ,13.0 ,2012-10-04 06:15 ,... ,0.5 ,52 ,9.9 ,114 ,2012-10-11 13:37 ,40.5 ,... ,2 ,... , ,... , ,25.0 ,2012-10-31 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
10,11,1005.1 ,... ,1010.0 ,2012-11-26 20:52 ,998.1 ,2012-11-22 14:24 ,19.5 ,30.3 ,2012-11-10 13:32 ,12.3 ,2012-11-26 23:35 ,... ,0.2 ,57 ,10.1 ,55 ,2012-11-01 00:48 ,329.5 ,... ,13 ,... , ,... , ,82.5 ,2012-11-30 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
11,12,1007.0 ,... ,1016.3 ,2012-12-23 10:26 ,1000.3 ,2012-12-29 14:32 ,15.9 ,26.5 ,2012-12-14 12:23 ,7.0 ,2012-12-31 06:58 ,... ,0.4 ,17 ,9.0 ,34 ,2012-12-06 00:41 ,157.5 ,... ,13 ,... , ,... , ,31.5 ,2012-12-30 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
