,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,/ ,... ,/ , ,/ , ,/ ,/ , ,/ , ,... ,/ ,/ ,/ ,/ , ,30.5 ,... ,5 ,... , ,... , ,14.0 ,2011-01-12 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
1,02,/ ,... ,/ , ,/ , ,/ ,/ , ,/ , ,... ,/ ,/ ,/ ,/ , ,25.5 ,... ,8 ,... , ,... , ,10.5 ,2011-02-20 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
2,03,/ ,... ,/ , ,/ , ,/ ,/ , ,/ , ,... ,/ ,/ ,/ ,/ , ,40.5 ,... ,6 ,... , ,... , ,14.0 ,2011-03-27 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
3,04,/ ,... ,/ , ,/ , ,/ ,/ , ,/ , ,... ,/ ,/ ,/ ,/ , ,3.0 ,... ,4 ,... , ,... , ,1.0 ,2011-04-17 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
4,05,/ ,... ,/ , ,/ , ,/ ,/ , ,/ , ,... ,/ ,/ ,/ ,/ , ,28.5 ,... ,4 ,... , ,... , ,26.0 ,2011-05-12 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
5,06,/ ,... ,... , ,... , ,/ ,... , ,... , ,... ,... ,... ,... ,... , ,/ ,... ,... ,... , ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
6,07,/ ,... ,... , ,... , ,/ ,... , ,... , ,... ,... ,... ,... ,... , ,/ ,... ,... ,... , ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
7,08,/ ,... ,... , ,... , ,/ ,... , ,... , ,... ,... ,... ,... ,... , ,/ ,... ,... ,... , ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,/ ,... ,... , ,... , ,/ ,... , ,... , ,... ,... ,... ,... ,... , ,/ ,... ,... ,... , ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,... ,... ,... , ,... , ,... ,... , ,... , ,... ,... ,... ,... ,... , ,... ,... ,... ,... , ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,966.2 ,... ,975.2 ,2011-11-22 16:18 ,956.9 ,2011-11-10 03:01 ,21.3 ,30.5 ,2011-11-04 13:03 ,15.9 ,2011-11-24 04:46 ,... ,0.8 ,5 ,11.8 ,334 ,2011-11-19 15:36 ,162.0 ,... ,8 ,... , ,... , ,72.0 ,2011-11-10 00:00 ,86 ,... ,/ ,... ,... ,... , ,... 
11,12,969.5 ,... ,975.9 ,2011-12-27 10:07 ,963.0 ,2011-12-01 13:38 ,15.9 ,25.0 ,2011-12-07 11:35 ,7.4 ,2011-12-24 23:02 ,... ,1.0 ,1 ,8.4 ,23 ,2011-12-09 02:52 ,41.0 ,... ,7 ,... , ,... , ,33.0 ,2011-12-05 00:00 ,87 ,... ,/ ,... ,... ,... , ,... 
